run_id,regime,case_id,solver,sweep_name,sweep_type,Mach,alpha,Ly,n_points,mapping_kind,mapping_scale,xi_max,rtol,atol,max_step,matching_y,seed_cr,seed_ci,reference_cr,reference_ci,cr,ci,omega_i,riccati_mismatch,amplitude_mismatch,legacy_stage2_mismatch,solver_success,spectral_success,modal_reconstruction_success,legacy_mode_success,legacy_success,legacy_stage2_bound_hit,ln_p_start_right_exact,runtime_seconds,converged,branch_identifier,branch_distance,branch_relative_distance,branch_distance_check_passed,branch_check_passed,branch_provenance_status,branch_candidate_used,tail_sensitivity_flag,overall_validated,relative_p_window_error,relative_py_window_error,relative_p_jump,relative_py_jump,finite_fields,nondegenerate_fields,pressure_ode_residual_left,pressure_ode_residual_right,riccati_residual_left,riccati_residual_right,modal_diagnostic_error,mode_file,config_hash,error_message,accuracy_label,accuracy_order,Ly_multiplier,selection_source,n_finite_modes,validation_status,matching_factor_real,matching_factor_imag
subsonic_interior__subsonic_mstab17__shooting_accuracy__1caba2e7d696,subsonic,subsonic_interior,subsonic_mstab17,shooting_accuracy,shooting_accuracy,0.5,0.5,80.0,,,,,1e-08,1e-10,,1.0,0.0,0.2673341164147236,0.0,0.2673341164147236,0.0,0.2673225798207249,0.13366128991036244,2.663764609451664e-05,1.6983859745046296e-25,1.6983859745046296e-25,True,True,True,True,True,False,-5.000025169576369,1.963242124998942,True,subsonic_cr0_physical,1.1536593998717759e-05,4.315421523237493e-05,True,True,resolved,configured_reference,False,True,,,,,True,True,,,,,,classic_supersonic/reproducibility/results/classical_convergence_modalfix_v1_full/runs/subsonic_interior__subsonic_mstab17__shooting_accuracy__1caba2e7d696/mode.npz,1caba2e7d6961f0a118b8e7ef74c63603be50a60f42864074327e54444d23bd4,,default_primary_tolerance,0.0,,,,robust_reference_primary,,
subsonic_interior__subsonic_mstab17__shooting_accuracy__808ce6f06565,subsonic,subsonic_interior,subsonic_mstab17,shooting_accuracy,shooting_accuracy,0.5,0.5,80.0,,,,,1e-10,1e-12,,1.0,0.0,0.2673341164147236,0.0,0.2673341164147236,0.0,0.2673225801506519,0.13366129007532596,2.6633894873981852e-05,2.0194839173657902e-28,2.0194839173657902e-28,True,True,True,True,True,False,-5.000025169597269,2.525582709000446,True,subsonic_cr0_physical,1.1536264071687619e-05,4.315298109497951e-05,True,True,resolved,configured_reference,False,True,,,,,True,True,,,,,,classic_supersonic/reproducibility/results/classical_convergence_modalfix_v1_full/runs/subsonic_interior__subsonic_mstab17__shooting_accuracy__808ce6f06565/mode.npz,808ce6f065658abceb365837cb1cc7d992bd860bf1c5835d984d24ac8e0f3995,,strict_mstab17_tolerance,1.0,,,,robust_reference_primary,,
subsonic_interior__subsonic_mstab17__shooting_box__2022ce01fbfc,subsonic,subsonic_interior,subsonic_mstab17,shooting_box,shooting_box,0.5,0.5,100.0,,,,,1e-10,1e-12,,1.0,0.0,0.2673341164147236,0.0,0.2673341164147236,0.0,0.2673256487851239,0.1336628243925619,1.7030881637125933e-05,3.2311742677852644e-27,3.2311742677852644e-27,True,True,True,True,True,False,-5.000059276449429,2.6772886249236763,True,subsonic_cr0_physical,8.467629599662185e-06,3.167433215492067e-05,True,True,resolved,configured_reference,False,True,,,,,True,True,,,,,,classic_supersonic/reproducibility/results/classical_convergence_modalfix_v1_full/runs/subsonic_interior__subsonic_mstab17__shooting_box__2022ce01fbfc/mode.npz,2022ce01fbfc599ee56de5c8a76b846e4376163cddcf74a8fa5dbb49160d8878,,,,1.25,,,robust_reference_primary,,
subsonic_interior__subsonic_mstab17__shooting_box__4619d3b1c939,subsonic,subsonic_interior,subsonic_mstab17,shooting_box,shooting_box,0.5,0.5,80.0,,,,,1e-10,1e-12,,1.0,0.0,0.2673341164147236,0.0,0.2673341164147236,0.0,0.2673225801506519,0.1336612900753259,2.6633894873981852e-05,2.0194839173657902e-28,2.0194839173657902e-28,True,True,True,True,True,False,-5.000025169597269,3.105307750054635,True,subsonic_cr0_physical,1.153626407168762e-05,4.315298109497951e-05,True,True,resolved,configured_reference,False,True,,,,,True,True,,,,,,classic_supersonic/reproducibility/results/classical_convergence_modalfix_v1_full/runs/subsonic_interior__subsonic_mstab17__shooting_box__4619d3b1c939/mode.npz,4619d3b1c9396d3ff00a367abb18a445fa40f788cf92737df4e60d7d631cc414,,,,1.0,,,robust_reference_primary,,
subsonic_interior__subsonic_mstab17__shooting_box__bf8034da7f37,subsonic,subsonic_interior,subsonic_mstab17,shooting_box,shooting_box,0.5,0.5,60.0,,,,,1e-10,1e-12,,1.0,0.0,0.2673341164147236,0.0,0.2673341164147236,0.0,0.2673235520453759,0.1336617760226879,2.1541141941640945e-05,6.184669496932733e-28,6.184669496932733e-28,True,True,True,True,True,False,-5.000003586985432,3.0844909999286756,True,subsonic_cr0_physical,1.0564369347654257e-05,3.95174753201549e-05,True,True,resolved,configured_reference,False,True,,,,,True,True,,,,,,classic_supersonic/reproducibility/results/classical_convergence_modalfix_v1_full/runs/subsonic_interior__subsonic_mstab17__shooting_box__bf8034da7f37/mode.npz,bf8034da7f378b79ccf38427c4264d11dad3d8bdcb8aa76c5de8bf9ffc45e113,,,,0.75,,,robust_reference_primary,,
subsonic_interior__subsonic_mstab17__shooting_box__f3afbfe5f71c,subsonic,subsonic_interior,subsonic_mstab17,shooting_box,shooting_box,0.5,0.5,40.0,,,,,1e-10,1e-12,,1.0,0.0,0.2673341164147236,0.0,0.2673341164147236,0.0,0.2673247809221434,0.1336623904610717,1.744764855533016e-05,1.262177448353619e-29,1.262177448353619e-29,True,True,True,True,True,False,-5.000002371073839,3.906644041999243,True,subsonic_cr0_physical,9.335492580142546e-06,3.492069289674989e-05,True,True,resolved,configured_reference,False,True,,,,,True,True,,,,,,classic_supersonic/reproducibility/results/classical_convergence_modalfix_v1_full/runs/subsonic_interior__subsonic_mstab17__shooting_box__f3afbfe5f71c/mode.npz,f3afbfe5f71c43e65b25267d97f6d751a770a01766c78dda1eae0b2766f89ed1,,,,0.5,,,robust_reference_primary,,
subsonic_neutral__subsonic_mstab17__shooting_accuracy__363de7c49425,subsonic,subsonic_neutral,subsonic_mstab17,shooting_accuracy,shooting_accuracy,0.49,0.86,80.0,,,,,1e-08,1e-10,,1.0,0.0,0.0077519783829051,0.0,0.0077519783829051,0.0,0.00774048216154773,0.006656814658931047,9.277110187632771e-07,1.8034496253055848e-24,1.8034496253055848e-24,True,True,True,True,True,False,-5.000049083665371,1.2866257909918204,True,subsonic_cr0_neutral,1.1496221357369663e-05,0.0014830048265771073,True,True,resolved,configured_reference,False,True,,,,,True,True,,,,,,classic_supersonic/reproducibility/results/classical_convergence_modalfix_v1_full/runs/subsonic_neutral__subsonic_mstab17__shooting_accuracy__363de7c49425/mode.npz,363de7c4942501ddf1e2b38e516437c6c928342c22f048dd5168e402935480d6,,default_primary_tolerance,0.0,,,,secondary_near_neutral,,
subsonic_neutral__subsonic_mstab17__shooting_accuracy__beb00350974e,subsonic,subsonic_neutral,subsonic_mstab17,shooting_accuracy,shooting_accuracy,0.49,0.86,80.0,,,,,1e-10,1e-12,,1.0,0.0,0.0077519783829051,0.0,0.0077519783829051,0.0,0.007740624564709375,0.006656937125650062,1.732852111885729e-06,3.155443620884047e-26,3.155443620884047e-26,True,True,True,True,True,False,-5.000049083668616,2.5120607080170885,True,subsonic_cr0_neutral,1.1353818195724251e-05,0.001464634914457713,True,True,resolved,configured_reference,False,True,,,,,True,True,,,,,,classic_supersonic/reproducibility/results/classical_convergence_modalfix_v1_full/runs/subsonic_neutral__subsonic_mstab17__shooting_accuracy__beb00350974e/mode.npz,beb00350974e502a23b55ef1cb0d904746de5b59e60e1533685d0b7cfffe9098,,strict_mstab17_tolerance,1.0,,,,secondary_near_neutral,,
subsonic_neutral__subsonic_mstab17__shooting_box__15e543d48208,subsonic,subsonic_neutral,subsonic_mstab17,shooting_box,shooting_box,0.49,0.86,100.0,,,,,1e-10,1e-12,,1.0,0.0,0.0077519783829051,0.0,0.0077519783829051,0.0,0.007751080898254,0.0066659295724984,1.3466278202921649e-05,1.746651640129672e-24,1.746651640129672e-24,True,True,True,True,True,False,-5.00011559580807,2.616687458008528,True,subsonic_cr0_neutral,8.974846510420922e-07,0.0001157749166356,True,True,resolved,configured_reference,False,True,,,,,True,True,,,,,,classic_supersonic/reproducibility/results/classical_convergence_modalfix_v1_full/runs/subsonic_neutral__subsonic_mstab17__shooting_box__15e543d48208/mode.npz,15e543d48208d70d7a0393a4205cc697adc02e22333edb8d4675c9165a445429,,,,1.25,,,secondary_near_neutral,,
subsonic_neutral__subsonic_mstab17__shooting_box__1f675eaa116f,subsonic,subsonic_neutral,subsonic_mstab17,shooting_box,shooting_box,0.49,0.86,40.0,,,,,1e-10,1e-12,,1.0,0.0,0.0077519783829051,0.0,0.0077519783829051,0.0,0.0077481325443948,0.0066633939881795,9.6357351331293e-06,4.696562285323816e-26,4.696562285323816e-26,True,True,True,True,True,False,-5.000004623774307,2.941441416973248,True,subsonic_cr0_neutral,3.845838510280024e-06,0.000496110582398,True,True,resolved,configured_reference,False,True,,,,,True,True,,,,,,classic_supersonic/reproducibility/results/classical_convergence_modalfix_v1_full/runs/subsonic_neutral__subsonic_mstab17__shooting_box__1f675eaa116f/mode.npz,1f675eaa116f2d3ba46cb5a48dfa44b5779cb26b01355e45b7eb752734cb3ba6,,,,0.5,,,secondary_near_neutral,,
