boundary_id,normal_axis,pair_id,idx_a,idx_b,Mach_minus_grid,Mach_plus_grid,eta_minus_grid,eta_plus_grid,Mach_mid,eta_mid,component,chart_minus,chart_plus,Mach_boundary,eta_boundary,clean_pair_switch,third_chart_seen,eps,Mach_minus,eta_minus,Mach_plus,eta_plus,routed_chart_minus,routed_chart_plus,family_minus,family_plus,ci_minus,ci_plus,samepoint_ci_abs_diff,samepoint_ci_rel_diff_reg,samepoint_p_overlap,samepoint_p_rel,samepoint_q_overlap,samepoint_q_rel,routed_ci_abs_diff,routed_ci_rel_diff_reg,routed_p_overlap,routed_p_rel,routed_q_overlap,routed_q_rel,success,error
ROUTE_0140,eta,HM1_LOW__HM1_VLOW_MOD,14,8,0.8488,0.8488,0.2471999999999999,0.2504,0.8488,0.2488,0,HM1_VLOW_MOD,HM1_LOW,0.8488,0.2500000004947186,True,,0.001,0.8488,0.2490000004947186,0.8488,0.2510000004947186,HM1_VLOW_MOD,HM1_LOW,pQscaled,pq_etaaware,0.4038327448701764,0.4027669418277954,0.00011284282047768768,0.0002797463099179344,0.9904411777435956,0.13793575834379868,0.9903922475378417,0.4035615580207619,0.0010658030423810194,0.002639218973497685,0.9902554752899814,0.13926267862644706,0.9901938394982196,0.4088905536918597,True,
ROUTE_0140,eta,HM1_LOW__HM1_VLOW_MOD,14,8,0.8488,0.8488,0.2471999999999999,0.2504,0.8488,0.2488,0,HM1_VLOW_MOD,HM1_LOW,0.8488,0.2500000004947186,True,,0.0002,0.8488,0.2498000004947186,0.8488,0.2502000004947186,HM1_VLOW_MOD,HM1_LOW,pQscaled,pq_etaaware,0.403375906475931,0.40325432118856136,0.00011284282047768768,0.0002797463099179344,0.9904411777435956,0.13793575834379868,0.9903922475378417,0.4035615580207619,0.00012158528736966323,0.0003014193099233062,0.9904042005734767,0.13820101116277184,0.9903527967997716,0.4046247621612182,True,
ROUTE_0140,eta,HM1_LOW__HM1_VLOW_MOD,14,8,0.8488,0.8488,0.2471999999999999,0.2504,0.8488,0.2488,0,HM1_VLOW_MOD,HM1_LOW,0.8488,0.2500000004947186,True,,5e-05,0.8488,0.2499500004947186,0.8488,0.2500500004947186,HM1_VLOW_MOD,HM1_LOW,pQscaled,pq_etaaware,0.4032909657819397,0.4033452633746588,0.00011284282047768768,0.0002797463099179344,0.9904411777435956,0.13793575834379868,0.9903922475378417,0.4035615580207619,5.429759271913248e-05,0.0001346181488902142,0.9904319411041935,0.13800206534896287,0.9903823956607938,0.40382723771345913,True,
ROUTE_0141,Mach,HM1_LOW__HM2_LOW,8,16,0.8488,0.852,0.2504,0.2504,0.8504,0.2504,0,HM1_LOW,HM2_LOW,0.8499999995052815,0.2504,True,,0.001,0.8489999995052815,0.2504,0.8509999995052815,0.2504,HM1_LOW,HM2_LOW,pq_etaaware,pq_etaaware,0.4030685983237015,0.4026534314148954,1.724544104242387e-06,4.281952502464675e-06,0.9734937615431322,0.22871356810780397,0.9533492756439542,0.46913556086965047,0.0004151669088061083,0.0010300155123289727,0.9733760002649559,0.22921422754313622,0.9532086467749341,0.47014174228877065,True,
ROUTE_0141,Mach,HM1_LOW__HM2_LOW,8,16,0.8488,0.852,0.2504,0.2504,0.8504,0.2504,0,HM1_LOW,HM2_LOW,0.8499999995052815,0.2504,True,,0.0002,0.8497999995052815,0.2504,0.8501999995052815,0.2504,HM1_LOW,HM2_LOW,pq_etaaware,pq_etaaware,0.40281145805460766,0.4027274806294007,1.724544104242387e-06,4.281952502464675e-06,0.9734937615431322,0.22871356810780397,0.9533492756439542,0.46913556086965047,8.397742520693807e-05,0.00020847824342562162,0.9734702720238669,0.22881352557438242,0.9533212294730066,0.46933632221792565,True,
ROUTE_0141,Mach,HM1_LOW__HM2_LOW,8,16,0.8488,0.852,0.2504,0.2504,0.8504,0.2504,0,HM1_LOW,HM2_LOW,0.8499999995052815,0.2504,True,,5e-05,0.8499499995052815,0.2504,0.8500499995052815,0.2504,HM1_LOW,HM2_LOW,pq_etaaware,pq_etaaware,0.4027632174776767,0.40274094990174525,1.724544104242387e-06,4.281952502464675e-06,0.9734937615431322,0.22871356810780397,0.9533492756439542,0.46913556086965047,2.2267575931433914e-05,5.5287014715210686e-05,0.9734878920879219,0.22873854934884574,0.9533422678078124,0.46918572905691486,True,
ROUTE_0142,Mach,HM1_LOW__HM2_LOW,8,16,0.8488,0.852,0.2888,0.2888,0.8504,0.2888,0,HM1_LOW,HM2_LOW,0.8499999995052815,0.2888,True,,0.001,0.8489999995052815,0.2888,0.8509999995052815,0.2888,HM1_LOW,HM2_LOW,pq_etaaware,pq_etaaware,0.37790972640197185,0.377663305941089,8.747153715071843e-05,0.00023156466336118463,0.9737473929445791,0.2276313131659076,0.953121813041891,0.4611339918138426,0.00024642046088285685,0.0006520617059237751,0.9736358218338178,0.2281080586958431,0.9529884883521382,0.462069119812954,True,
ROUTE_0142,Mach,HM1_LOW__HM2_LOW,8,16,0.8488,0.852,0.2888,0.2888,0.8504,0.2888,0,HM1_LOW,HM2_LOW,0.8499999995052815,0.2888,True,,0.0002,0.8497999995052815,0.2888,0.8501999995052815,0.2888,HM1_LOW,HM2_LOW,pq_etaaware,pq_etaaware,0.3777048483143403,0.37772606180322726,8.747153715071843e-05,0.00023156466336118463,0.9737473929445791,0.2276313131659076,0.953121813041891,0.4611339918138426,2.121348888695085e-05,5.6161041114504325e-05,0.9737251363773956,0.22772649996612762,0.9530952172088387,0.4613205988238944,True,
ROUTE_0142,Mach,HM1_LOW__HM2_LOW,8,16,0.8488,0.852,0.2888,0.2888,0.8504,0.2888,0,HM1_LOW,HM2_LOW,0.8499999995052815,0.2888,True,,5e-05,0.8499499995052815,0.2888,0.8500499995052815,0.2888,HM1_LOW,HM2_LOW,pq_etaaware,pq_etaaware,0.3776665764377059,0.377737507711997,8.747153715071843e-05,0.00023156466336118463,0.9737473929445791,0.2276313131659076,0.953121813041891,0.4611339918138426,7.093127429108614e-05,0.00018777927222722913,0.9737418314880701,0.22765510231545102,0.9531151672989663,0.4611806240699329,True,
ROUTE_0143,Mach,HM1_LOW__HM2_LOW,8,16,0.8488,0.852,0.324,0.324,0.8504,0.324,0,HM1_LOW,HM2_LOW,0.8499999995052815,0.324,True,,0.001,0.8489999995052815,0.324,0.8509999995052815,0.324,HM1_LOW,HM2_LOW,pq_etaaware,pq_etaaware,0.35562689469315156,0.3552243872535964,0.00012829114005602493,0.00036095032960195816,0.9736526034185783,0.22803641782887366,0.9525362612448339,0.4562913915005269,0.00040250743955516644,0.00113182508286519,0.9735460068361043,0.22849107766710733,0.9524083233335137,0.45717053616275405,True,
