point_id,point_category,Mach,alpha,eta,Ly_production,reference_Ly,ci_reference,abs_ci_error_at_production,abs_omega_error_at_production,shooting_residual_at_production,p_rel_l2_at_production,modal_rel_l2_mean_at_production,p_overlap_defect_at_production,minimum_converged_Ly,ci_variation_two_largest_domains,modal_mean_variation_two_largest_domains,production_jointly_converged,final_status,notes
interior,interior atlas point,0.5,0.5,0.5773502691896258,10.0,25.0,0.2673314990134293,4.412237386564044e-08,2.206118693282022e-08,6.663238551523656e-06,2.0209124696854e-06,1.0098083373299174e-05,2.041922186890588e-12,5.0,1.4724995500703386e-08,6.8289096945324125e-06,True,production box satisfies joint criterion,Interior point required by the article protocol.
long_wave,long wavelength,0.49,0.09,0.10324387282525468,46.74109384564591,116.85273461411478,0.6889933014291585,1.2085565498254347e-05,1.0877008948459443e-06,2.428626918656088e-06,7.345085629924185e-06,8.963543545953377e-05,2.697508882931743e-11,116.85273461411478,3.235537047707737e-05,5.784462660148607e-05,False,production box does not satisfy joint criterion,Canonical primary-branch point with a complete Mstab17 reconstruction.
near_neutral,near neutral boundary,0.49,0.86,0.9865525625524336,10.0,25.0,0.00773892721980576,1.102917031783196e-07,9.48508647336671e-08,5.264837550485037e-05,3.876185386523663e-06,5.0925479243331466e-05,7.512546140731047e-12,5.0,3.649725167746698e-08,1.9074164811089784e-05,True,production box satisfies joint criterion,Canonical secondary near-neutral point; absolute ci errors are used because ci is close to zero.
