point_id,point_category,Mach,alpha,eta,Ly,Ly_production,matching_point,integration_rtol,integration_atol,root_tolerance,n_scan,ci,omega_i,shooting_residual_real,shooting_residual_imag,shooting_residual_abs,stage2_amplitude_mismatch,runtime_seconds,solver_success,branch_check_passed,branch_check,point_source,notes,Ly_factor,high_fidelity_tolerances,reference_Ly,reference_type,ci_reference,omega_i_reference,abs_ci_error,abs_omega_error,p_rel_l2,rho_rel_l2,u_rel_l2,v_rel_l2,modal_rel_l2_mean,p_overlap,p_overlap_defect,alignment_factor_real,alignment_factor_imag,comparison_y_min,comparison_y_max,comparison_grid_size,converged,convergence_criteria
interior,interior atlas point,0.5,0.5,0.5773502691896258,5.0,10.0,1.0,1e-10,1e-12,0.0001,121,0.2673319756626496,0.1336659878313248,5.231503302893792e-06,-5.2679766010324536e-06,7.424298234662594e-06,7.099748146989106e-30,2.7276667079422623,True,True,passed_expected_branch,assets/classic_subsonic/convergence_box_resolution/article_test_a050_M050_exact_solver/subsonic_classical_robust_reference_points.csv,Interior point required by the article protocol.,0.5,False,25.0,largest-domain classical reference,0.2673314990134293,0.13366574950671464,4.7664922031565027e-07,2.3832461015782513e-07,7.128890133650306e-06,7.128890133650306e-06,3.834565491048302e-05,1.122068392025842e-05,1.5956029774510512e-05,0.9999999999745894,2.5410562543015658e-11,4788.502961115005,-4549.531461333891,-5.0,5.0,4001,True,abs_ci<=1e-06;|F|<=0.0005;p_rel_l2<=0.001;modal_mean<=0.01
interior,interior atlas point,0.5,0.5,0.5773502691896258,7.5,10.0,1.0,1e-10,1e-12,0.0001,121,0.2673315435344547,0.13366577176722735,4.615202756907966e-06,-4.807074950357454e-06,6.663937729730449e-06,4.4373425918681914e-29,2.5702676251530647,True,True,passed_expected_branch,assets/classic_subsonic/convergence_box_resolution/article_test_a050_M050_exact_solver/subsonic_classical_robust_reference_points.csv,Interior point required by the article protocol.,0.75,False,25.0,largest-domain classical reference,0.2673314990134293,0.13366574950671464,4.452102542185088e-08,2.226051271092544e-08,2.258730060288471e-06,2.258730060288471e-06,3.400359826375279e-05,5.072078060650473e-06,1.089828411124505e-05,0.9999999999974493,2.550737399076297e-12,1731.4206315330537,-1357.2914781751024,-7.5,7.5,4001,True,abs_ci<=1e-06;|F|<=0.0005;p_rel_l2<=0.001;modal_mean<=0.01
interior,interior atlas point,0.5,0.5,0.5773502691896258,10.0,10.0,1.0,1e-10,1e-12,0.0001,121,0.26733154313580315,0.13366577156790158,4.614608535735698e-06,-4.806676196336332e-06,6.663238551523656e-06,3.2691505248006696e-27,2.262266458943486,True,True,passed_expected_branch,assets/classic_subsonic/convergence_box_resolution/article_test_a050_M050_exact_solver/subsonic_classical_robust_reference_points.csv,Interior point required by the article protocol.,1.0,False,25.0,largest-domain classical reference,0.2673314990134293,0.13366574950671464,4.412237386564044e-08,2.206118693282022e-08,2.0209124696854e-06,2.0209124696854e-06,3.164903555807874e-05,4.701472995747154e-06,1.0098083373299174e-05,0.9999999999979581,2.041922186890588e-12,616.9233395888999,-395.32224111554683,-10.0,10.0,4001,True,abs_ci<=1e-06;|F|<=0.0005;p_rel_l2<=0.001;modal_mean<=0.01
interior,interior atlas point,0.5,0.5,0.5773502691896258,12.5,10.0,1.0,1e-10,1e-12,0.0001,121,0.2673315357931644,0.1336657678965822,4.5688410852950945e-06,-4.834703878316311e-06,6.651967412253854e-06,4.552714269628742e-27,2.3818502090871334,True,True,passed_expected_branch,assets/classic_subsonic/convergence_box_resolution/article_test_a050_M050_exact_solver/subsonic_classical_robust_reference_points.csv,Interior point required by the article protocol.,1.25,False,25.0,largest-domain classical reference,0.2673314990134293,0.13366574950671464,3.677973509086385e-08,1.8389867545431926e-08,1.9056620341044419e-06,1.9056620341044419e-06,2.9247563957109307e-05,4.3685476070017925e-06,9.356858908079996e-06,0.9999999999981846,1.815436689867056e-12,217.02720281034607,-111.5831358895379,-12.5,12.5,4001,True,abs_ci<=1e-06;|F|<=0.0005;p_rel_l2<=0.001;modal_mean<=0.01
interior,interior atlas point,0.5,0.5,0.5773502691896258,15.0,10.0,1.0,1e-10,1e-12,0.0001,121,0.26733141119038795,0.13366570559519397,3.7918668218672735e-06,-5.310922267393221e-06,6.525653172294017e-06,1.5351430430827195e-26,3.101701208157465,True,True,passed_expected_branch,assets/classic_subsonic/convergence_box_resolution/article_test_a050_M050_exact_solver/subsonic_classical_robust_reference_points.csv,Interior point required by the article protocol.,1.5,False,25.0,largest-domain classical reference,0.2673314990134293,0.13366574950671464,8.782304133925223e-08,4.3911520669626114e-08,1.5705093777900605e-06,1.5705093777900605e-06,2.4971032203470053e-05,3.6851878049295815e-06,7.949309690994938e-06,0.9999999999987665,1.233457780358549e-12,75.4797529841858,-30.140469877588796,-15.0,15.0,4001,True,abs_ci<=1e-06;|F|<=0.0005;p_rel_l2<=0.001;modal_mean<=0.01
interior,interior atlas point,0.5,0.5,0.5773502691896258,20.0,10.0,1.0,1e-10,1e-12,0.0001,121,0.2673315137384248,0.1336657568692124,4.431449470987392e-06,-4.9188211118308955e-06,6.620615193779786e-06,3.9766478232191205e-27,2.5463434590492398,True,True,passed_expected_branch,assets/classic_subsonic/convergence_box_resolution/article_test_a050_M050_exact_solver/subsonic_classical_robust_reference_points.csv,Interior point required by the article protocol.,2.0,False,25.0,largest-domain classical reference,0.2673314990134293,0.13366574950671464,1.4724995500703386e-08,7.362497750351693e-09,1.359758049505941e-06,1.359758049505941e-06,2.1560375246511263e-05,3.035747432606506e-06,6.8289096945324125e-06,0.9999999999990753,9.247047572102929e-13,8.853099235057229,-1.7022513775190435,-20.0,20.0,4001,True,abs_ci<=1e-06;|F|<=0.0005;p_rel_l2<=0.001;modal_mean<=0.01
interior,interior atlas point,0.5,0.5,0.5773502691896258,25.0,10.0,1.0,1e-12,1e-14,0.0001,121,0.2673314990134293,0.13366574950671464,4.339813542642013e-06,-4.974895679619486e-06,6.601785259154954e-06,2.8398992587956425e-29,5.388152583036572,True,True,passed_expected_branch,assets/classic_subsonic/convergence_box_resolution/article_test_a050_M050_exact_solver/subsonic_classical_robust_reference_points.csv,Interior point required by the article protocol.,2.5,True,25.0,largest-domain classical reference,0.2673314990134293,0.13366574950671464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-25.0,25.0,4001,True,abs_ci<=1e-06;|F|<=0.0005;p_rel_l2<=0.001;modal_mean<=0.01
long_wave,long wavelength,0.49,0.09,0.10324387282525468,23.370546922822957,46.74109384564591,1.0,1e-10,1e-12,0.0001,121,0.6889759763922876,0.06200783787530588,-1.390048337962524e-07,-3.3845946642314245e-07,3.658922713452172e-07,1.262177448353619e-29,2.2408268328290433,True,True,passed_expected_branch,assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,Canonical primary-branch point with a complete Mstab17 reconstruction.,0.5,False,116.85273461411478,largest-domain classical reference,0.6889933014291585,0.062009397128624265,1.7325036870907695e-05,1.5592533183853008e-06,8.607716859332468e-06,8.607716859334872e-06,0.00033938883045653485,4.596302672395289e-05,0.00010064182272478877,0.9999999999629535,3.7046476997204536e-11,318.550215345586,-2963.9164783398082,-23.370546922822957,23.370546922822957,4001,False,abs_ci<=1e-06;|F|<=0.0005;p_rel_l2<=0.001;modal_mean<=0.01
long_wave,long wavelength,0.49,0.09,0.10324387282525468,35.05582038423444,46.74109384564591,1.0,1e-10,1e-12,0.0001,121,0.6889783038394952,0.06200804734555457,-1.0903080562979506e-06,-3.736754202949069e-07,1.1525645219946648e-06,1.1906455136204406e-25,1.8303311669733375,True,True,passed_expected_branch,assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,Canonical primary-branch point with a complete Mstab17 reconstruction.,0.75,False,116.85273461411478,largest-domain classical reference,0.6889933014291585,0.062009397128624265,1.4997589663279243e-05,1.3497830696970747e-06,8.223118942689017e-06,8.223118942692518e-06,0.0003253585369102678,4.383252507466552e-05,9.640932496757872e-05,0.9999999999661902,3.380984381351482e-11,313.61772202961805,-1050.8445013861046,-35.05582038423444,35.05582038423444,4001,False,abs_ci<=1e-06;|F|<=0.0005;p_rel_l2<=0.001;modal_mean<=0.01
long_wave,long wavelength,0.49,0.09,0.10324387282525468,46.74109384564591,46.74109384564591,1.0,1e-10,1e-12,0.0001,121,0.6889812158636602,0.06200830942772942,-2.382674065659618e-06,-4.7020528161009767e-07,2.428626918656088e-06,1.232595164407831e-30,1.9206137920264155,True,True,passed_expected_branch,assets/classic_subsonic/data/subsonic_hybrid_growth_map.csv,Canonical primary-branch point with a complete Mstab17 reconstruction.,1.0,False,116.85273461411478,largest-domain classical reference,0.6889933014291585,0.062009397128624265,1.2085565498254347e-05,1.0877008948459443e-06,7.345085629924185e-06,7.34508562992453e-06,0.00030248989123187305,4.136167934641328e-05,8.963543545953377e-05,0.9999999999730249,2.697508882931743e-11,183.78517420585473,-359.1400037831445,-46.74109384564591,46.74109384564591,4001,False,abs_ci<=1e-06;|F|<=0.0005;p_rel_l2<=0.001;modal_mean<=0.01
