ci0,n,target_count,technical_count,target_fraction
0.06,25,0,25,0.0
0.066,25,0,25,0.0
0.072,25,0,25,0.0
0.078,25,0,25,0.0
0.0839999999999999,25,0,25,0.0
0.09,25,0,25,0.0
0.096,25,0,25,0.0
0.102,25,0,25,0.0
0.108,25,0,25,0.0
0.1139999999999999,25,0,25,0.0
0.12,25,0,25,0.0
0.126,25,0,25,0.0
0.132,25,0,25,0.0
0.138,25,0,25,0.0
0.144,25,0,25,0.0
0.15,25,0,25,0.0
0.156,25,0,25,0.0
0.162,25,0,25,0.0
0.1679999999999999,25,0,25,0.0
0.174,25,0,25,0.0
0.18,25,0,25,0.0
0.186,25,7,25,0.28
0.192,25,7,25,0.28
0.198,25,7,25,0.28
0.204,25,7,25,0.28
0.21,25,7,25,0.28
0.216,25,0,25,0.0
0.222,25,0,25,0.0
0.228,25,0,25,0.0
0.234,25,0,25,0.0
0.24,25,0,25,0.0
