step,ci_anchor_loss
1,0.25722924029948246
100,0.00037032239058933276
200,5.728375384803418e-06
300,1.750662292390446e-06
400,4.071263200095028e-07
500,7.262356160861384e-08
600,9.964095054151666e-09
700,1.0486749198096513e-09
800,8.407347802247471e-11
900,5.079739692339495e-12
1000,2.28028260618941e-13
1100,7.469459593587001e-15
1200,1.7462968317575634e-16
1300,2.8356352919990743e-18
1400,3.0899763155984915e-20
1500,2.142142166654225e-22
1600,7.443994239553285e-25
1700,4.987051239179166e-27
1800,1.0340574297610227e-26
1900,9.44868776561423e-27
2000,8.367235075567111e-27
2100,7.459373771193369e-27
2200,6.657005134926219e-27
2300,5.916181079882202e-27
2400,5.304996565017545e-27
2500,4.7520108219653065e-27
2600,4.2469351438227194e-27
2700,3.813844242248975e-27
2800,3.42238086503761e-27
2900,3.077468755114781e-27
3000,2.7621810549106367e-27
