condition,benchmark_id,atlas_chart,Mach,alpha,candidate_index,center_kind,center_index,cr_center,ci_center,requested_cr_half_window,requested_ci_half_window,status,error,retry_index,used_cr_half_window,used_ci_half_window,shoot_cr,shoot_ci,stage1_mismatch,stage2_mismatch,total_mismatch,spectral_success,mode_success,technical_success,delta_center,seconds,t401_row,test_id
generic,101,C02,1.1,0.28,0,generic,5,0.9,0.002,0.015,0.008,COMPLETED,,2,0.0459375,0.0245,0.8082147216796877,1e-06,0.01323208974072091,3.8133669490157565e-08,0.0132321278743904,True,True,True,0.09180704394183054,145.62625686707906,101,101
generic,101,C02,1.1,0.28,1,generic,0,0.1,0.0001,0.015,0.015,COMPLETED,,0,0.015,0.015,0.129970703125,0.022585351562499995,0.04910373712558304,9.95282453834556e-22,0.04910373712558304,True,True,True,0.03746777389565739,30.938404018059373,101,101
generic,101,C02,1.1,0.28,2,generic,1,0.5,0.0001,0.015,0.03,COMPLETED,,1,0.02625,0.0525,0.5436987304687497,0.0041181318359375,0.04870359224987312,9.582652743755225e-20,0.04870359224987312,True,True,True,0.04388307678401106,77.96627426496707,101,101
generic,101,C02,1.1,0.28,3,generic,2,0.9,0.0001,0.03,0.008,COMPLETED,,0,0.03,0.008,0.8400585937499998,1.1067606608072916e-06,0.04525538222440206,5.642736882484674e-07,0.04525594649809031,True,True,True,0.0599414878285512,48.86612341401633,101,101
generic,101,C02,1.1,0.28,4,generic,3,0.1,0.002,0.03,0.015,COMPLETED,,0,0.03,0.015,0.15994140624999997,0.025433496093749994,0.02911621143053012,9.398672542619352e-22,0.02911621143053012,True,True,True,0.06435915569989503,31.08648102497682,101,101
generic,101,C02,1.1,0.28,5,generic,4,0.5,0.002,0.03,0.03,COMPLETED,,0,0.03,0.03,0.5599414062499999,0.005946256510416667,0.046178443178171,1.1156100226319342e-19,0.046178443178171,True,True,True,0.06007116715757678,39.23013865703251,101,101
generic,101,C02,1.1,0.28,6,generic,5,0.9,0.002,0.06,0.008,COMPLETED,,0,0.06,0.008,0.7801171875000003,7.63330078125e-06,0.0020004344671800092,3.2991061380945505e-14,0.002000434467213,True,True,True,0.11989936721256812,46.700969322933815,101,101
generic,101,C02,1.1,0.28,7,generic,0,0.1,0.0001,0.06,0.015,COMPLETED,,0,0.06,0.015,0.21394531250000004,0.022585351562499995,0.0063913971671258575,1.2629138329692472e-20,0.0063913971671258575,True,True,True,0.11614269359547283,31.678121924051084,101,101
generic,101,C02,1.1,0.28,8,generic,1,0.5,0.0001,0.06,0.03,COMPLETED,,0,0.06,0.03,0.6198828124999999,0.001894126302083333,0.03349848531172515,4.9060743297721703e-20,0.03349848531172515,True,True,True,0.11989623689715184,40.543163520051166,101,101
generic,101,C02,1.1,0.28,9,generic,2,0.9,0.0001,0.1,0.008,COMPLETED,,0,0.1,0.008,0.7614583333333332,1e-06,3.639269152092368e-08,1.1541528081449166e-21,3.639269152092483e-08,True,True,True,0.13854170203869234,27.52050743799191,101,101
generic,101,C02,1.1,0.28,10,generic,3,0.1,0.002,0.1,0.015,COMPLETED,,0,0.1,0.015,0.21373697916666665,0.025433496093749994,0.005058067902960714,1.4027910528183727e-20,0.005058067902960714,True,True,True,0.11612591945442051,31.37756706995424,101,101
generic,101,C02,1.1,0.28,11,generic,4,0.5,0.002,0.1,0.03,COMPLETED,,0,0.1,0.03,0.6953776041666663,1e-06,0.005780185276793177,2.9551139914465043e-21,0.005780185276793177,True,True,True,0.19538783025282444,43.36795451596845,101,101
generic,102,C02,1.1,0.29,0,generic,0,0.1,0.0001,0.015,0.008,COMPLETED,,1,0.02625,0.014,0.15244873046874996,0.021086328125000012,0.03781615647925789,2.7523754647943424e-22,0.03781615647925789,True,True,True,0.05649155065984422,62.54977634397801,102,102
generic,102,C02,1.1,0.29,1,generic,1,0.5,0.0001,0.015,0.015,COMPLETED,,1,0.02625,0.02625,0.5524487304687498,0.005662744140624999,0.04904446187482733,1.2881018124363427e-19,0.04904446187482733,True,True,True,0.05274289952360997,78.56076078303158,102,102
generic,102,C02,1.1,0.29,2,generic,2,0.9,0.0001,0.015,0.03,COMPLETED,,2,0.0459375,0.091875,0.8082147216796877,5.0538760715060744e-05,0.01772755554929971,3.512620295212511e-20,0.01772755554929971,True,True,True,0.0917852916471446,142.88509134401102,102,102
generic,102,C02,1.1,0.29,3,generic,3,0.1,0.002,0.03,0.008,COMPLETED,,0,0.03,0.008,0.15994140624999997,0.014940332031249998,0.033847339021370465,1.7454780123179294e-22,0.033847339021370465,True,True,True,0.061322299176617065,31.577227085945196,102,102
generic,102,C02,1.1,0.29,4,generic,4,0.5,0.002,0.03,0.015,COMPLETED,,0,0.03,0.015,0.5599414062499999,0.005034667968750003,0.04780044609299415,1.2549555318110387e-19,0.04780044609299415,True,True,True,0.060018175521320896,39.43674024799839,102,102
generic,102,C02,1.1,0.29,5,generic,5,0.9,0.002,0.03,0.03,COMPLETED,,0,0.03,0.03,0.8400585937499998,1e-06,0.04337197106577624,2.3265814052302699e-07,0.043372203723916765,True,True,True,0.05997472954693139,47.95389674801845,102,102
generic,102,C02,1.1,0.29,6,generic,0,0.1,0.0001,0.06,0.008,COMPLETED,,0,0.06,0.008,0.2183203125,0.0120921875,0.009134361648300627,1.0814043622534409e-20,0.009134361648300627,True,True,True,0.11892648532237389,32.99583122495096,102,102
generic,102,C02,1.1,0.29,7,generic,1,0.5,0.0001,0.06,0.015,COMPLETED,,0,0.06,0.015,0.6198828124999999,0.0015599609375000008,0.034720818776578496,4.971922435855165e-20,0.034720818776578496,True,True,True,0.11989170204334057,40.83687544008717,102,102
generic,102,C02,1.1,0.29,8,generic,2,0.9,0.0001,0.06,0.03,COMPLETED,,0,0.06,0.03,0.7801171875000003,1.53150047019676e-05,0.002086489088918584,2.685223649258047e-18,0.0020864890889185864,True,True,True,0.11988284241065746,45.762798196985386,102,102
generic,102,C02,1.1,0.29,9,generic,3,0.1,0.002,0.1,0.008,COMPLETED,,0,0.1,0.008,0.21803385416666668,0.014940332031249998,0.007738625410490464,1.2395271376963837e-20,0.007738625410490464,True,True,True,0.11874107512784669,32.32460892992094,102,102
generic,102,C02,1.1,0.29,10,generic,4,0.5,0.002,0.1,0.015,COMPLETED,,0,0.1,0.015,0.6914713541666662,7.313704427083332e-05,0.014040032662153321,5.165033203014449e-22,0.014040032662153321,True,True,True,0.1914810493685134,43.04780073207803,102,102
generic,102,C02,1.1,0.29,11,generic,5,0.9,0.002,0.1,0.03,COMPLETED,,0,0.1,0.03,0.7617187499999999,8.30070891203704e-06,7.948429332262597e-08,2.9938009805830775e-22,7.948429332262628e-08,True,True,True,0.13829559272669775,35.69487658806611,102,102
generic,103,C02,1.1,0.305,0,generic,1,0.5,0.0001,0.015,0.008,COMPLETED,,2,0.0459375,0.0245,0.5917852783203122,0.001986062282986111,0.04369189668221204,1.0032111255349366e-19,0.04369189668221204,True,True,True,0.09180465427892251,120.50760822393931,103,103
generic,103,C02,1.1,0.305,1,generic,2,0.9,0.0001,0.015,0.015,COMPLETED,,2,0.0459375,0.0459375,0.8082147216796877,5.7734014440465865e-05,0.01874229631039373,1.4016425543253827e-18,0.01874229631039373,True,True,True,0.09178528805179366,144.51329582207836,103,103
generic,103,C02,1.1,0.305,2,generic,3,0.1,0.002,0.015,0.03,COMPLETED,,1,0.02625,0.0525,0.15244873046874996,0.02827395833333333,0.04355844563638407,3.641633736787465e-21,0.04355844563638407,True,True,True,0.05866165880952665,60.217269307002425,103,103
generic,103,C02,1.1,0.305,3,generic,4,0.5,0.002,0.03,0.008,COMPLETED,,1,0.0525,0.014,0.5830224609375001,0.00031749658203125003,0.04567172895065691,7.844876378561702e-22,0.04567172895065691,True,True,True,0.08303950769284586,82.21554598596413,103,103
generic,103,C02,1.1,0.305,4,generic,5,0.9,0.002,0.03,0.015,COMPLETED,,1,0.0525,0.02625,0.7951025390625002,1.1209937201605903e-06,0.004309025449293576,1.3437920257831737e-08,0.004309038887213833,True,True,True,0.10491650408022588,95.85462779493537,103,103
generic,103,C02,1.1,0.305,5,generic,0,0.1,0.0001,0.03,0.03,COMPLETED,,0,0.03,0.03,0.15994140624999997,0.026516015625000004,0.03819856335992726,4.690954969121133e-21,0.03819856335992726,True,True,True,0.06550403090442435,30.720478240051307,103,103
generic,103,C02,1.1,0.305,6,generic,1,0.5,0.0001,0.06,0.008,COMPLETED,,0,0.06,0.008,0.6198828124999999,0.0010453124999999994,0.03657319014141596,4.0031987434758066e-20,0.03657319014141596,True,True,True,0.11988653948059716,41.582858641049825,103,103
generic,103,C02,1.1,0.305,7,generic,2,0.9,0.0001,0.06,0.015,COMPLETED,,0,0.06,0.015,0.7808203125000004,1e-06,0.0009196657578215002,5.845252030329668e-11,0.0009196658162740204,True,True,True,0.1191797286185766,47.05829611700028,103,103
generic,103,C02,1.1,0.305,8,generic,3,0.1,0.002,0.06,0.03,COMPLETED,,0,0.06,0.03,0.21988281249999997,0.022664680989583328,0.001586935611353785,2.766568913759507e-20,0.001586935611353785,True,True,True,0.12165080260035852,31.619354257942177,103,103
generic,103,C02,1.1,0.305,9,generic,4,0.5,0.002,0.1,0.008,COMPLETED,,0,0.1,0.008,0.6998046874999995,0.000122494140625,0.012252744844835673,6.747813702340338e-22,0.012252744844835673,True,True,True,0.19981350849035315,43.56863321608398,103,103
