condition,benchmark_id,atlas_chart,Mach,alpha,candidate_index,center_kind,center_index,cr_center,ci_center,requested_cr_half_window,requested_ci_half_window,status,error,retry_index,used_cr_half_window,used_ci_half_window,shoot_cr,shoot_ci,stage1_mismatch,stage2_mismatch,total_mismatch,spectral_success,mode_success,technical_success,delta_center,seconds,t401_row,test_id
generic,51,C01,1.1,0.2,0,generic,3,0.1,0.002,0.015,0.008,COMPLETED,,0,0.015,0.008,0.129970703125,0.014940332031249998,0.028407098674257853,8.515099525891917e-21,0.028407098674257853,True,True,True,0.03264498795965285,29.761792371049523,51,51
generic,51,C01,1.1,0.2,1,generic,4,0.5,0.002,0.015,0.015,COMPLETED,,0,0.015,0.015,0.5299707031249998,0.018567871093750004,0.03687018211040113,2.098908756972124e-20,0.03687018211040113,True,True,True,0.03424525366216451,35.50916778296232,51,51
generic,51,C01,1.1,0.2,2,generic,5,0.9,0.002,0.015,0.03,COMPLETED,,2,0.0459375,0.091875,0.8082147216796877,1e-06,0.004035497538183217,2.7709959235996747e-07,0.004035774637775577,True,True,True,0.09180704394183054,134.21878722403198,51,51
generic,51,C01,1.1,0.2,3,generic,0,0.1,0.0001,0.03,0.008,COMPLETED,,0,0.03,0.008,0.15994140624999997,0.0120921875,0.02335270218131011,5.997271537307872e-21,0.02335270218131011,True,True,True,0.06112924622684866,31.565712094074115,51,51
generic,51,C01,1.1,0.2,4,generic,1,0.5,0.0001,0.03,0.015,COMPLETED,,0,0.03,0.015,0.5599414062499999,0.012087304687500005,0.033461737606818344,1.8112108826254083e-20,0.033461737606818344,True,True,True,0.061128288516025746,36.35781204304658,51,51
generic,51,C01,1.1,0.2,5,generic,2,0.9,0.0001,0.03,0.03,COMPLETED,,0,0.03,0.03,0.8400585937499998,8.001882595486114e-05,0.04918194890006596,9.491096422574054e-20,0.04918194890006596,True,True,True,0.059941409580313354,44.83108757692389,51,51
generic,51,C01,1.1,0.2,6,generic,3,0.1,0.002,0.06,0.008,COMPLETED,,0,0.06,0.008,0.1843359375,0.014940332031249998,0.020860457722246033,2.801595988169448e-21,0.020860457722246033,True,True,True,0.08532293095694087,31.927105530980043,51,51
generic,51,C01,1.1,0.2,7,generic,4,0.5,0.002,0.06,0.015,COMPLETED,,0,0.06,0.015,0.6198828124999999,0.004154459635416666,0.023970237572525605,3.314810349352939e-21,0.023970237572525605,True,True,True,0.11990217024404007,37.831398421898484,51,51
generic,51,C01,1.1,0.2,8,generic,5,0.9,0.002,0.06,0.03,COMPLETED,,0,0.06,0.03,0.7801171875000003,3.2814715350115743e-06,0.0013931836500416554,7.243243800542546e-12,0.0013931836572848991,True,True,True,0.11989943960582976,44.44471092300955,51,51
generic,51,C01,1.1,0.2,9,generic,0,0.1,0.0001,0.1,0.008,COMPLETED,,0,0.1,0.008,0.1856119791666667,0.0120921875,0.021805497485931257,3.644582221763788e-21,0.021805497485931257,True,True,True,0.08644780817272886,32.04832170391455,51,51
generic,51,C01,1.1,0.2,10,generic,1,0.5,0.0001,0.1,0.015,COMPLETED,,0,0.1,0.015,0.6998046874999995,0.00044178124999999974,0.007909945174916664,8.394142454540873e-20,0.007909945174916664,True,True,True,0.199804979821313,39.725680631934665,51,51
generic,51,C01,1.1,0.2,11,generic,2,0.9,0.0001,0.1,0.03,COMPLETED,,0,0.1,0.03,0.7614583333333332,3.398177083333332e-05,6.743659524743706e-08,9.440270092362559e-20,6.743659524753147e-08,True,True,True,0.13854168239625356,25.597453141002916,51,51
generic,52,C01,1.15,0.12,0,generic,4,0.5,0.002,0.015,0.008,COMPLETED,,0,0.015,0.008,0.5299707031249998,0.014940332031249998,0.02239500960884997,5.1615408219125874e-21,0.02239500960884997,True,True,True,0.03264498795965269,33.66928764793556,52,52
generic,52,C01,1.15,0.12,1,generic,5,0.9,0.002,0.015,0.015,COMPLETED,,1,0.02625,0.02625,0.8475512695312502,0.0005159492730034724,0.038210191684484134,3.3430360714514085e-19,0.038210191684484134,True,True,True,0.052469722072294896,87.75607094401494,52,52
generic,52,C01,1.15,0.12,2,generic,0,0.1,0.0001,0.015,0.03,COMPLETED,,0,0.015,0.03,0.129970703125,0.045070703124999986,0.011636405489440576,5.411047839022077e-21,0.011636405489440576,True,True,True,0.05404264228702893,26.559091713046655,52,52
