script,line,literal,suffix,exists,status
code/scripts/audits/audit_M18_M19_refined_convergence.py,242,assets/classic_supersonic/scan_M18_M19_alpha_0_03_strict/refined_near_valid_branch/refined_near_valid_candidates.csv,.csv,no,MISSING_STATIC_LITERAL_REVIEW
code/scripts/audits/audit_M18_M19_refined_convergence.py,428,summary.json,.json,,BASENAME_FRAGMENT
code/scripts/audits/audit_M18_M19_refined_convergence.py,298,_fields.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_M18_M19_refined_convergence_0e0240282c.py,374,convergence_audit_by_setting.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_M18_M19_refined_convergence_0e0240282c.py,377,convergence_audit_by_point.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_M18_M19_refined_convergence_0e0240282c.py,382,converged_candidates_requires_visual_confirmation.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_M18_M19_refined_convergence_0e0240282c.py,227,assets/classic_supersonic/scan_M18_M19_alpha_0_03_strict/refined_near_valid_branch/refined_near_valid_candidates.csv,.csv,no,MISSING_STATIC_LITERAL_REVIEW
code/scripts/audits/audit_M18_M19_refined_convergence_0e0240282c.py,413,summary.json,.json,,BASENAME_FRAGMENT
code/scripts/audits/audit_M18_M19_refined_convergence_0e0240282c.py,283,_fields.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_N76_chart_overlap.py,43,assets/pinn_supersonic/json/atlas_12charts/pinn_only/selected_checkpoint_manifest.json,.json,yes,EXISTS
code/scripts/audits/audit_N76_chart_overlap.py,352,Tab_supersonic_N76_chart_overlap_points.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_N76_chart_overlap.py,389,Tab_supersonic_N76_chart_overlap_by_pair.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_N76_chart_overlap.py,417,Tab_supersonic_N76_chart_overlap_global.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_adaptive_logmodulus_difficult_point.py,24,assets/classic_supersonic/csv/pinn_direct/spectral/table_supersonic_primary_modal_spectral_133pts.csv,.csv,yes,EXISTS
code/scripts/audits/audit_adaptive_logmodulus_difficult_point.py,25,assets/classic_supersonic/csv/pinn_direct/spectral/table_supersonic_reference_v2_spectral.csv,.csv,yes,EXISTS
code/scripts/audits/audit_adaptive_logmodulus_difficult_point.py,26,assets/classic_supersonic/csv/pinn_direct/tables/table_supersonic_reference_v2_spectral_validated_50pts.csv,.csv,yes,EXISTS
code/scripts/audits/audit_adaptive_logmodulus_difficult_point.py,27,assets/classic_supersonic/csv/pinn_direct/spectral/table_supersonic_reference_v2_spectral.csv,.csv,yes,EXISTS
code/scripts/audits/audit_adaptive_logmodulus_difficult_point.py,28,assets/classic_supersonic/csv/pinn_direct/tables/table_supersonic_reference_v2_spectral_validated_50pts.csv,.csv,yes,EXISTS
code/scripts/audits/audit_adaptive_logmodulus_difficult_point.py,1368,convergence_summary.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_adaptive_logmodulus_difficult_point.py,991,adaptive_box_history.json,.json,,BASENAME_FRAGMENT
code/scripts/audits/audit_adaptive_logmodulus_difficult_point.py,1413,convergence_summary.json,.json,,BASENAME_FRAGMENT
code/scripts/audits/audit_adaptive_logmodulus_difficult_point.py,923,_history.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_check_blumen_supersonic_digitization.py,48,*.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_check_witness_modal_reproduction.py,19,witness_M150_a01625.yaml,.yaml,,BASENAME_FRAGMENT
code/scripts/audits/audit_check_witness_modal_reproduction.py,26,witness_M150_a01625_modal_calibration.json,.json,,BASENAME_FRAGMENT
code/scripts/audits/audit_check_witness_modal_reproduction.py,33,witness_M150_a01625_modal_reproduction_check.json,.json,,BASENAME_FRAGMENT
code/scripts/audits/audit_compact_spectral_analytic_tails.py,518,continuation_start_history.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_compact_spectral_analytic_tails.py,634,continuation_all_attempts.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_compact_spectral_analytic_tails.py,635,continuation_accepted.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_compact_spectral_analytic_tails.py,1338,audit_summary.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_compact_spectral_analytic_tails.py,1372,audit_summary.json,.json,,BASENAME_FRAGMENT
code/scripts/audits/audit_compact_spectral_analytic_tails.py,620,continuation_all_attempts.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_compact_spectral_analytic_tails.py,624,continuation_accepted.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_diagnose_C00_anchor_continuation_N76.py,14,assets/pinn_supersonic/csv/anchor_budget/N76/table_C00_anchors.csv,.csv,yes,EXISTS
code/scripts/audits/audit_diagnose_C00_anchor_continuation_N76.py,18,assets/pinn_supersonic/csv/pinn_direct/validation/table_N76_validation_predictions_64_cf57c58769.csv,.csv,yes,EXISTS
code/scripts/audits/audit_diagnose_C00_anchor_continuation_N76.py,26,assets/pinn_supersonic/csv/atlas_12charts/corrector_benchmark/table_C00_anchor_continuation_M105_to_M110.csv,.csv,yes,EXISTS
code/scripts/audits/audit_diagnose_C00_modal_branch_continuousM_N76.py,15,assets/pinn_supersonic/csv/pinn_direct/validation/table_N76_validation_predictions_64_cf57c58769.csv,.csv,yes,EXISTS
code/scripts/audits/audit_diagnose_C00_modal_branch_continuousM_N76.py,19,assets/classic_supersonic/csv/pinn_direct/shooting_validation/table_shooting_validation_64.csv,.csv,yes,EXISTS
code/scripts/audits/audit_diagnose_C00_modal_branch_continuousM_N76.py,23,experiments/modal_reconstruction/support/dense_kappa_q_campaign_v1_FINAL_FULL_BRANCH_ASSETS/classical_supersonic_final_modes_long.csv.gz,.gz,yes,EXISTS
code/scripts/audits/audit_diagnose_C00_modal_branch_continuousM_N76.py,28,models_saved/atlas/N76/C00/best_joint_checkpoint_33647c0c65.pt,.pt,yes,EXISTS
code/scripts/audits/audit_diagnose_C00_modal_branch_continuousM_N76.py,45,assets/pinn_supersonic/csv/chart_overlap/modal_validation/table_C00_branch_fingerprint_diagnostic.csv,.csv,yes,EXISTS
code/scripts/audits/audit_diagnose_KH_shoot_points.py,10,KH_shoot_csv_inventory.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_diagnose_KH_shoot_points.py,73,KH_shoot_all_spectral_points_raw.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_diagnose_KH_shoot_points.py,163,KH_shoot_all_spectral_points_diagnosed.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_diagnose_KH_shoot_points.py,164,KH_shoot_best_point_per_alpha_mach.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_diagnose_KH_shoot_points.py,165,KH_shoot_good_or_candidate_points.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_diagnose_KH_shoot_points.py,166,KH_shoot_bad_or_suspicious_points.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_diagnose_KH_shoot_strict_supersonic.py,185,KH_shoot_strict_all_supersonic_points.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_diagnose_KH_shoot_strict_supersonic.py,186,KH_shoot_strict_best_supersonic_points.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_diagnose_KH_shoot_strict_supersonic.py,187,KH_shoot_strict_good_supersonic_points.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_diagnose_KH_shoot_strict_supersonic.py,188,KH_shoot_strict_bad_supersonic_points.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_diagnose_KH_shoot_strict_supersonic.py,48,*.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_diagnose_supersonic_candidate_modes_near_blumen.py,318,_candidates.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_diagnose_supersonic_candidate_modes_near_blumen.py,319,_profiles.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_diagnose_supersonic_candidate_modes_near_blumen.py,320,_summary.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_diagnose_supersonic_local_mode_families.py,216,_summary.csv,.csv,,BASENAME_FRAGMENT
code/scripts/audits/audit_diagnose_supersonic_local_mode_families.py,217,_comparison.csv,.csv,,BASENAME_FRAGMENT
