old_path,new_path,action,scientific_family,experiment,role,status,size_bytes,sha256
assets/p3-supersonic-results/supplementary_material/data/Tab_supersonic_N76_chart_overlap_by_pair.csv,article/supplementary/data/chart_overlap/table_supersonic_N76_chart_overlap_by_pair.csv,COPY,pinn_supersonic,chart_overlap,scientific_data,experiment,10916,6b407df09519348b94c0e8b21281f901df7d797d772d6ed1627a88d44e664202
assets/p3-supersonic-results/supplementary_material/data/Tab_supersonic_N76_chart_overlap_global.csv,article/supplementary/data/chart_overlap/table_supersonic_N76_chart_overlap_global.csv,COPY,pinn_supersonic,chart_overlap,scientific_data,experiment,386,9c42c6f068d344173641899d9b830a7f3f1c5b813403b6d4cdfb17282fdcc019
assets/p3-supersonic-results/supplementary_material/data/Tab_supersonic_N76_chart_overlap_points.csv,article/supplementary/data/chart_overlap/table_supersonic_N76_chart_overlap_points.csv,COPY,pinn_supersonic,chart_overlap,scientific_data,experiment,1378952,d3e17e1cb8364385a5d790c0185fb02664fc8f25e9fbf6b8ed77c8c416b0a386
assets/p3-supersonic-results/supplementary_material/data/blumen_pointwise/blumen_pointwise_classical_ci_map.pdf,article/supplementary/figures/source_diagnostics/Fig_blumen_pointwise_classical_ci_map.pdf,COPY,classical_supersonic,blumen_validation,figure,experiment,22500,f432658aee5ec4794deeb42cb2811e13fcd2ef456bfa00cdeadfe1573f3a64f5
assets/p3-supersonic-results/supplementary_material/data/blumen_pointwise/blumen_pointwise_classical_ci_map.png,article/supplementary/figures/source_diagnostics/Fig_blumen_pointwise_classical_ci_map.png,COPY,classical_supersonic,blumen_validation,figure,experiment,258560,486d76bbb84eaf5052a08b2dda6585d420817c973746b6323b776bebb3a6d550
assets/p3-supersonic-results/supplementary_material/data/blumen_pointwise/blumen_pointwise_classical_cr_map.pdf,article/supplementary/figures/source_diagnostics/Fig_blumen_pointwise_classical_cr_map.pdf,COPY,classical_supersonic,blumen_validation,figure,experiment,23501,a3b921a86b1c83665c21b87cdcbaf7e4b3c06201e0d3767bf8b7d5d5ea254292
assets/p3-supersonic-results/supplementary_material/data/blumen_pointwise/blumen_pointwise_classical_cr_map.png,article/supplementary/figures/source_diagnostics/Fig_blumen_pointwise_classical_cr_map.png,COPY,classical_supersonic,blumen_validation,figure,experiment,259060,250a1df6f4766c2748f034755e66da4903cf41ffddc30ea7579bfa3231e31cef
assets/p3-supersonic-results/supplementary_material/data/blumen_pointwise/blumen_pointwise_classical_failures.csv,article/supplementary/data/blumen_pointwise/table_blumen_pointwise_classical_failures.csv,COPY,classical_supersonic,blumen_validation,scientific_data,experiment,4640,2ea665dabfbf449a2dc7b98827c89b3aae5230f686cf18e426c12f8e9e55ad2b
assets/p3-supersonic-results/supplementary_material/data/blumen_pointwise/blumen_pointwise_classical_modes.csv.gz,article/supplementary/data/blumen_pointwise/table_blumen_pointwise_classical_modes.csv.gz,COPY,classical_supersonic,blumen_validation,scientific_data,experiment,26017786,31f18fcf5e541a6894ea7a016a5ef9b88dfc78091433aed5502723fa3b7c6701
assets/p3-supersonic-results/supplementary_material/data/blumen_pointwise/blumen_pointwise_classical_spectral.csv,article/supplementary/data/blumen_pointwise/table_blumen_pointwise_classical_spectral.csv,COPY,classical_supersonic,blumen_validation,scientific_data,experiment,37266,b71cbdccfab08169de36676539b3124e0c5e95cf570728c4b3072a2420bfdf5a
assets/p3-supersonic-results/supplementary_material/data/blumen_pointwise/blumen_pointwise_delta_ci_heatmap.pdf,article/supplementary/figures/Fig_S2a_blumen_pointwise_delta_ci.pdf,COPY,classical_supersonic,blumen_validation,figure,canonical,25533,af818d8798bb80b842e1d64b77798b4953a0900fdbdd5a97f1d78f39c1ad3a55
