alpha,y_window,n,p_rel_l2,q_rel_l2,p_max_abs_err,q_max_abs_err,p_rmse,q_rmse,p_error_energy_fraction,q_error_energy_fraction,qdef_reference_rel_l2,qdef_prediction_rel_l2,dp_pred_vs_q_ref_rel_l2
0.07,5.0,3289,0.00019080295652370663,0.0009942509741010018,0.0001287408822543229,5.857159418946406e-05,5.847439733145426e-05,2.586069926331794e-05,1.1693960373138407e-05,0.00041897606214712506,0.0,0.006653529691006476,0.006507643531057322
0.07,10.0,3807,0.0001988837384271783,0.0010226707202233584,0.00015025038807482105,6.036092005730683e-05,6.0592507857658425e-05,2.7773280270611515e-05,1.4534060644195422e-05,0.0005593479359738818,0.0,0.0060239447910698215,0.005861254696269321
0.07,20.0,4101,0.00025064161114767843,0.0010365289165352339,0.0004210056926515499,9.734316357220394e-05,7.586580211247596e-05,2.858681821136382e-05,2.4544156561070542e-05,0.0006383608120947758,0.0,0.005754875163294364,0.005604804622057869
0.07,50.0,4289,0.000356260526550824,0.0012088024908943633,0.0013581524835154326,0.00019184136084470359,0.0001069776830070392,3.3509405813366466e-05,5.103976387819946e-05,0.0009173484039726044,0.0,0.005771837720165625,0.005638764597477527
0.07,100.0,4354,0.0004955967443117652,0.0014690025759829441,0.002392687740717897,0.000643326529394506,0.00014812785683318284,4.068505586264638e-05,9.934091112426522e-05,0.0013727867141096206,0.0,0.005870727002429401,0.005687544002082476
0.07,500.0,4407,0.0011504234293680201,0.003169926831927139,0.008111639414293046,0.0024097150497716913,0.0003420664105982362,8.738930499671452e-05,0.0005362041204296578,0.006410684899570277,0.0,0.006628852487210201,0.005763652916046007
0.07,2000.0,4418,0.0023041678865027594,0.0032605629009077567,0.026178644883958185,0.0024097150497716913,0.0006842692535918445,8.977601333112034e-05,0.0021510276817899225,0.006782521086769464,0.0,0.006665501681395343,0.005764833613966165
0.0725,5.0,3289,0.00012960397769517078,0.0005385585821190061,6.886971657915796e-05,4.288448195863264e-05,3.9705032072373566e-05,1.4524418759801964e-05,5.391644030525773e-06,0.00013216187956097307,0.0,0.005413792576518187,0.005327949231797631
0.0725,10.0,3807,0.00013164412360549204,0.0005305980366100537,7.308239141583383e-05,4.288448195863264e-05,4.008041555194905e-05,1.4937813441276246e-05,6.359361942993381e-06,0.0001618086552816475,0.0,0.004893249303503761,0.00480063628668782
0.0725,20.0,4101,0.00014058795965808153,0.0005501155347710606,0.0001372861768201329,5.8690509178601526e-05,4.251229330577602e-05,1.5724816380406203e-05,7.706994899889219e-06,0.00019315490646138223,0.0,0.0046631345047101055,0.004572394501417222
