scope,y_window,n,p_rel_l2,q_rel_l2,p_max_abs_err,q_max_abs_err,p_rmse,q_rmse,p_error_energy_fraction,q_error_energy_fraction,qdef_reference_rel_l2,qdef_prediction_rel_l2,dp_pred_vs_q_ref_rel_l2
all,inf,216482,0.007320730233456239,0.0028723170818152287,0.14331937458494964,0.00865078131001195,0.0021076863672828527,0.00015572799766127763,1.0,1.0,0.0,0.004420620322365723,0.004009480436862412
|y|<=5,5.0,161161,0.0002563409258702112,0.0005777586297651281,0.00026792087744450415,0.00018691965779750388,7.75257143507941e-05,2.9900646812692628e-05,0.0010072046968959984,0.027445170248597172,0.0,0.003444382741762346,0.0034696452886502586
|y|<=10,10.0,186548,0.0002706602630293353,0.0005631633236613129,0.00044349473886202045,0.00018691965779750388,8.081267149152068e-05,3.0335534721640623e-05,0.0012668224771849176,0.0326993195911726,0.0,0.003136516870007432,0.0031618641474634407
|y|<=20,20.0,200970,0.00030667336276842243,0.0005953567034591411,0.000932459060806255,0.0004191734990524592,9.044587216331831e-05,3.24971116172151e-05,0.001709523085740862,0.040426446287081766,0.0,0.003021404947493245,0.0030458279486247236
|y|<=50,50.0,210190,0.0005860383952259193,0.0008829650819949098,0.007984905516053024,0.0019147567015254659,0.00017078659148320427,4.832247620074882e-05,0.006375082771094923,0.09348786057967563,0.0,0.0035991761070263734,0.0036147353441287507
|y|<=100,100.0,213367,0.0008943745462100893,0.001340064251181536,0.011549611670519148,0.005165494380155814,0.00025922373423755676,7.315470957630982e-05,0.014908811079517338,0.21749868792149535,0.0,0.0037970731368778916,0.0037814495626354925
|y|<=500,500.0,215943,0.007169402320086831,0.002863701616887357,0.14331937458494964,0.00865078131001195,0.0020666902517876462,0.00015545454077028827,0.9590829004393573,0.9940100245272039,0.0,0.004415837942822841,0.004008731424435425
|y|<=2000,2000.0,216482,0.007320730233456239,0.0028723170818152287,0.14331937458494964,0.00865078131001195,0.0021076863672828527,0.00015572799766127763,1.0,1.0,0.0,0.004420620322365723,0.004009480436862412
