solver_family,config,n,median,p95,max,mean,success_fraction,frac_delta_gt_1e4,frac_delta_gt_1e3
mstab17,mstab_strict_ref,28,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mstab17,mstab_L80,28,1.3936927363199236e-05,3.721394891839646e-05,4.055842243222418e-05,1.746087534147622e-05,1.0,0.0,0.0
mstab17,mstab_L120,28,1.438045461591049e-05,2.4651143811918982e-05,3.130064837403301e-05,1.3760971572574624e-05,1.0,0.0,0.0
mstab17,mstab_scan_dense,28,1.573387367201015e-05,4.4833998880334535e-05,5.6018128604690826e-05,1.8877272562451076e-05,1.0,0.0,0.0
mstab17,mstab_L40,28,1.602984033838295e-05,4.521411653239659e-05,5.020672298394757e-05,1.986663590771471e-05,1.0,0.0,0.0
mstab17,mstab_nominal,28,1.9590700436999953e-05,4.02165342369587e-05,5.914571849761213e-05,2.1403058375392822e-05,1.0,0.0,0.0
mstab17,mstab_tol_strict,28,1.959089838232675e-05,4.0216569902803974e-05,5.914583549961397e-05,2.1403113762603824e-05,1.0,0.0,0.0
mstab17,mstab_match_15,28,1.9920088394530938e-05,4.778577553244227e-05,5.7767720712170734e-05,2.251870870645626e-05,1.0,0.0,0.0
mstab17,mstab_match_05,28,2.2979158020818014e-05,8.056588115687434e-05,9.178869835207992e-05,3.20757918168823e-05,1.0,0.0,0.0
primary,primary_strict_ref,28,0.0,0.0,0.0,0.0,1.0,0.0,0.0
primary,primary_scan_dense,28,1.2578370012228388e-09,6.8104669119495274e-09,8.591771627486366e-09,2.0303692006443506e-09,1.0,0.0,0.0
primary,primary_tol_strict,28,1.4465422770004732e-05,2.3783610183422672e-05,4.0552876762300905e-05,1.379139145171068e-05,1.0,0.0,0.0
primary,primary_L40,28,1.446656985221173e-05,2.3785390368097344e-05,4.053463936676272e-05,1.3792624491400504e-05,1.0,0.0,0.0
primary,primary_L120,28,1.4466841527810415e-05,2.378632090165866e-05,4.053489382588316e-05,1.3793231849027493e-05,1.0,0.0,0.0
primary,primary_L80,28,1.4467051059827152e-05,2.3784932402137742e-05,4.053471905102191e-05,1.3792591672624905e-05,1.0,0.0,0.0
primary,primary_nominal,28,1.4467051059827152e-05,2.3784932402137742e-05,4.053471905102191e-05,1.379352499915778e-05,1.0,0.0,0.0
primary,primary_match_m05,28,1.786046060231472e-05,2.4282352359922265e-05,2.743963074691713e-05,1.3742694622481057e-05,1.0,0.0,0.0
primary,primary_match_p05,28,1.786046060231472e-05,2.4282352359922265e-05,2.743963074691713e-05,1.3742694622481057e-05,1.0,0.0,0.0
