point_id,p1e_group,Mach,eta,alpha,ci_ref,ci_primary_strict,ci_mstab_strict,primary_mstab_abs,primary_vs_ref,mstab_vs_ref
OFFGRID_0004,stratified_standard_N301,0.5170693375861489,0.5598378936344495,0.4791896142649015,0.2770389733779503,0.2770515560117526,0.2770271331043556,2.4422907396959292e-05,1.2582633802271648e-05,1.1840273594687645e-05
OFFGRID_0163,stratified_standard_N301,0.0474336425919852,0.0917050542918371,0.0916018302828499,0.8472861822945255,0.8472478804483039,0.8473041216421429,5.6241193838957315e-05,3.8301846221555635e-05,1.793934761740168e-05
OFFGRID_0342,stratified_standard_N301,0.0241278478551051,0.943272188982764,0.9429975846243236,0.0366454563919537,0.0366548847591271,0.0366375881178713,1.729664125579844e-05,9.42836717340162e-06,7.86827408239682e-06
OFFGRID_0363,stratified_standard_N301,0.9754263107681322,0.9444960087755842,0.2080969547221126,0.1491571698567142,0.1491721950152652,0.1491328632685715,3.933174669371042e-05,1.50251585510075e-05,2.4306588142702923e-05
OFFGRID_0003,stratified_standard_N301,0.763056999675404,0.1031581019968346,0.0666742994665267,0.5498182624935805,0.5497894076824205,0.5498082748598577,1.886717743726507e-05,2.885481115999511e-05,9.987633722730038e-06
OFFGRID_0031,stratified_standard_N301,0.06658717464399,0.5288932824760268,0.5277194626713729,0.3482850930427378,0.3482825231830819,0.348270949681671,1.1573501410899745e-05,2.569859655909834e-06,1.4143361066809579e-05
OFFGRID_0109,stratified_standard_N301,0.9542548291253604,0.4761686286859503,0.1423718090607915,0.2942099703236058,0.2942408612752177,0.2942237595426871,1.710173253061109e-05,3.0890951611906026e-05,1.3789219081294934e-05
OFFGRID_0378,stratified_standard_N301,0.4712146652765024,0.9565833439390627,0.8437242630226424,0.0253820073304805,0.0253736014457736,0.0253547838336581,1.881761211550148e-05,8.405884706897543e-06,2.7223496822399024e-05
OFFGRID_0240,stratified_longwave_map10_N301,0.6395082342428161,0.0699671403984168,0.0537896353414023,0.6476618468133059,0.6476261619943882,0.6476471584444762,2.099645008801776e-05,3.568481891769171e-05,1.4688368829673948e-05
OFFGRID_0002,stratified_longwave_map10_N301,0.9583486963921384,0.1767770713187233,0.0504876603518869,0.4312690636545718,0.4312639195555633,0.4312561388448677,7.780710695626247e-06,5.144099008480563e-06,1.292480970410681e-05
OFFGRID_0219,stratified_longwave_map10_N301,0.0633647754038824,0.0317594152478199,0.0316955925889768,0.9412912449058698,0.9412663610515328,0.941331803328302,6.544227676918979e-05,2.4883854336965605e-05,4.0558422432224184e-05
OFFGRID_0280,stratified_longwave_map10_N301,0.9188583811903538,0.0227874106129571,0.0089916268123604,0.5269985075029294,0.5270013296669942,0.5270286710707324,2.734140373816807e-05,2.822164064775201e-06,3.016356780294327e-05
OFFGRID_0234,stratified_longwave_map10_N301,0.935106547545032,0.1006859829236793,0.0356797576111302,0.4724767039158203,0.4724960332665368,0.4725162855148375,2.0252248300711706e-05,1.932935071646824e-05,3.958159901717995e-05
OFFGRID_0308,stratified_extreme_longwave_map20_N301,0.9568854584479048,0.04307563608273,0.0125119871158188,0.4945423489748198,0.4945263477540234,0.4945680959329042,4.1748178880807174e-05,1.600122079642441e-05,2.5746958084382765e-05
OFFGRID_0313,stratified_extreme_longwave_map20_N301,0.9241096301342898,0.0247424671768333,0.0094547760006703,0.5226097058678016,0.522608229646666,0.5226297551503727,2.1525503706709692e-05,1.4762211356655897e-06,2.0049282571044102e-05
OFFGRID_0277,stratified_extreme_longwave_map20_N301,0.9225397831166824,0.0525323709881028,0.0202723466862122,0.5061297717487231,0.5061389496471975,0.5061563662567623,1.741660956477986e-05,9.177898474432844e-06,2.6594508039212705e-05
OFFGRID_0320,stratified_extreme_longwave_map20_N301,0.9757156312457008,0.0261664976907351,0.005731538643608,0.4928281644113125,0.4928112139753492,0.4928472965296154,3.6082554266181344e-05,1.6950435963281052e-05,1.9132118302900292e-05
OFFGRID_0304,stratified_extreme_longwave_map20_N301,0.9792505373197468,0.0571644272159528,0.0115845633662191,0.4801336840835766,0.480126387931772,0.4801449730572215,1.858512544949953e-05,7.296151804614404e-06,1.1288973644885125e-05
OFFGRID_0329,stratified_near_neutral_N401,0.4373820186458693,0.969470760306262,0.8718215964076712,0.0180714156904548,0.0250725618561331,0.0180412238678894,0.007031337988243697,0.007001146165678297,3.0191822565400067e-05
OFFGRID_0336,stratified_near_neutral_N401,0.9466721922743672,0.9613204306550348,0.3097358321599022,0.0161635180831159,0.0250725618561331,0.0161419200893235,0.008930641766809598,0.008909043773017197,2.1597993792400738e-05
OFFGRID_0367,stratified_near_neutral_N401,0.8356278101941671,0.9774283616535724,0.5368975491439197,0.0098910650436443,0.0250725618561331,0.0098556833312769,0.015216878524856198,0.0151814968124888,3.5381712367398704e-05
OFFGRID_0382,stratified_near_neutral_N401,0.0535484745043061,0.9776970107962872,0.9762942611706252,0.0142637464794568,0.0250725618561331,0.0142285509066033,0.010844010949529798,0.010808815376676299,3.519557285349903e-05
OFFGRID_0373,stratified_near_neutral_N401,0.1782396798782073,0.960638057686756,0.9452554582659508,0.0249856596744175,0.0250725618561331,0.0249854587996979,8.710305643519836e-05,8.690218171559724e-05,2.0087471960111847e-07
