Mach,alpha,cr,ci,omega_i,stage1_mismatch,cr_box_min,cr_box_max,ci_box_min,ci_box_max,status,exception,ln_p_start_right_exact_600,stage2_mismatch_exact_600,y_limit_600,amplitude_status_600,ln_p_start_right_exact_1200,stage2_mismatch_exact_1200,y_limit_1200,amplitude_status_1200,p_edge_frac,p_center_jump,p_adjacent_jump,p_left_right_energy_ratio,rho_edge_frac,rho_center_jump,rho_adjacent_jump,rho_left_right_energy_ratio,u_edge_frac,u_center_jump,u_adjacent_jump,u_left_right_energy_ratio,v_edge_frac,v_center_jump,v_adjacent_jump,v_left_right_energy_ratio,all_finite,max_edge_frac,max_center_jump,max_adjacent_jump,max_left_right_energy_ratio,p_ylimit_rel_l2,rho_ylimit_rel_l2,u_ylimit_rel_l2,v_ylimit_rel_l2,max_ylimit_rel_l2,reject_reasons,campaign_target_status,source_file,touches_ci_upper_0p12,touches_cr_lower_0,needs_boundary_rescan,needs_visual_review
1.1,0.05,0.0,0.04092,0.002046,1.3334009987930245e-06,0.0,0.25,0.015,0.06,strict_auto_validated,,-4.9999994568048,4.942400519854997e-21,600.0,exact_log_amplitude_match,-4.999999457902598,1.3383439322788261e-18,1200.0,exact_log_amplitude_match,0.0017610504059789,7.632830726134155e-07,0.0879151228665065,1.000197132831791,0.0017610504059789,7.632830726094627e-07,0.0879151228665065,1.000197132831791,0.0001818804695603,0.0005675225728076,0.0090798331348862,1.000252169237373,0.0017895715252193,0.0038472905573901,0.0893389536062703,1.000196919608668,True,0.0017895715252193,0.0038472905573901,0.0893389536062703,1.000252169237373,0.0004306854619426,0.0004306854619426,0.000117421657688,0.0004805531089256,0.0004805531089256,,strict_auto_validated,assets/classic_supersonic/campaign_smallM_low_high_alpha_scan/point_results/M1.10_alpha0.05000_candidates.csv,False,True,True,False
1.1,0.075,0.0,0.0726408,0.00544806,1.5689163174522732e-06,0.0,0.25,0.05,0.12,strict_auto_validated,,-5.000000621094344,9.653269167796978e-19,600.0,exact_log_amplitude_match,-5.000000622784252,9.897750818838442e-19,737.4151494686765,exact_log_amplitude_match,4.587468842032677e-05,1.791870064898171e-06,0.0223827800015968,1.0000653915142643,4.5874688420326775e-05,1.7918700649210458e-06,0.0223827800015968,1.000065391514264,6.56242248127233e-06,0.0004073317278934,0.0032018802466845,1.0009524517201496,4.748466363453637e-05,0.0028130176773029,0.0231683051412446,1.0000340589121182,True,4.748466363453637e-05,0.0028130176773029,0.0231683051412446,1.0009524517201496,6.400004549708375e-05,6.400004549708187e-05,2.162789463052183e-05,7.184224440432707e-05,7.184224440432707e-05,,strict_auto_validated,assets/classic_supersonic/campaign_smallM_low_high_alpha_scan/point_results/M1.10_alpha0.07500_candidates.csv,False,True,True,False
1.1,0.325,0.229808,0.0118616,0.00385502,8.811633437811932e-06,0.0,0.25,0.005,0.02,rejected,,-104.74581337263072,2.363055828321125e-16,600.0,exact_log_amplitude_match,-204.67381018285928,1.6065308347293792e-15,1200.0,exact_log_amplitude_match,0.0005161837813898,7.394584873462168e-05,0.5116162706992914,20.27276100037896,0.0005161837813898,7.394584873476081e-05,0.5116162706992914,20.27276100037896,0.0001403768855492,0.0017043551379734,0.1391347447681212,8.617555351715245,0.0005356210251873,0.0037923972979352,0.5308815218421916,27.415323984691582,True,0.0005356210251873,0.0037923972979352,0.5308815218421916,27.415323984691582,0.0148894275516792,0.0148894275516792,0.0098729135569621,0.017109373102183,0.017109373102183,adjacent_jump_too_large,near_valid_except_adjacent_jump,assets/classic_supersonic/campaign_smallM_low_high_alpha_scan/point_results/M1.10_alpha0.32500_candidates.csv,False,False,False,True
1.2,0.05,0.0558599999999999,0.12,0.006,0.0004523942848312,0.0,0.25,0.05,0.12,strict_auto_validated,,-6.519856197473812,1.6527275779170137e-18,600.0,exact_log_amplitude_match,-7.217695135400252,2.3430126145810653e-18,874.8144299076524,exact_log_amplitude_match,4.574978070831372e-05,0.0001205667463751,0.0333978663623475,1.2134174072925434,4.574978070831373e-05,0.0001205667463749,0.0333978663623475,1.2134174072925432,2.895804187811232e-06,0.023550045024283,0.0236011937617264,1.0620445524130993,4.719031969888072e-05,0.0054873789602039,0.0344494764018239,1.6102843328672922,True,4.719031969888072e-05,0.023550045024283,0.0344494764018239,1.6102843328672922,0.0001095262746992,0.0001095262746992,1.5884269901937506e-05,0.0001312421918625,0.0001312421918625,,strict_auto_validated,assets/classic_supersonic/campaign_smallM_low_high_alpha_scan/point_results/M1.20_alpha0.05000_candidates.csv,True,False,True,False
1.2,0.075,0.125256,0.12,0.009,0.0005101194312908,0.0,0.25,0.05,0.12,strict_auto_validated,,-10.80232668600934,4.5328607226364015e-18,600.0,exact_log_amplitude_match,-11.10442713433464,4.902293936548567e-18,631.1633860002788,exact_log_amplitude_match,4.581247765345113e-05,7.859480646306175e-05,0.0298643371707142,1.5689950510718371,4.581247765345112e-05,7.859480646310547e-05,0.0298643371707142,1.5689950510718371,4.039966167758694e-06,0.0213677182681994,0.0213496950881569,1.1112461786184995,4.775173414775213e-05,0.0049455924715726,0.031128503894994,2.7777074460879376,True,4.775173414775213e-05,0.0213677182681994,0.031128503894994,2.7777074460879376,0.0001270403029101,0.0001270403029101,2.57152002556698e-05,0.0001624340876761,0.0001624340876761,,strict_auto_validated,assets/classic_supersonic/campaign_smallM_low_high_alpha_scan/point_results/M1.20_alpha0.07500_candidates.csv,True,False,True,False
1.2,0.3,0.2793559999999999,0.013256,0.0039768,3.568734896205936e-05,0.2,0.45,0.005,0.02,rejected,,-91.63765099885852,1.882135790128543e-16,600.0,exact_log_amplitude_match,-178.43279535534344,1.6428543621701505e-15,1200.0,exact_log_amplitude_match,0.0005258190459835,8.839914906024088e-05,0.5707252385056857,18.4317858461089,0.0005258190459835,8.839914906036418e-05,0.5707252385056856,18.431785846108905,0.0001145671817745,0.0019644682436771,0.1243514905796014,5.746944032765444,0.0005398727953715,0.0033232607852024,0.5859792112847753,36.70933489987262,True,0.0005398727953715,0.0033232607852024,0.5859792112847753,36.70933489987262,0.0175802027276629,0.0175802027276629,0.0097565069322674,0.0214338935832813,0.0214338935832813,adjacent_jump_too_large,near_valid_except_adjacent_jump,assets/classic_supersonic/campaign_smallM_low_high_alpha_scan/point_results/M1.20_alpha0.30000_candidates.csv,False,False,False,True
1.25,0.05,0.12004,0.12,0.006,0.0001720756113997,0.0,0.25,0.05,0.12,strict_auto_validated,,-7.933654820190119,2.3216056953226242e-18,600.0,exact_log_amplitude_match,-9.619976854143625,4.398924824046181e-18,943.990311806508,exact_log_amplitude_match,4.567786415107517e-05,2.8108687267870024e-05,0.0472571271655541,1.4412166420974342,4.567786415107518e-05,2.810868726817787e-05,0.0472571271655541,1.4412166420974342,2.5112360357585143e-06,0.0099385172435149,0.0099389398687029,1.0496269787974857,4.7063184435324414e-05,0.004210877332243,0.0486903434083553,2.4542595397207685,True,4.7063184435324414e-05,0.0099385172435149,0.0486903434083553,2.4542595397207685,0.0001377900635253,0.0001377900635253,1.6967408941373195e-05,0.0001743661023802,0.0001743661023802,,strict_auto_validated,assets/classic_supersonic/campaign_smallM_low_high_alpha_scan/point_results/M1.25_alpha0.05000_candidates.csv,True,False,True,False
1.25,0.275,0.297344,0.01968176,0.005412484,1.891308492170563e-05,0.2,0.45,0.005,0.02,rejected,,-79.04206143526778,1.4700644318311178e-16,600.0,exact_log_amplitude_match,-148.7355075539651,8.559643794420006e-16,1163.726520470485,exact_log_amplitude_match,4.547553630067812e-05,8.571829937498469e-05,0.3875990488849908,12.217025257117864,4.547553630067811e-05,8.571829937493529e-05,0.3875990488849907,12.21702525711786,9.293720825935296e-06,0.0018498492548316,0.0792126414720575,3.536693832737728,4.675652593568031e-05,0.0032034694009395,0.3985172348397927,29.08299034876703,True,4.675652593568031e-05,0.0032034694009395,0.3985172348397927,29.08299034876703,0.0072318623971045,0.0072318623971045,0.0036160799960753,0.0090844046781078,0.0090844046781078,adjacent_jump_too_large,near_valid_except_adjacent_jump,assets/classic_supersonic/campaign_smallM_low_high_alpha_scan/point_results/M1.25_alpha0.27500_candidates.csv,False,False,False,True
1.25,0.3,0.3050400000000001,0.007841408,0.0023524224,5.595780948659196e-05,0.2,0.45,0.001,0.008,rejected,,-91.84420851541518,1.6921319403198687e-16,600.0,exact_log_amplitude_match,-178.8431275825638,1.0229512080997123e-15,1200.0,exact_log_amplitude_match,0.0114895769036475,0.0001023591529755,0.9621373322342432,30.87638724176191,0.0114895769036475,0.0001023591529757,0.9621373322342434,30.87638724176192,0.0021234461714804,0.0020907467509359,0.1778174123994635,7.929191043915458,0.0116573925747465,0.0031218557566447,0.9761902189029416,69.85740456102579,True,0.0116573925747465,0.0031218557566447,0.9761902189029416,69.85740456102579,0.0364242493825176,0.0364242493825176,0.0188926778743173,0.0448092338187761,0.0448092338187761,adjacent_jump_too_large,near_valid_except_adjacent_jump,assets/classic_supersonic/campaign_smallM_low_high_alpha_scan/point_results/M1.25_alpha0.30000_candidates.csv,False,False,False,True
1.3,0.275,0.32164,0.0142822399999999,0.003927616,4.991436176425347e-06,0.2,0.45,0.005,0.02,rejected,,-79.16598456183402,1.3218627855785874e-16,600.0,exact_log_amplitude_match,-153.46505780563132,1.1738278238540643e-15,1200.0,exact_log_amplitude_match,0.0005369329767556,9.699151517496616e-05,0.6079786389121138,16.54568368203777,0.0005369329767556,9.69915151748927e-05,0.6079786389121137,16.54568368203777,9.736904058600788e-05,0.0016315204399806,0.1102526745989086,4.022559426846009,0.0005464549151774,0.0032254079088022,0.6187604970064001,44.08644278102077,True,0.0005464549151774,0.0032254079088022,0.6187604970064001,44.08644278102077,0.0192234626784092,0.0192234626784092,0.0090122432287972,0.0243061269398385,0.0243061269398385,adjacent_jump_too_large,near_valid_except_adjacent_jump,assets/classic_supersonic/campaign_smallM_low_high_alpha_scan/point_results/M1.30_alpha0.27500_candidates.csv,False,False,False,True
