point_id,seam_id,chart_a,checkpoint_a,chart_b,checkpoint_b,Mach,eta,alpha,overlap_mach_min,overlap_mach_max,overlap_eta_min,overlap_eta_max
SEAM_0000_ETAEDGE_HM1__ETAEDGE_HM2A_P0,SEAM_0000_ETAEDGE_HM1__ETAEDGE_HM2A,ETAEDGE_HM1,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM1/model_state.pt,ETAEDGE_HM2A,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM2A/model_state.pt,0.85,0.04,0.0210713075057054,0.84,0.86,0.02,0.06
SEAM_0000_ETAEDGE_HM1__ETAEDGE_HM2A_P1,SEAM_0000_ETAEDGE_HM1__ETAEDGE_HM2A,ETAEDGE_HM1,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM1/model_state.pt,ETAEDGE_HM2A,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM2A/model_state.pt,0.844,0.0279999999999999,0.0150176088642633,0.84,0.86,0.02,0.06
SEAM_0000_ETAEDGE_HM1__ETAEDGE_HM2A_P2,SEAM_0000_ETAEDGE_HM1__ETAEDGE_HM2A,ETAEDGE_HM1,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM1/model_state.pt,ETAEDGE_HM2A,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM2A/model_state.pt,0.844,0.0519999999999999,0.0278898450336318,0.84,0.86,0.02,0.06
SEAM_0000_ETAEDGE_HM1__ETAEDGE_HM2A_P3,SEAM_0000_ETAEDGE_HM1__ETAEDGE_HM2A,ETAEDGE_HM1,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM1/model_state.pt,ETAEDGE_HM2A,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM2A/model_state.pt,0.856,0.0279999999999999,0.0144753230015775,0.84,0.86,0.02,0.06
SEAM_0000_ETAEDGE_HM1__ETAEDGE_HM2A_P4,SEAM_0000_ETAEDGE_HM1__ETAEDGE_HM2A,ETAEDGE_HM1,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM1/model_state.pt,ETAEDGE_HM2A,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM2A/model_state.pt,0.856,0.0519999999999999,0.0268827427172154,0.84,0.86,0.02,0.06
SEAM_0001_ETAEDGE_HM1__ETAEDGE_MM_P0,SEAM_0001_ETAEDGE_HM1__ETAEDGE_MM,ETAEDGE_HM1,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM1/model_state.pt,ETAEDGE_MM,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_MM/model_state.pt,0.69,0.04,0.0289523746867161,0.68,0.7,0.02,0.06
SEAM_0001_ETAEDGE_HM1__ETAEDGE_MM_P1,SEAM_0001_ETAEDGE_HM1__ETAEDGE_MM,ETAEDGE_HM1,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM1/model_state.pt,ETAEDGE_MM,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_MM/model_state.pt,0.684,0.0279999999999999,0.0204254962240822,0.68,0.7,0.02,0.06
SEAM_0001_ETAEDGE_HM1__ETAEDGE_MM_P2,SEAM_0001_ETAEDGE_HM1__ETAEDGE_MM,ETAEDGE_HM1,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM1/model_state.pt,ETAEDGE_MM,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_MM/model_state.pt,0.684,0.0519999999999999,0.0379330644161528,0.68,0.7,0.02,0.06
SEAM_0001_ETAEDGE_HM1__ETAEDGE_MM_P3,SEAM_0001_ETAEDGE_HM1__ETAEDGE_MM,ETAEDGE_HM1,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM1/model_state.pt,ETAEDGE_MM,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_MM/model_state.pt,0.696,0.0279999999999999,0.0201051698823959,0.68,0.7,0.02,0.06
SEAM_0001_ETAEDGE_HM1__ETAEDGE_MM_P4,SEAM_0001_ETAEDGE_HM1__ETAEDGE_MM,ETAEDGE_HM1,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_HM1/model_state.pt,ETAEDGE_MM,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_subsonic/anchor_budget_runs/N340/joint/ETAEDGE_MM/model_state.pt,0.696,0.0519999999999999,0.0373381726387352,0.68,0.7,0.02,0.06
