kind,Mach,alpha,requested_target,cr_seed,ci_seed,accepted,box_scale,seed_distance,error,cr,ci,omega_i,stage1_mismatch,stage2_mismatch,ln_p_start_right,y_limit,min_abs_U_minus_c,success
mach_seed,1.2,0.13,True,0.1932300126720001,0.0993653801703457,True,1.0,1.0950347170553754e-05,,0.1932295408128001,0.09935991008231965,0.012916788310701555,6.325149271424294e-08,4.190780869409269e-18,-13.462417368904823,278.78575049257626,0.09944636352577435,True
mach_continuation,1.1833333333333333,0.13,False,0.1932295408128001,0.09935991008231965,True,1.0,0.013904406081223833,,0.18153007303680013,0.1031167359443311,0.013405175672763043,9.367432780649256e-08,3.795831226353099e-18,-12.930456996996337,266.4335405191082,0.10317440693500207,True
mach_continuation,1.1666666666666665,0.13,False,0.18153007303680013,0.1031167359443311,True,1.0,0.014523906746749549,,0.16917105607680016,0.10693113520799996,0.013901047577039995,5.077422454569406e-08,3.4027745389679532e-18,-12.371639581388342,254.1441061308186,0.1069340534768842,True
mach_continuation,1.15,0.13,True,0.16917105607680016,0.10693113520799996,True,1.0,0.01527839316282018,,0.15598611886080016,0.11079075721824425,0.014402798438371752,8.907105944946512e-08,3.0234964564249894e-18,-11.776388774380363,241.80782347921203,0.11082274216606212,True
mach_continuation,1.1333333333333333,0.13,False,0.15598611886080016,0.11079075721824425,True,1.0,0.016239373205232468,,0.14172992686080016,0.11467914479402544,0.014908288823223308,7.47420482524206e-08,2.652609651180575e-18,-11.13152445797085,229.27741810946844,0.11470947016733773,True
mach_continuation,1.1166666666666667,0.13,False,0.14172992686080016,0.11467914479402544,True,2.0,0.017544399236578835,,0.12601743175680014,0.11858181830647954,0.015415636379842342,7.50997496582927e-08,2.273013558578363e-18,-10.417324797678967,216.32573119935364,0.11862648796298679,True
mach_continuation,1.1,0.13,True,0.12601743175680014,0.11858181830647954,True,2.0,0.019463832903023573,,0.10818024929280014,0.12247654913873207,0.01592195138803517,9.151450915840759e-08,1.8917768172698822e-18,-9.602274709559065,202.59879580918957,0.12248430341003319,True
mach_continuation,1.0833333333333335,0.13,False,0.10818024929280014,0.12247654913873207,True,2.0,0.02266869665888974,,0.08686162145280013,0.12632966201121373,0.016422856061457786,6.229309122687685e-08,1.4971847316039202e-18,-8.627453034648607,187.43643143616038,0.12636285556165266,True
mach_continuation,1.0666666666666667,0.13,False,0.08686162145280013,0.12632966201121373,True,2.0,0.029608093460308134,,0.05822990008320013,0.1301000641703982,0.01691300834215177,3.4092084036290934e-08,1.0614333561297493e-18,-7.340067217385315,169.09896806108583,0.13011114707082377,True
mach_continuation,1.05,0.13,True,0.05822990008320013,0.1301000641703982,True,4.0,0.07593156886751803,,0.0,0.10573368422290107,0.013745378948977139,8.436743697649641e-08,5.26650561293225e-19,-4.999999963523163,163.28082587771044,0.10573368422290107,True
mach_continuation,1.0350000000000001,0.13,False,0.0,0.10573368422290107,True,1.0,0.07350132581627225,,0.0,0.06898302131476494,0.008967792770919443,9.155612170332039e-08,6.204302138321077e-19,-5.00000003650803,210.89922236898974,0.06898302131476494,True
mach_continuation,1.02,0.13,True,0.0,0.06898302131476494,True,1.0,0.043784691373066134,,0.0,0.047090675628231875,0.006121787831670144,3.310092211280815e-08,7.013470453268611e-19,-4.999999985760571,252.0950267553091,0.047090675628231875,True
mach_continuation,1.01,0.13,False,0.0,0.047090675628231875,True,1.0,0.025148681137905984,,0.0,0.03451633505927888,0.004487123557706255,1.3164916741331643e-08,7.615968045458045e-19,-5.000000003645142,280.82160141196016,0.03451633505927888,True
mach_continuation,1.0,0.13,True,0.0,0.03451633505927888,True,1.0,0.025946918672237834,,2.3040000000000005e-10,0.021542875723159965,0.0028005738440107955,2.949725256586928e-08,8.392464846940868e-19,-5.0000000494070065,312.76425979898374,0.021542875723159965,True
