kind,Mach,alpha,requested_target,cr_seed,ci_seed,accepted,box_scale,seed_distance,error,cr,ci,omega_i,stage1_mismatch,stage2_mismatch,ln_p_start_right,y_limit,min_abs_U_minus_c,success,point_index,alpha_step_used
alpha_trace,1.0,0.13,True,2.3040000000000005e-10,0.021542875723159965,True,0.0,0.0,,2.3040000000000005e-10,0.021542875723159965,0.0028005738440107955,2.949725256586928e-08,8.392464846940868e-19,-5.0000000494070065,312.76425979898374,0.021542875723159965,True,0,0.0
alpha_trace,1.0,0.14,True,2.3040000000000005e-10,0.021542875723159965,True,1.0,0.009506880294215607,,0.0,0.026296315870267768,0.003681484221837488,9.418131312471218e-08,7.58432034932154e-19,-4.999999962255195,262.55528026017674,0.026296315870267768,True,1,0.010000000000000009
alpha_trace,1.0,0.15200000000000002,True,-2.7648000000000006e-10,0.03200044404679713,True,1.0,0.0028601788399734472,,1.535999971688448e-10,0.03343053346678384,0.005081441086951144,1.3527601020268071e-08,6.690384555806373e-19,-5.000000021218386,214.0949901693817,0.03343053346678384,True,2,0.01200000000000001
alpha_trace,1.0,0.16640000000000002,True,3.379199937714583e-10,0.04199159458260311,True,1.0,0.006660003101377715,,7.680000173015037e-11,0.045321596133291966,0.007541513596579784,9.783463957727449e-09,5.714989632806782e-19,-5.000000009389839,167.46537328231562,0.045321596133291966,True,3,0.014399999999999996
alpha_trace,1.0,0.18368,True,-1.5359992796282917e-11,0.059590871333101716,True,1.0,0.026384663951311227,,0.0,0.07278320330875733,0.013368818783752547,7.876027739095815e-08,4.525233573614712e-19,-4.999999964508741,118.89763171608864,0.07278320330875733,True,4,0.01727999999999999
alpha_trace,1.0,0.20368,True,-8.888889089137773e-11,0.10456747087295334,True,4.0,0.06258687030173553,,0.05761217271464863,0.09234092312817277,0.01880799922274623,9.888631206429914e-08,1.2239393537392903e-18,-9.193405355374862,123.3004808123371,0.09236996059163732,True,5,0.01999999999999999
alpha_trace,1.0,0.22368,True,0.11522434542929726,0.11189864294758821,True,2.0,0.07033132811092849,,0.08612178814289724,0.07988483001770244,0.01786863877835968,2.65414513356099e-07,2.255064503764348e-18,-13.014085437777737,141.42263092545477,0.07996753427650138,True,6,0.01999999999999999
alpha_trace,1.0,0.24367999999999998,True,0.11463140357114585,0.06742873690723211,True,1.0,0.008478535933316517,,0.10616869713914584,0.06768766325695588,0.016494129782455007,6.342037662680782e-08,4.023173841599062e-18,-17.49728387503151,161.83275404332147,0.06777248939421489,True,7,0.01999999999999999
alpha_trace,1.0,0.26367999999999997,True,0.12621560613539445,0.055490496496209324,True,1.0,0.004161372823130627,,0.12208009156259446,0.05572209042491269,0.014692800803240976,4.238468106856977e-08,7.516356268330255e-18,-23.449833418167774,189.25119188047506,0.0557852011932614,True,8,0.01999999999999999
alpha_trace,1.0,0.28368,True,0.1379914859860431,0.043756517592869484,True,1.0,0.0026356151083964984,,0.1353892989268431,0.04396573608424864,0.012472200012379654,1.4855918079356263e-08,1.5544523916231606e-17,-32.1858207017464,230.36665012117754,0.04412141499983487,True,9,0.020000000000000018
