tail_polish_left_applied,tail_polish_reason,tail_polish_lambda_real,tail_polish_lambda_imag,tail_polish_fit_rel_resid,tail_polish_fit_n,tail_polish_y_join,tail_polish_n_replaced,Mach,alpha,tail_polish_fit_y_min,tail_polish_fit_y_max
False,fit_failed,,,,0,,0,1.33,0.2,,
False,fit_failed,,,,0,,0,1.33,0.225,,
False,fit_failed,,,,0,,0,1.4,0.05,,
False,fit_failed,,,,0,,0,1.4,0.075,,
False,fit_failed,,,,0,,0,1.4,0.1,,
False,fit_failed,,,,0,,0,1.4,0.125,,
False,fit_failed,,,,0,,0,1.4,0.1375,,
False,fit_failed,,,,0,,0,1.4,0.15,,
False,fit_failed,,,,0,,0,1.4,0.1625,,
False,fit_failed,,,,0,,0,1.4,0.16875,,
False,fit_failed,,,,0,,0,1.4,0.175,,
False,fit_failed,,,,0,,0,1.4,0.18125,,
False,fit_failed,,,,0,,0,1.4,0.1875,,
False,no_join_crossing,,,,0,,0,1.4,0.19375,,
False,fit_failed,,,,0,,0,1.4,0.2,,
False,fit_failed,,,,0,,0,1.4,0.225,,
False,fit_failed,,,,0,,0,1.5,0.05,,
False,fit_failed,,,,0,,0,1.5,0.075,,
False,fit_failed,,,,0,,0,1.5,0.1,,
False,fit_failed,,,,0,,0,1.5,0.125,,
False,fit_failed,,,,0,,0,1.5,0.1375,,
False,fit_failed,,,,0,,0,1.5,0.15,,
False,fit_failed,,,,0,,0,1.5,0.15625,,
False,fit_failed,,,,0,,0,1.5,0.158333,,
False,fit_failed,,,,0,,0,1.5,0.1625,,
False,fit_failed,,,,0,,0,1.5,0.165625,,
False,fit_failed,,,,0,,0,1.5,0.175,,
False,fit_failed,,,,0,,0,1.5,0.2,,
False,fit_failed,,,,0,,0,1.6,0.05,,
False,fit_failed,,,,0,,0,1.6,0.075,,
False,fit_failed,,,,0,,0,1.6,0.1,,
False,fit_failed,,,,0,,0,1.6,0.125,,
False,fit_failed,,,,0,,0,1.6,0.15,,
False,fit_failed,,,,0,,0,1.6,0.175,,
False,fit_failed,,,,0,,0,1.7,0.075,,
False,fit_failed,,,,0,,0,1.7,0.1,,
False,fit_failed,,,,0,,0,1.7,0.125,,
False,fit_failed,,,,0,,0,1.7,0.15,,
False,fit_failed,,,,0,,0,1.7,0.175,,
False,fit_failed,,,,0,,0,1.7,0.2,,
False,fit_failed,,,,0,,0,1.8,0.07,,
False,fit_failed,,,,0,,0,1.8,0.0725,,
False,fit_failed,,,,0,,0,1.8,0.075,,
False,fit_failed,,,,0,,0,1.8,0.0775,,
False,fit_failed,,,,0,,0,1.8,0.08,,
False,fit_failed,,,,0,,0,1.8,0.0825,,
False,fit_failed,,,,0,,0,1.8,0.085,,
False,fit_failed,,,,0,,0,1.8,0.0875,,
False,fit_failed,,,,0,,0,1.8,0.09,,
False,fit_failed,,,,0,,0,1.8,0.0925,,
False,fit_failed,,,,0,,0,1.8,0.095,,
False,fit_failed,,,,0,,0,1.8,0.0975,,
False,fit_failed,,,,0,,0,1.8,0.1,,
False,fit_failed,,,,0,,0,1.8,0.1025,,
False,fit_failed,,,,0,,0,1.8,0.105,,
False,fit_failed,,,,0,,0,1.8,0.1075,,
False,fit_failed,,,,0,,0,1.8,0.11,,
False,fit_failed,,,,0,,0,1.8,0.1125,,
False,fit_failed,,,,0,,0,1.8,0.115,,
False,fit_failed,,,,0,,0,1.8,0.1175,,
False,fit_failed,,,,0,,0,1.8,0.12,,
False,fit_failed,,,,0,,0,1.8,0.1225,,
False,fit_failed,,,,0,,0,1.8,0.125,,
False,fit_failed,,,,0,,0,1.8,0.1275,,
False,fit_failed,,,,0,,0,1.8,0.13,,
False,fit_failed,,,,0,,0,1.8,0.1325,,
False,fit_failed,,,,0,,0,1.8,0.135,,
False,fit_failed,,,,0,,0,1.8,0.1375,,
False,fit_failed,,,,0,,0,1.8,0.14,,
False,fit_failed,,,,0,,0,1.8,0.1425,,
False,fit_failed,,,,0,,0,1.8,0.145,,
False,fit_failed,,,,0,,0,1.8,0.1475,,
False,fit_failed,,,,0,,0,1.8,0.15,,
False,fit_failed,,,,0,,0,1.8,0.1525,,
False,fit_failed,,,,0,,0,1.8,0.155,,
False,fit_failed,,,,0,,0,1.8,0.1575,,
False,fit_failed,,,,0,,0,1.8,0.16,,
False,fit_failed,,,,0,,0,1.8,0.1625,,
False,fit_failed,,,,0,,0,1.8,0.165,,
False,fit_failed,,,,0,,0,1.8,0.1675,,
False,fit_failed,,,,0,,0,1.8,0.17,,
False,fit_failed,,,,0,,0,1.8,0.1725,,
False,fit_failed,,,,0,,0,1.8,0.175,,
