method,n,mean_error,median_error,p90_error,p95_error,max_error,n_le_1e5,n_le_1e4
Direct PINN,401,0.006719843847939995,0.004020298667981898,0.01652295755360559,0.02050820675866146,0.08821280387414869,0,1
PINN-seeded shooting,401,0.0002476657813388372,3.647138687676845e-06,6.5329384095896675e-06,8.117371197522136e-06,0.09778215948361772,396,400
