zone,n,p_rel,q_rel,max_abs_p_ref,max_abs_p_pred,mean_abs_p_ref,mean_abs_p_pred
center_|y|<=50,4391,0.003964477348836893,0.00682391504239209,0.4444444444444443,0.44475882988493226,0.3852940959790534,0.38529668587028915
center_|y|<=60,4428,0.009947691336827049,0.008026160799888769,0.4444444444444443,0.44475882988493226,0.38313135706898654,0.38310880612399373
diagnostic_|y|<=80,4474,0.027017533363996277,0.02409008409573382,0.4444444444444443,0.44475882988493226,0.38025925744001393,0.3802480653430495
left_-120_-80,22,0.3659195615206445,0.5196437743593959,0.19160015942325298,0.19405326867874925,0.16081261362660448,0.11779928775206011
right_50_120,70,1.0707597238464703,3.7325067403424224,0.025455375471193864,0.025386621171845355,0.009587622283895116,0.008731619307838253
right_y>80,65,0.8335980509608222,2.554965454078349,0.004359332052702023,0.003863600144946067,0.0008211750505230733,0.00043922621785564013
right_y>120,40,0.5903475707703013,2.557264764715779,0.0004320030863235761,0.0003462895026953199,6.814475709474488e-05,3.882287040798455e-05
left_y<-80,55,0.5918307543316552,0.5902851521322442,0.19160015942325298,0.19405326867874925,0.09869675923139785,0.057617944409235344
outside_|y|>80,120,0.3613007860699823,0.3294843881942278,0.19160015942325298,0.19405326867874925,0.04568081780009069,0.02664613872223801
full_domain,4594,0.23182243021614865,0.2222501620447757,0.4444444444444443,0.44475882988493226,0.37151972484167023,0.3710116197195194
