zone,n,p_rel,q_rel,max_abs_p_ref,max_abs_p_pred,mean_abs_p_ref,mean_abs_p_pred
center_|y|<=50,4391,0.016981657790843836,0.022377502134801396,0.4444444444444443,0.4451684782464229,0.3852940959790534,0.3853138851799666
center_|y|<=60,4428,0.05352768300349036,0.037724192462389054,0.4444444444444443,0.4451684782464229,0.38313135706898654,0.38320624262083586
diagnostic_|y|<=80,4474,0.18905034575052634,0.12049373346296348,0.4444444444444443,0.4451684782464229,0.38025925744001393,0.3808066445627513
left_-120_-80,22,0.3530210621840715,0.7534805201368225,0.19160015942325298,0.20018732273645465,0.16081261362660448,0.12265305037802804
right_50_120,70,7.430170570902962,18.092378982177035,0.025455375471193864,0.17632209887407688,0.009587622283895116,0.05279040628159374
right_y>80,65,26.50468901206519,126.98398987477745,0.004359332052702023,0.03451731841223003,0.0008211750505230733,0.00983206240279009
right_y>120,40,263.27853722256316,1237.9743657834374,0.0004320030863235761,0.03451731841223003,6.814475709474488e-05,0.011508041333936004
left_y<-80,55,0.597672211713006,0.7799350493766962,0.19160015942325298,0.20018732273645465,0.09869675923139785,0.07032280714860163
outside_|y|>80,120,0.4128652312640198,0.5279947185282821,0.19160015942325298,0.20018732273645465,0.04568081780009069,0.03755698707795371
full_domain,4594,0.3075818250953512,0.3349637576282253,0.4444444444444443,0.4451684782464229,0.37151972484167023,0.3718406108452555
