zone,n,p_rel,q_rel,max_abs_p_ref,max_abs_p_pred,mean_abs_p_ref,mean_abs_p_pred
center_|y|<=50,4391,0.0064320036972366785,0.011544483655414037,0.4444444444444443,0.44509381420615857,0.3852940959790534,0.3853033186606578
center_|y|<=60,4428,0.007502363851630428,0.012162513032833985,0.4444444444444443,0.44509381420615857,0.38313135706898654,0.3831378524318606
diagnostic_|y|<=80,4474,0.02795518118585967,0.039057685779152945,0.4444444444444443,0.44509381420615857,0.38025925744001393,0.380217863477842
left_-120_-80,22,0.9233380982654497,0.8310871061841452,0.19160015942325298,0.17275490691498835,0.16081261362660448,0.09457212556696358
right_50_120,70,0.29699285479911414,3.26821467822637,0.025455375471193864,0.026497698688510974,0.009587622283895116,0.010143659635831402
right_y>80,65,6.860234932674141,53.011966783232744,0.004359332052702023,0.015834022023109184,0.0008211750505230733,0.002809971099316081
right_y>120,40,67.28481506347653,521.4925150126684,0.0004320030863235761,0.015834022023109184,6.814475709474488e-05,0.0022514824774523446
left_y<-80,55,0.9645445124839798,0.8941245027442236,0.19160015942325298,0.17275490691498835,0.09869675923139785,0.0554564254663052
outside_|y|>80,120,0.5938366198320305,0.5252035361536208,0.19160015942325298,0.17275490691498835,0.04568081780009069,0.026939596017519434
full_domain,4594,0.37738645809205507,0.3406609966820545,0.4444444444444443,0.44509381420615857,0.37151972484167023,0.37098987216412
