zone,n,p_rel,q_rel,max_abs_p_ref,max_abs_p_pred,mean_abs_p_ref,mean_abs_p_pred
center_|y|<=50,4391,0.005016547839261273,0.008111497540176246,0.4444444444444443,0.4447584908220073,0.3852940959790534,0.38529758359690774
center_|y|<=60,4428,0.013066930168947466,0.00971967522978148,0.4444444444444443,0.4447584908220073,0.38313135706898654,0.38310990057120925
diagnostic_|y|<=80,4474,0.03180513059915829,0.02762722659379791,0.4444444444444443,0.4447584908220073,0.38025925744001393,0.38026186478477203
left_-120_-80,22,0.13377293079230307,0.34363792176839175,0.19160015942325298,0.19621512821181356,0.16081261362660448,0.15190070888339705
right_50_120,70,1.2447269918853205,4.268623306190904,0.025455375471193864,0.025285072909808966,0.009587622283895116,0.009975237845715287
right_y>80,65,1.2666791603025638,3.300191059524364,0.004359332052702023,0.005850013316631382,0.0008211750505230733,0.0006767544351416486
right_y>120,40,0.7774071399173673,1.1414488751079244,0.0004320030863235761,0.0002443916479078062,6.814475709474488e-05,2.6199433497827415e-05
left_y<-80,55,0.4914448504047366,0.4566054748341049,0.19160015942325298,0.19621512821181356,0.09869675923139785,0.07684718106539398
outside_|y|>80,120,0.30226779542929516,0.253740940071435,0.19160015942325298,0.19621512821181356,0.04568081780009069,0.03558819997400729
full_domain,4594,0.19368404779371517,0.17297066738222872,0.4444444444444443,0.4447584908220073,0.37151972484167023,0.37125863453285823
