zone,n,p_rel,q_rel,max_abs_p_ref,max_abs_p_pred,mean_abs_p_ref,mean_abs_p_pred
center_|y|<=50,4391,0.015483595825013408,0.019929141449156862,0.4444444444444443,0.44455518655280574,0.3852940959790534,0.38537963147613447
center_|y|<=60,4428,0.024358614745303556,0.026809992133349114,0.4444444444444443,0.44455518655280574,0.38313135706898654,0.3831941579277134
diagnostic_|y|<=80,4474,0.18831726740218496,0.1822063141903496,0.4444444444444443,0.44455518655280574,0.38025925744001393,0.38030862747820393
left_-120_-80,22,1.2732550686246875,1.0238413922869727,0.19160015942325298,0.15705952598107423,0.16081261362660448,0.12748728640063398
right_50_120,70,10.539931001159113,26.808116251319248,0.025455375471193864,0.22385220913219592,0.009587622283895116,0.06697739033968646
right_y>80,65,214.14175292854603,206.24470799451336,0.004359332052702023,0.2519325449969853,0.0008211750505230733,0.106899695687651
right_y>120,40,2061.3365327228325,1585.903036921269,0.0004320030863235761,0.2519325449969853,6.814475709474488e-05,0.11222755832358655
left_y<-80,55,1.3254665386300601,1.133955624955958,0.19160015942325298,0.15705952598107423,0.09869675923139785,0.07641637604793286
outside_|y|>80,120,1.5455414850363924,1.032835521685146,0.19160015942325298,0.2519325449969853,0.04568081780009069,0.0929281741861135
full_domain,4594,0.9773987372265874,0.499674503543039,0.4444444444444443,0.44455518655280574,0.37151972484167023,0.37280195477575484
