zone,n,p_rel,q_rel,max_abs_p_ref,max_abs_p_pred,mean_abs_p_ref,mean_abs_p_pred
center_|y|<=50,4391,0.019138318931949398,0.02664294982109457,0.4444444444444443,0.4444594244796052,0.3852940959790534,0.3853704838466814
center_|y|<=60,4428,0.02722935918842166,0.0329735192804636,0.4444444444444443,0.4444594244796052,0.38313135706898654,0.3831868693206427
diagnostic_|y|<=80,4474,0.15418547884710498,0.1828063265176912,0.4444444444444443,0.4444594244796052,0.38025925744001393,0.37999510812552917
left_-120_-80,22,1.040331931176539,1.012355602525487,0.19160015942325298,0.043530700118529844,0.16081261362660448,0.02850727123192365
right_50_120,70,1.347097018617829,3.129701076832014,0.025455375471193864,0.029706203414733692,0.009587622283895116,0.01665426870362666
right_y>80,65,123.92022028144876,85.47054022493953,0.004359332052702023,0.2008358594687598,0.0008211750505230733,0.025925808237660795
right_y>120,40,1244.896543812204,853.9523948654793,0.0004320030863235761,0.2008358594687598,6.814475709474488e-05,0.03487716727257464
left_y<-80,55,1.096591790113384,1.0630213079211803,0.19160015942325298,0.06610201954605209,0.09869675923139785,0.026478740671205914
outside_|y|>80,120,1.2603634958864358,1.019725985852302,0.19160015942325298,0.2008358594687598,0.04568081780009069,0.02617923560303564
full_domain,4594,0.653059490132089,0.44525832064631077,0.4444444444444443,0.4444594244796052,0.37151972484167023,0.37075307401523333
