y,mask,p_ref_real,p_ref_imag,q_ref_real,q_ref_imag,p_pred_raw_real,p_pred_raw_imag,q_pred_raw_real,q_pred_raw_imag,p_pred_aligned_real,p_pred_aligned_imag,q_pred_aligned_real,q_pred_aligned_imag,p_y_pred_num_aligned_real,p_y_pred_num_aligned_imag
-500.0000000000052,0,0.0014237787594807,0.0017209871086268,2.709796950368217e-05,1.573405178317472e-05,0.000703785788185512,-0.0006960357304043352,-0.00014467332571642296,-0.00010192984314027277,0.0003130706539010727,-0.00030807040903048507,-6.408292221881485e-05,-4.539119164380786e-05,-9.924358521831154e-06,3.8153077942514136e-05
-456.3933676015728,0,0.0026054299543717,0.0024070961208736,-9.4536587739959e-05,8.454062118650576e-06,-0.0002620685985874652,0.003055763771914481,0.0009095412676782766,-0.00012162397372552584,-0.00011969719995066825,0.0013556568356774684,0.00040373088467334666,-5.295436022334813e-05,-2.4707691003852417e-05,-7.449302796767851e-06
-419.76656194552686,0,-0.0045991323709456,0.0024927783977796,0.00011361517101583266,-6.194519267915234e-05,-0.003335895916845906,-0.0007130093632301711,-0.00021810517688333072,0.0005681107453055388,-0.001479458302890994,-0.00032010781154665955,-9.741452115857154e-05,0.00025184732224491747,7.964498292955028e-06,-4.570764559983761e-06
-388.5679312706581,0,0.0071921578364036,-0.0011481831254538,4.925703611927495e-06,-0.0002227386945731175,-7.018943898009426e-05,0.0014237508011149648,0.000278387008644513,-0.0007861451283648178,-3.2733468690628226e-05,0.0006316896805076166,0.0001244068576323979,-0.00034852955987237685,-6.5428669584920595e-06,3.416378535903796e-05
-361.6740144721047,0,-0.0013230790343567,-0.0095967503454221,-0.0002944140861886573,-0.0001484135556895282,-0.0032255692869851546,0.0036932986008457623,0.001187361866519751,3.420824052582516e-05,-0.0014354170439891626,0.0016352480062657923,0.000526835783787077,1.650370057288265e-05,-5.842376021219257e-05,-3.272289678343586e-05
-338.25137016801773,0,-0.0077659832986907,-0.00969218005903,-7.858519968085268e-05,-0.0001212681821034017,-0.006610027719056534,-0.0012452877891848684,-0.0007133128331537465,0.0009309218905557515,-0.0029317112865533605,-0.000559950105030341,-0.0003175601139103869,0.00041228697754563996,-8.852714484911105e-05,-5.27098566199326e-05
-317.66866508955553,0,-0.005829609777654,-0.0143079058450172,0.0005158023520959764,-0.00014314896731010935,-0.011722829251235937,-0.002005725480610866,-2.699982820417228e-05,0.0026640427879603894,-0.005199591783872025,-0.0009030853721392694,-1.4952073902438384e-05,0.001182098732386979,0.00010465937701896782,0.00010098469268881455
-299.4389122750392,0,0.0103824143037632,-0.0156079939735147,0.0006936188468099269,0.000861046261064373,0.000415258880385592,0.006393504998454052,0.0013339685397382645,-0.001462507564866151,0.0001771339549866696,0.002837484661830119,0.0005935596293525547,-0.0006474778701610135,0.00015172144744569842,1.139068564825076e-05
-283.1804479263275,0,0.0188219052899744,0.0119108802543543,-0.001238224155491391,0.000856093306719944,0.0012793007419059435,0.0004757136943541466,-0.0005216001852953444,-0.00267409802255891,0.0005671398468255455,0.00021251763614240157,-0.00022846970099756698,-0.0011871724654272736,-0.00016645279434979955,5.1737005689980574e-05
-268.5899184896134,0,-0.0222541024483593,0.0134489253954916,-5.560721519290055e-05,-0.0016145828185494125,-0.00979321862907804,0.008495497909466443,0.0031756700009519176,0.0017310968937115708,-0.004355068553760546,0.003758826445699572,0.0014072249556864665,0.0007716901070366304,6.074938324221605e-06,-0.00015880654507003397
