zone,n,p_rel,q_rel,max_abs_p_ref,max_abs_p_pred,mean_abs_p_ref,mean_abs_p_pred
center_|y|<=50,4391,0.3356426101868006,0.3703989437261757,0.4444444444444443,0.45448657870578435,0.3852940959790534,0.38261879314025915
center_|y|<=60,4428,0.40816280541832467,0.42747526808302766,0.4444444444444443,0.45448657870578435,0.38313135706898654,0.37996734951217087
diagnostic_|y|<=80,4474,0.44262487552705965,0.449773354374799,0.4444444444444443,0.45448657870578435,0.38025925744001393,0.37689621880293644
left_-120_-80,22,0.02252419709519418,0.0861958387194978,0.19160015942325298,0.191405895525073,0.16081261362660448,0.1610970778458048
right_50_120,70,3.190517237426851,11.76786823707323,0.025455375471193864,0.07909297556727218,0.009587622283895116,0.022431112483826766
right_y>80,65,5.548249774493132,28.744287064305524,0.004359332052702023,0.009028943035078044,0.0008211750505230733,0.0024624716959347043
right_y>120,40,55.47254345855641,280.12861372618016,0.0004320030863235761,0.009028943035078044,6.814475709474488e-05,0.0026125451931765555
left_y<-80,55,0.17119485950629787,0.42955791134095483,0.19160015942325298,0.191405895525073,0.09869675923139785,0.09704573489019887
outside_|y|>80,120,0.10996176159192814,0.25719511669950795,0.19160015942325298,0.191405895525073,0.04568081780009069,0.04581313399330578
full_domain,4594,0.4126844410013896,0.44669638004736245,0.4444444444444443,0.45448657870578435,0.37151972484167023,0.36824798846398227
