budget,seed,modal_job,joint_job,gep_job,final_job
224,1234,1514067,1514068,1514069,1514070
224,2345,1514071,1514072,1514073,1514074
224,3456,1514075,1514076,1514077,1514078
340,1234,1514079,1514080,1514081,1514082
340,2345,1514083,1514084,1514085,1514086
340,3456,1514087,1514088,1514089,1514090
