alpha,Mach,blumen_cr,blumen_ci,blumen_target_available,seed_name,seed_cr_center,seed_ci_center,requested_cr_half_window,requested_ci_half_window,used_cr_half_window,used_ci_half_window,retry_index,shooting_cr,shooting_ci,shooting_omega_i,err_cr_abs,err_ci_abs,err_ci_rel,stage1_mismatch,stage2_mismatch,ln_p_start_right,spectral_success,mode_success,success,status,selection_metric,selection_metric_name,y_limit
0.1,1.25,0.19343452686431648,,False,generic_05,0.34,0.085,0.015,0.015,0.015,0.015,0,0.3100292968749999,0.10999023437500002,0.010999023437500003,,,,0.012176856774521693,3.5912928367192516e-19,-18.526082029592715,True,True,True,validated,-0.17938139153627394,max_ci_fallback,346.7125284445726
0.1,1.25,0.19343452686431648,,False,generic_05,0.34,0.085,0.015,0.03,0.015,0.03,0,0.3100292968749999,0.10998046874999999,0.010998046875,,,,0.012176856926412185,3.5848978944232116e-19,-18.527508662219454,True,True,True,validated,-0.1793716259036794,max_ci_fallback,346.74311710521397
0.1,1.25,0.19343452686431648,,False,generic_05,0.34,0.085,0.03,0.015,0.03,0.015,0,0.28005859375000014,0.10854492187500002,0.010854492187500002,,,,0.009346124807256462,1.2295183107479722e-18,-16.779602796806714,True,True,True,validated,-0.17807761563463723,max_ci_fallback,346.4910540142008
0.1,1.25,0.19343452686431648,,False,generic_05,0.34,0.085,0.03,0.03,0.03,0.03,0,0.28005859375000014,0.10853515625000001,0.010853515625000002,,,,0.00934612494203784,1.229137943935448e-18,-16.78082270237153,True,True,True,validated,-0.17806785000289813,max_ci_fallback,346.52200479458526
0.1,1.25,0.19343452686431648,,False,generic_04,0.26,0.07,0.015,0.03,0.015,0.03,0,0.23002929687500004,0.10380859375000001,0.010380859375000002,,,,0.0038226288344495353,9.177295641295502e-19,-13.850602590591679,True,True,True,validated,-0.17361746230827754,max_ci_fallback,352.78371855480765
0.1,1.25,0.19343452686431648,,False,generic_05,0.34,0.085,0.06,0.015,0.06,0.015,0,0.22011718750000003,0.103115234375,0.010311523437500001,,,,0.0026492056302074786,6.952711812776968e-19,-13.225200527509276,True,True,True,validated,-0.17298277409348964,max_ci_fallback,353.0929017935222
0.1,1.25,0.19343452686431648,,False,generic_05,0.34,0.085,0.06,0.03,0.06,0.03,0,0.22011718750000003,0.10310546875,0.010310546875,,,,0.002649205930655143,6.954339352616542e-19,-13.225950433887196,True,True,True,validated,-0.17297300845346725,max_ci_fallback,353.1260450408693
0.1,1.25,0.19343452686431648,,False,generic_03,0.18,0.055,0.015,0.03,0.015,0.03,0,0.197900390625,0.10248046875,0.010248046875,,,,5.392603645944737e-07,7.926183747088225e-19,-11.806314104420128,True,True,True,validated,-0.17248044178698177,max_ci_fallback,350.4274718556816
0.1,1.25,0.19343452686431648,,False,generic_03,0.18,0.055,0.1,0.03,0.1,0.03,0,0.19790364583333334,0.10248046875,0.010248046875,,,,6.120158693328973e-07,7.925149891642188e-19,-11.806518772811348,True,True,True,validated,-0.17248043814920655,max_ci_fallback,350.4282037141655
0.1,1.25,0.19343452686431648,,False,generic_03,0.18,0.055,0.03,0.03,0.03,0.03,0,0.19791015625,0.10248046875,0.010248046875,,,,1.1992217993658582e-06,7.923406525259643e-19,-11.806928119819593,True,True,True,validated,-0.17248040878891002,max_ci_fallback,350.42966740961253
0.1,1.25,0.19343452686431648,,False,generic_05,0.34,0.085,0.1,0.03,0.1,0.03,0,0.19787760416666664,0.10248046875,0.010248046875,,,,2.8402990617570154e-06,7.9335650216062955e-19,-11.804881521130964,True,True,True,validated,-0.17248032673504693,max_ci_fallback,350.4223486454255
0.1,1.25,0.19343452686431648,,False,generic_03,0.18,0.055,0.06,0.03,0.06,0.03,0,0.1979296875,0.10248046875,0.010248046875,,,,3.434736714271334e-06,7.918254634887915e-19,-11.808156242637583,True,True,True,validated,-0.17248029701316428,max_ci_fallback,350.4340583237951
0.1,1.25,0.19343452686431648,,False,generic_04,0.26,0.07,0.06,0.03,0.06,0.03,0,0.1979296875,0.10248046875,0.010248046875,,,,3.434736714271334e-06,7.918254634887915e-19,-11.808156242637583,True,True,True,validated,-0.17248029701316428,max_ci_fallback,350.4340583237951
0.1,1.25,0.19343452686431648,,False,generic_04,0.26,0.07,0.1,0.03,0.1,0.03,0,0.19795572916666668,0.10248046875,0.010248046875,,,,6.506713740061009e-06,7.907797915764571e-19,-11.809793930539508,True,True,True,validated,-0.172480143414313,max_ci_fallback,350.4399124743649
0.1,1.25,0.19343452686431648,,False,generic_05,0.34,0.085,0.1,0.015,0.1,0.015,0,0.19787760416666664,0.10247070312499999,0.0102470703125,,,,2.8595016517738083e-06,7.928158736778074e-19,-11.805430119433918,True,True,True,validated,-0.17247056014991743,max_ci_fallback,350.45540884588155
0.1,1.25,0.19343452686431648,,False,generic_04,0.26,0.07,0.03,0.03,0.03,0.03,0,0.20005859374999996,0.10248046875,0.010248046875,,,,0.0002563860766032755,7.306961511399508e-19,-11.942750540736506,True,True,True,validated,-0.17246764944616985,max_ci_fallback,350.91112449841796
0.1,1.25,0.19343452686431648,,False,generic_05,0.34,0.085,0.1,0.008,0.1,0.008,0,0.19787760416666664,0.10098437500000003,0.010098437500000003,,,,0.0001774175607311792,7.619545593475167e-19,-11.889874728894544,True,True,True,validated,-0.17097550412196347,max_ci_fallback,355.56205830971794
0.1,1.25,0.19343452686431648,,False,generic_05,0.34,0.085,0.06,0.008,0.06,0.008,0,0.22011718750000003,0.10098437500000003,0.010098437500000003,,,,0.00266156112050577,7.644512939721164e-19,-13.39193802921047,True,True,True,validated,-0.17085129694397475,max_ci_fallback,360.47728233510713
0.1,1.25,0.19343452686431648,,False,generic_05,0.34,0.085,0.03,0.008,0.03,0.008,0,0.28005859375000014,0.10098437500000003,0.010098437500000003,,,,0.009389923151041006,7.788671259197839e-19,-17.797770298207066,True,True,True,validated,-0.17051487884244798,max_ci_fallback,372.2508603602358
0.1,1.25,0.19343452686431648,,False,generic_05,0.34,0.085,0.015,0.008,0.015,0.008,0,0.3100292968749999,0.10098437500000003,0.010098437500000003,,,,0.012222266683444194,2.8467664951211984e-23,-19.965026186622975,True,True,True,validated,-0.1703732616658278,max_ci_fallback,377.4418926516555
0.1,1.25,0.19343452686431648,,False,generic_04,0.26,0.07,0.06,0.015,0.06,0.015,0,0.1979296875,0.09997070312499998,0.009997070312499998,,,,0.00029835211651663536,7.3942120521302e-19,-11.951962585980084,True,True,True,validated,-0.16995578551917415,max_ci_fallback,359.1442938167098
0.1,1.25,0.19343452686431648,,False,generic_04,0.26,0.07,0.1,0.015,0.1,0.015,0,0.19795572916666668,0.09997070312499998,0.009997070312499998,,,,0.0002984075986058377,7.383449131294443e-19,-11.95366017253085,True,True,True,validated,-0.1699557827450697,max_ci_fallback,359.15030662209585
0.1,1.25,0.19343452686431648,,False,generic_04,0.26,0.07,0.03,0.015,0.03,0.015,0,0.20005859374999996,0.09997070312499998,0.009997070312499998,,,,0.00039412078447844767,6.758191108502774e-19,-12.091500579420327,True,True,True,validated,-0.16995099708577607,max_ci_fallback,359.6342852195731
0.1,1.25,0.19343452686431648,,False,generic_02,0.1,0.04,0.06,0.03,0.06,0.03,0,0.1979296875,0.09994140624999998,0.009994140624999998,,,,0.00030185167420465267,7.387838097435033e-19,-11.953673934038905,True,True,True,validated,-0.16992631366628974,max_ci_fallback,359.2485644060537
0.1,1.25,0.19343452686431648,,False,generic_02,0.1,0.04,0.1,0.03,0.1,0.03,0,0.1978515625,0.09994140624999998,0.009994140624999998,,,,0.000301877984182448,7.410373998462306e-19,-11.9485804073547,True,True,True,validated,-0.16992631235079086,max_ci_fallback,359.2305174596844
0.1,1.25,0.19343452686431648,,False,generic_04,0.26,0.07,0.015,0.015,0.015,0.015,0,0.23002929687500004,0.09997070312499998,0.009997070312499998,,,,0.0038505296345906674,1.076073337002056e-18,-14.19223472841401,True,True,True,validated,-0.16977817664327044,max_ci_fallback,366.21258737320716
0.1,1.25,0.19343452686431648,,False,generic_02,0.1,0.04,0.03,0.03,0.03,0.03,0,0.15994140624999997,0.09994140624999998,0.009994140624999998,,,,0.0043736166659308125,1.381740811629728e-18,-9.750082489177801,True,True,True,validated,-0.16972272541670344,max_ci_fallback,349.94278492567696
0.1,1.25,0.19343452686431648,,False,generic_02,0.1,0.04,0.015,0.03,0.015,0.03,0,0.129970703125,0.09994140624999998,0.009994140624999998,,,,0.007479846996608973,1.0502046190271692e-18,-8.406077998105557,True,True,True,validated,-0.16956741390016952,max_ci_fallback,341.7719604846618
