chart_id,field_family,best_epoch,total_epochs,n_holdout,prefit_loss_replay,prefit_loss_historical,prefit_loss_abs_diff,prefit_loss_rel_diff,anchor_continuation_clip_count,anchor_continuation_clip_fraction,anchor_continuation_max_grad_norm,max_joint_vs_release_abs
ETAEDGE_HM1,pQscaled,41361,45000,3,2.111242039315751e-09,2.1112419837725052e-09,5.554324625261519e-17,2.6308327837137317e-08,0,0.0,5.509465262691535,0.0074002106325838
ETAEDGE_HM2A,pQscaled,41361,45000,13,6.593107033045421e-10,6.608370357157781e-10,1.5263324112361205e-12,0.0023096956265214,0,0.0,4.68064766487678,0.0040032096028878
ETAEDGE_HM2B,pQscaled,44207,45000,32,3.6876773932533714e-10,3.3923465601543387e-10,2.9533083309903316e-11,0.0870579782643424,0,0.0,8.294222364989354,0.0023919858036322
ETAEDGE_LM,pQscaled,41361,45000,4,5.949128430108389e-10,5.949345223430834e-10,2.1679332244495847e-14,3.643986259044812e-05,0,0.0,4.318165557678054,0.0101414063496613
ETAEDGE_MM,pQscaled,41361,45000,1,1.522165873032429e-08,1.5221658730318417e-08,5.872982349126497e-21,3.8583064127096237e-13,0,0.0,8.181720400783522,0.0032224280457452
HIGH_HIM,pq_legacy,17920,18000,6,1.2492258685315858e-07,1.24922586853139e-07,1.9561167125653998e-20,1.5658631171839584e-13,1,5.580357142857143e-05,12.67697561274854,0.0077887622228814
HIGH_LOWM_COMPACTY,pq_legacy,21155,22000,10,3.7216423539170544e-08,3.7216423539160585e-08,9.952637130238027e-21,2.67425942199026e-13,1,4.727014890096904e-05,12.715153313263864,0.0039328739902859
HM1_HIGH,pq_etaaware,24811,25000,3,4.82440964623638e-10,4.824409646204493e-10,3.1885744662387838e-21,6.6092531523464825e-12,1,4.030470355890533e-05,11.597981183605944,0.0020588394808165
HM1_LOW,pq_etaaware,24987,25000,8,5.049143852625501e-10,5.049143852619371e-10,6.128374363252245e-22,1.213745249122382e-12,1,4.0020810821627246e-05,10.993482635627055,0.009505873463916
HM1_MID,pq_etaaware,24811,25000,5,2.6075291781357132e-09,2.6075291781388635e-09,3.1507309532144824e-21,1.208320497285224e-12,0,0.0,9.419962478443166,0.0098910408902637
HM1_NEUTRAL1,pq_etaaware,24811,25000,6,1.3250713490284953e-08,1.3250713490283909e-08,1.0422475718168149e-21,7.865595860789259e-14,6,0.0002418282213534,25.317361564129037,0.0060165909083192
HM1_NEUTRAL2,pq_etaaware,24523,25000,4,8.927462825915903e-09,8.927462825914912e-09,9.909623738385272e-22,1.1100156821285565e-13,24,0.0009786730824124,33.83904912321932,0.0023540511676399
HM1_NEUTRAL3,pq_etaaware,23892,25000,12,5.493600679966236e-09,5.493600679979711e-09,1.347477217848882e-20,2.4528124564267722e-12,7,0.0002929850996149,17.84888941210211,0.0040851445876427
HM1_VLOW_EXTREME,pQscaled,25249,30000,1,1.8750000191433e-10,1.8750000191453768e-10,2.0772573132737907e-22,1.1078705557670353e-12,0,0.0,7.644447734426041,0.0060294665699457
HM1_VLOW_MOD,pQscaled,29846,30000,10,2.710590503077351e-09,2.710590503076777e-09,5.736497548055247e-22,2.1163276199572672e-13,0,0.0,9.409493202833458,0.0078284910736714
HM2_HIGH,pq_etaaware,24692,25000,6,1.4922306358803993e-10,1.4922306358836118e-10,3.212562704002821e-22,2.1528593682172525e-12,18,0.0007289810464927,38.84092807956389,0.0182879042115079
HM2_LOW,pq_etaaware,24811,25000,6,7.04118268639456e-10,7.076657623282738e-10,3.547493688817773e-12,0.0050129508557065,6,0.0002418282213534,25.509180112456143,0.0056158785443897
HM2_MID,pq_etaaware,23590,25000,8,8.179492832273082e-11,8.179492832296949e-11,2.3865453141861963e-22,2.9177179601684564e-12,3,0.0001271725307333,20.84069687271012,0.0140068883209223
HM2_NEUTRAL1,pq_etaaware,24142,25000,4,1.3931008038639165e-08,1.3931008038628549e-08,1.0614381620280451e-20,7.619248794378984e-13,68,0.0028166680473862,72.27150404988592,0.0150478587652007
