region,n_points,n_charts,median_e_joint,median_e_anchor,median_delta_e,mean_delta_e,fraction_physics_better,median_delta_e_prefit,median_delta_e_rel_reg,ci95_delta_e_low,ci95_delta_e_high,ci95_fraction_better_low,ci95_fraction_better_high
extreme_vlow,91.0,11.0,0.0001145795987057,0.0001176904580801,-7.426343641148136e-07,-1.0694952233873908e-06,0.5164835164835165,-2.687773840492902e-06,-9.80095975744368e-07,-1.266755502254968e-05,1.0840319346172578e-05,0.23529411764705882,0.7303370786516854
vlow,36.0,4.0,0.0002496162927852,0.0002985731886065,-1.881087233435164e-05,-2.497048232319371e-05,0.7777777777777778,-5.751662815192682e-05,-3.132002735551315e-05,-3.739088957643855e-05,-9.359874454550887e-06,0.76,0.8461538461538461
low,45.0,5.0,0.0007369641672952,0.0007363380942743,2.21542136358277e-06,2.1027469785100334e-06,0.35555555555555557,3.0118149149382933e-05,4.762597366173352e-06,-1.208313931133631e-06,4.923253121902338e-06,0.13333333333333333,0.6363636363636364
mid,48.0,5.0,0.00020916710566105002,0.00020398584679915,-4.999176313386089e-06,-2.161261407662244e-06,0.5833333333333334,1.6182374677875533e-05,-1.3898022826256925e-05,-6.7058717385659605e-06,1.842716073119366e-06,0.23076923076923078,0.6956521739130435
high,29.0,6.0,0.0001418571229356,0.0001366559234881,-4.159695759065052e-06,-3.7243607396402352e-06,0.6551724137931034,6.902918649465128e-07,-1.6047497385205868e-05,-6.16508311890307e-06,1.1677140837884623e-06,0.3684210526315789,0.8696002805049058
neutral1,32.0,6.0,0.00036145945176035,0.00036145246818055,-2.978131515285476e-07,-2.121044949082544e-07,0.5625,1.8832191190976122e-05,-1.958952119179218e-06,-6.452937817147397e-07,3.454979261019453e-07,0.3888888888888889,0.6428571428571429
neutral2,26.0,6.0,0.00020462570743725,0.00020464859642715,-2.0025572762087662e-06,-2.884123622751999e-07,0.6923076923076923,3.1029447199504984e-05,-3.1858966786690044e-05,-2.4220886384526685e-06,9.472616848832384e-07,0.5,0.782608695652174
neutral3,77.0,6.0,0.0002318240986567,0.0002490338272509,-1.1713941391842952e-05,-1.8904517521859585e-05,0.8181818181818182,1.353042273333216e-05,-0.0002342788278368,-3.456949652017732e-05,5.062681200478092e-07,0.4603174603174603,0.9871794871794872
