median_delta_e,fraction_physics_better
-7.426343641148136e-07,0.55
-3.623328935220549e-06,0.6793893129770993
-1.7720755353112239e-06,0.6375661375661376
-2.6506887873447432e-06,0.655860349127182
-2.4220886384526685e-06,0.608355091383812
-7.765883814764285e-07,0.5739644970414202
-3.942433287329461e-06,0.6542669584245077
-8.405577587855539e-07,0.5413333333333333
-2.6506887873447432e-06,0.6710097719869706
-1.94617151034332e-06,0.6604651162790698
-3.916673901205314e-06,0.6332518337408313
-3.5882600355752192e-06,0.6942857142857143
-1.718888299806487e-06,0.6117936117936118
-4.233943114662075e-06,0.6657681940700808
-4.725591881776792e-06,0.6601731601731602
-1.2703665956403931e-06,0.5855072463768116
-1.2703665956403931e-06,0.5995370370370371
-5.555153130720747e-06,0.687793427230047
-9.523714760706348e-07,0.5662100456621004
-6.7058717385659605e-06,0.6590389016018307
-1.2190799987543688e-06,0.5963302752293578
-3.229457198189456e-07,0.5100502512562815
-1.865558006464152e-06,0.6418439716312057
-1.6893757202735005e-06,0.6091476091476091
-1.2190799987543688e-06,0.5874587458745875
-7.588727433949227e-07,0.5506493506493506
-2.6239727179203087e-06,0.6527777777777778
-1.6112182835703592e-06,0.6153846153846154
-3.241448724690399e-06,0.66
-4.691394258161952e-06,0.6818181818181818
-1.1538453568715745e-06,0.572972972972973
-2.4220886384526685e-06,0.6074950690335306
-3.5758575632933998e-06,0.656084656084656
-9.25046954980413e-07,0.5347043701799485
-3.822687404508862e-06,0.6595092024539877
-3.416724096982904e-06,0.6386138613861386
-4.68058649200076e-06,0.6487603305785123
-3.6217830285401043e-06,0.642578125
-2.167698859485006e-06,0.63125
-3.916673901205314e-06,0.6528189910979229
-3.147700892158767e-07,0.5264623955431755
-6.1427086028853495e-06,0.6413612565445026
-1.5072809994576275e-06,0.5918367346938775
-1.925311444828104e-06,0.6210826210826211
-4.105402788834311e-06,0.6193895870736086
-5.305419422674262e-07,0.5318627450980392
-3.416724096982904e-06,0.6463104325699746
-1.5592496415139934e-06,0.5994897959183674
-3.916673901205314e-06,0.6408268733850129
-4.159695759065052e-06,0.6946107784431138
-1.9155823434702235e-06,0.5961538461538461
-1.905853242112343e-06,0.6419213973799127
-9.948477970866954e-07,0.5849056603773585
