epoch,ci_anchor_loss,weighted_loss,ci_lr,grad_norm
1,8.66968674137049e-11,8.66968674137049e-08,0.00019999999924991005,0.0002522057245405568
100,4.823111248760656e-09,4.8231112487606565e-06,0.00019999249919936256,0.005779188801517252
200,1.6610895421714814e-09,1.6610895421714814e-06,0.0001999699979819135,0.0010451275580018809
300,3.9462477988063197e-10,3.94624779880632e-07,0.00019993249990085598,0.0005144171852029092
400,6.67680010125983e-11,6.67680010125983e-08,0.0001998800108775717,0.00021104376416179724
500,8.140912822782285e-12,8.140912822782285e-09,0.00019981253920068581,7.368156887355766e-05
600,7.281076577790309e-13,7.281076577790309e-10,0.0001997300955247583,0.0002839836002113175
700,2.3612765758152894e-10,2.3612765758152894e-07,0.0001996326928686014,0.036724314685679695
800,1.1170613878822882e-12,1.1170613878822882e-09,0.00019952034661322354,0.00026662045289055364
900,8.362078560749935e-14,8.362078560749935e-11,0.0001993930744994008,7.2404731020346695e-06
1000,4.8453396760824395e-15,4.8453396760824396e-12,0.0001992508966248754,1.8077951592982293e-06
1100,7.774291190746497e-09,7.774291190746497e-06,0.00019909383544118185,0.20351080642444677
1200,5.805464501254127e-12,5.805464501254127e-09,0.00019892191575010185,0.0014001862453349037
1300,2.7598945241264296e-13,2.7598945241264294e-10,0.00019873516469974748,2.0607390558749523e-05
1400,1.0793592073150867e-14,1.0793592073150867e-11,0.00019853361178027453,2.693726368718993e-06
1500,2.7232962782995504e-07,0.00027232962782995504,0.00019831728881922545,1.2494008545278095
1600,1.676223032112979e-11,1.676223032112979e-08,0.00019808622997650346,0.00270567984863458
1700,3.957647835022395e-09,3.9576478350223956e-06,0.00019784047173897838,0.1651539255813646
1800,5.177176831364842e-13,5.177176831364842e-10,0.00019758005291472486,0.0019208390794310881
1900,8.235584701261279e-12,8.235584701261278e-09,0.00019730501462689404,0.007780688819596699
2000,1.0203464300794438e-10,1.0203464300794438e-07,0.00019701540030721997,0.023559813290529752
2100,3.845032687137978e-11,3.845032687137978e-08,0.00019671125568916103,0.014191473963604314
2200,3.373691898370916e-10,3.3736918983709157e-07,0.00019639262880067818,0.04117824683613476
2300,4.529700676857696e-13,4.529700676857696e-10,0.00019605956995665072,0.0009096148040673279
2400,1.3224032729446304e-09,1.3224032729446305e-06,0.00019571213175093111,0.1054471011094968
2500,1.5085175173569036e-09,1.5085175173569036e-06,0.0001953503690480396,0.08834731758248368
2600,5.847586365256245e-07,0.0005847586365256245,0.00019497433897450072,1.7494854205668304
2700,4.549635598430867e-11,4.549635598430867e-08,0.00019458410090982214,0.018654195232552587
2800,2.95934161521244e-11,2.95934161521244e-08,0.00019417971647711806,0.012773625582728834
2900,9.585946672545152e-10,9.585946672545152e-07,0.00019376124953337815,0.07148417007605842
3000,1.4718512050235556e-08,1.4718512050235557e-05,0.0001933287661593839,0.35304247242586956
3100,4.583246110678486e-08,4.583246110678486e-05,0.00019288233464927353,0.4822422066622567
3200,1.1903174913485181e-11,1.1903174913485182e-08,0.0001924220254997577,0.009252267007976343
3300,9.759587771177359e-08,9.759587771177359e-05,0.0001919479113989872,0.7048073117901096
3400,4.7321782065134394e-08,4.7321782065134396e-05,0.00019146006721507458,0.48968162603558574
3500,2.8441505413498e-09,2.8441505413498e-06,0.00019095856998427185,0.15602534227726927
3600,1.5435549848913256e-08,1.5435549848913258e-05,0.00019044349889880526,0.27908123277417674
3700,1.3560014706461103e-08,1.3560014706461103e-05,0.00018991493529437007,0.26002306205193787
3800,1.8451818403483203e-09,1.8451818403483204e-06,0.00018937296263728674,0.09590884976536213
3900,1.5361232855673407e-10,1.5361232855673407e-07,0.0001888176665113206,0.029889460788977227
4000,9.014166865214897e-10,9.014166865214897e-07,0.00018824913460416704,0.06905503375166287
4100,2.0827038134848923e-10,2.0827038134848924e-07,0.00018766745669360495,0.03799794098291721
4200,3.8571012584107735e-09,3.857101258410774e-06,0.00018707272463331935,0.13922347444519445
4300,8.995868394192771e-09,8.995868394192771e-06,0.00018646503233839699,0.23479358430821523
4400,7.178223163215413e-12,7.178223163215413e-09,0.00018584447577049576,0.00743786740702953
4500,2.2409434086817615e-10,2.2409434086817614e-07,0.00018521115292269145,0.03671257380954668
