step,ci_anchor_loss
1,0.024889286729269693
100,2.930899993613966e-05
200,1.6006040847884613e-05
300,1.0557374770414884e-05
400,6.5487174567960275e-06
500,3.940279096637305e-06
600,2.4293458523522603e-06
700,1.6249452611322274e-06
800,1.1988695660894539e-06
900,9.454971911964275e-07
1000,7.647646315353088e-07
1100,6.179348569675058e-07
1200,4.928075697252962e-07
1300,3.860041421656035e-07
1400,2.962580224128967e-07
1500,2.2244333531146068e-07
1600,1.6316262183741904e-07
1700,1.1675311337941994e-07
1800,8.138880630425899e-08
1900,5.519802335028614e-08
2000,3.63727709546192e-08
2100,2.325805593962922e-08
2200,1.4413886411337582e-08
2300,8.647208732592074e-09
2400,5.015738189901374e-09
2500,2.8094636343647345e-09
2600,1.517690406143152e-09
2700,7.896222265664226e-10
2800,3.950840189677046e-10
2900,1.8979892598661226e-10
3000,8.739116074850488e-11
