step,ci_anchor_loss
1,0.013638821578809877
100,2.8608894932113117e-05
200,1.9470709287946883e-05
300,1.2703695488756426e-05
400,7.916956964964083e-06
500,4.897767887598541e-06
600,3.1606236985063267e-06
700,2.192893419791075e-06
800,1.621879735414438e-06
900,1.2478146938787717e-06
1000,9.820343423139286e-07
1100,7.853368185740849e-07
1200,6.374977943897195e-07
1300,5.260330141242789e-07
1400,4.421473749015505e-07
1500,3.79109202709591e-07
1600,3.315697146489813e-07
1700,2.9527527146203967e-07
1800,2.669170720651212e-07
1900,2.440078554084243e-07
2000,2.247517357472758e-07
2100,2.079075383034057e-07
2200,1.926566832294282e-07
2300,1.7848623847779794e-07
2400,1.650933253131856e-07
2500,1.5231230207597576e-07
2600,1.4006269030422164e-07
2700,1.2831400680312322e-07
2800,1.1706323080273976e-07
2900,1.0632105158603763e-07
3000,9.610383662305752e-08
