pair_id,n,median_c_jump,p95_c_jump,max_c_jump,median_cr_jump,median_ci_jump
C10--C11,5,0.0020894059181436,0.004072266431816679,0.0044897110155275,0.0018099844455718,0.0006876289844512
C00--C10,5,0.0051145230127557,0.028252239792674154,0.0337076112854983,0.0027451068162918,0.0041056871414184
C20--C30,5,0.0053414695991052,0.0099916755723727,0.0102594234555495,0.0050664544105529,0.0016918443143367
C02--C12,5,0.0054915180215879,0.05070791966226587,0.0587903117533691,0.0054898262023925,0.0002990299835801
C11--C12,5,0.0063237852281849,0.0098844499102677,0.0101589284048788,0.0045551657676696,0.0036353580653667
C30--C31,5,0.0064491837978923,0.01677577092667598,0.0174294933286812,0.0063974559307098,0.0020306669175624
C11--C21,5,0.0064936011937153,0.014552683663320978,0.0164943381543999,0.0060924589633941,0.0022469535470008
C20--C21,5,0.0068768749215057,0.012634364827385978,0.0135772918664106,0.0047311782836914,0.0040527582168579
C21--C31,5,0.0080313589831253,0.015431615516111198,0.0159454153133973,0.008001297712326,0.0007303059101104
C21--C22,5,0.0089924845060606,0.028076073655289198,0.0320141853515338,0.0088571310043334,0.0015543513000011
C12--C22,5,0.009201859231725,0.0174945458354282,0.017768138226497,0.0092002153396606,0.0001835640287026
C01--C11,5,0.009398450827168,0.012340323339940899,0.012453543303955,0.0091495513916015,0.0016311630606651
C10--C20,5,0.0119011535890806,0.01839055869137218,0.0199112903503205,0.0115016400814056,0.0038995668292045
C01--C02,5,0.0124237860700052,0.038244049698820254,0.0444976424223108,0.0082399100065231,0.0027366317808628
C00--C01,5,0.0153357789353038,0.037577407327619015,0.0417753747990739,0.007266491651535,0.0115081369876861
C22--C32,5,0.0160717748582284,0.06861978951140711,0.075113226320145,0.0157529413700103,0.0031854019034653
C31--C32,5,0.0168183245637863,0.029517144733882582,0.030240360669201,0.0167880654335021,0.0024833134375512
