location,eps,c_median,c_p95,cr_median,cr_p95,ci_median,ci_p95
same point,0.0,0.0086824691430277,0.040161822096358754,0.0067159533500671,0.037019175291061336,0.0022273026406764,0.015343761444091733
1e-06,1e-06,0.0086825286804111,0.0401630756624546,0.0067108273506164,0.0370205640792846,0.0022278241813182,0.0153442427515983
1e-05,1e-05,0.0086831223973243,0.0401741395392569,0.0066647678613662,0.0370328187942504,0.0022325478494167,0.0153471276164054
1e-04,0.0001,0.0086889145357575,0.040284101435158,0.0063734054565429,0.0371544241905212,0.0022670850157737,0.0153774261474609
