step,ci_anchor_loss
1,0.011148391054041557
100,3.722340667875917e-05
200,2.124094161313565e-05
300,1.1965998669817724e-05
400,7.024089680967722e-06
500,4.2112120541459805e-06
600,2.442136826889944e-06
700,1.344814853756394e-06
800,7.226887790424659e-07
900,4.0397028191105805e-07
1000,2.5006613342684374e-07
1100,1.726447647715949e-07
1200,1.2759347884428423e-07
1300,9.702277629855757e-08
1400,7.447174172354864e-08
1500,5.740946786669954e-08
1600,4.448107339698511e-08
1700,3.471648627714853e-08
1800,2.7343633893286216e-08
1900,2.174681030863122e-08
2000,1.7449279129297137e-08
2100,1.4095141778999006e-08
2200,1.1428148764519498e-08
2300,9.269611823935738e-09
2400,7.497825422424902e-09
2500,6.030630026718231e-09
2600,4.8118193043202475e-09
2700,3.8013342445952964e-09
2800,2.9687106793260156e-09
2900,2.2890425298100587e-09
3000,1.7407198033504023e-09
