path,reason
assets/classic_supersonic/shooting/_incoming_sparse_supersonic_expand1/sparse_supersonic_expand1_job_status.csv,missing_alpha_mach_or_ci
assets/classic_supersonic/shooting/backups_20260630_112328/supersonic_reference_core_local_modal.csv,excluded_by_path
assets/classic_supersonic/shooting/backups_20260630_112328/supersonic_reference_core_local_modal_fields.csv,excluded_by_path
assets/classic_supersonic/shooting/backups_20260630_112328/supersonic_reference_core_local_spectral.csv,excluded_by_path
assets/classic_supersonic/shooting/backups_20260630_112616/supersonic_reference_core_local_modal.csv,excluded_by_path
assets/classic_supersonic/shooting/backups_20260630_112616/supersonic_reference_core_local_modal_fields.csv,excluded_by_path
assets/classic_supersonic/shooting/backups_20260630_112616/supersonic_reference_core_local_spectral.csv,excluded_by_path
assets/classic_supersonic/shooting/backups_20260630_112622/supersonic_reference_core_local_modal.csv,excluded_by_path
assets/classic_supersonic/shooting/backups_20260630_112622/supersonic_reference_core_local_modal_fields.csv,excluded_by_path
assets/classic_supersonic/shooting/backups_20260630_112622/supersonic_reference_core_local_spectral.csv,excluded_by_path
assets/classic_supersonic/shooting/backups_20260630_113009/supersonic_reference_core_local_modal.csv,excluded_by_path
assets/classic_supersonic/shooting/backups_20260630_113009/supersonic_reference_core_local_modal_fields.csv,excluded_by_path
assets/classic_supersonic/shooting/backups_20260630_113009/supersonic_reference_core_local_spectral.csv,excluded_by_path
assets/classic_supersonic/shooting/experiment_mode_validation_a018_m133/localtest_supersonic_shooting_mode_structure_a018_m133_yfac6_profiles.csv,excluded_by_path
assets/classic_supersonic/shooting/experiment_mode_validation_a018_m133/localtest_supersonic_shooting_multistart_a018_m133_yfac6_profiles.csv,excluded_by_path
assets/classic_supersonic/shooting/experiment_mode_validation_a018_m133/localtest_supersonic_shooting_visual_validation_a018_m133_yfac6_fields.csv,missing_alpha_mach_or_ci
assets/classic_supersonic/shooting/frozen_sparse_supersonic_expand1_20260629_094401/sparse_supersonic_expand1_job_status.csv,missing_alpha_mach_or_ci
assets/classic_supersonic/shooting/frozen_sparse_supersonic_expand1_20260629_094433/sparse_supersonic_expand1_job_status.csv,missing_alpha_mach_or_ci
assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields.csv,excluded_by_path
assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields_M140_branch_guided.csv,excluded_by_path
assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_continuation_core_fields.csv,missing_alpha_mach_or_ci
assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_spectral_continuation_core_fields.csv,missing_alpha_mach_or_ci
assets/classic_supersonic/shooting/supersonic_shooting_core_band_M10_fields.csv,missing_alpha_mach_or_ci
assets/classic_supersonic/shooting/supersonic_shooting_core_band_M11_fields.csv,missing_alpha_mach_or_ci
assets/classic_supersonic/shooting/supersonic_shooting_core_band_M12_fields.csv,missing_alpha_mach_or_ci
assets/classic_supersonic/shooting/supersonic_shooting_core_band_M13_fields.csv,missing_alpha_mach_or_ci
assets/classic_supersonic/shooting/supersonic_shooting_core_band_M140_boxrobust_fields.csv,missing_alpha_mach_or_ci
assets/classic_supersonic/shooting/supersonic_shooting_core_band_M14_fields.csv,missing_alpha_mach_or_ci
assets/classic_supersonic/shooting/supersonic_shooting_core_band_M15_fields.csv,missing_alpha_mach_or_ci
assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_fields.csv,missing_alpha_mach_or_ci
assets/classic_supersonic/shooting/supersonic_shooting_core_band_M17_fields.csv,missing_alpha_mach_or_ci
assets/classic_supersonic/shooting/supersonic_shooting_core_band_M17_manual_fields.csv,missing_alpha_mach_or_ci
assets/classic_supersonic/shooting/supersonic_shooting_core_band_M18_fields.csv,missing_alpha_mach_or_ci
assets/classic_supersonic/shooting/supersonic_shooting_core_band_M18_lowbranch_a0100_a0125_boxrobust_fields.csv,missing_alpha_mach_or_ci
assets/classic_supersonic/shooting/supersonic_shooting_core_band_M18_lowbranch_a0150_a0175_boxrobust_fields.csv,missing_alpha_mach_or_ci
assets/classic_supersonic/shooting/supersonic_shooting_core_band_M18_lowbranch_a0200_a0225_boxrobust_fields.csv,missing_alpha_mach_or_ci
assets/classic_supersonic/shooting/supersonic_shooting_core_band_M18_lowbranch_a0250_a0275_boxrobust_fields.csv,missing_alpha_mach_or_ci
assets/classic_supersonic/shooting/supersonic_shooting_core_band_M18_lowbranch_a0300_boxrobust_fields.csv,missing_alpha_mach_or_ci
assets/classic_supersonic/shooting/supersonic_shooting_intermediate_mach_spectral_M140_fields.csv,missing_alpha_mach_or_ci
assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M140_M150_branch_guided_fields.csv,missing_alpha_mach_or_ci
assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M140_M150_branch_guided_frontiers.csv,missing_alpha_mach_or_ci
assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M15_fields.csv,missing_alpha_mach_or_ci
assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M15_frontiers.csv,missing_alpha_mach_or_ci
assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_fields.csv,missing_alpha_mach_or_ci
assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_frontiers.csv,missing_alpha_mach_or_ci
assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_fields.csv,missing_alpha_mach_or_ci
