oracle_status,oracle_error,oracle_source,oracle_alpha_set,Mach,alpha,is_anchor,oracle_cr_reference,oracle_ci_reference,oracle_cr_used,oracle_ci_used,oracle_cr_abs_error,oracle_ci_abs_error,oracle_complex_spectral_error,oracle_ln_p_start_right,oracle_stage1_mismatch,oracle_stage2_mismatch,oracle_stage1_seconds,oracle_stage2_seconds,oracle_reconstruction_seconds,oracle_fixed_c_total_seconds,oracle_alignment_real,oracle_alignment_imag,oracle_shooting_y_min,oracle_shooting_y_max,oracle_n_shooting_points,oracle_n_core20,oracle_n_core40,oracle_p_rel_l2_core20,oracle_p_rel_l2_core40,oracle_rho_rel_l2_core20,oracle_rho_rel_l2_core40,oracle_u_rel_l2_core20,oracle_u_rel_l2_core40,oracle_v_rel_l2_core20,oracle_v_rel_l2_core40,oracle_p_overlap_error_core20,oracle_p_overlap_error_core40,fixed_pinn_status,fixed_pinn_error,fixed_pinn_source,fixed_pinn_alpha_set,fixed_pinn_cr_reference,fixed_pinn_ci_reference,fixed_pinn_cr_used,fixed_pinn_ci_used,fixed_pinn_cr_abs_error,fixed_pinn_ci_abs_error,fixed_pinn_complex_spectral_error,fixed_pinn_ln_p_start_right,fixed_pinn_stage1_mismatch,fixed_pinn_stage2_mismatch,fixed_pinn_stage1_seconds,fixed_pinn_stage2_seconds,fixed_pinn_reconstruction_seconds,fixed_pinn_fixed_c_total_seconds,fixed_pinn_alignment_real,fixed_pinn_alignment_imag,fixed_pinn_shooting_y_min,fixed_pinn_shooting_y_max,fixed_pinn_n_shooting_points,fixed_pinn_n_core20,fixed_pinn_n_core40,fixed_pinn_p_rel_l2_core20,fixed_pinn_p_rel_l2_core40,fixed_pinn_rho_rel_l2_core20,fixed_pinn_rho_rel_l2_core40,fixed_pinn_u_rel_l2_core20,fixed_pinn_u_rel_l2_core40,fixed_pinn_v_rel_l2_core20,fixed_pinn_v_rel_l2_core40,fixed_pinn_p_overlap_error_core20,fixed_pinn_p_overlap_error_core40,pinn_only_p_rel_l2_core20,pinn_only_p_rel_l2_core40,pinn_only_overlap_error_core20,pinn_only_overlap_error_core40,fixed_c_pinn_pressure_gain
COMPLETED,,oracle,all,1.5,0.05,False,0.2867884838082837,0.0578781158051297,0.2867884838082837,0.0578781158051297,0.0,0.0,0.0,-11.899475101899288,,1.6556645224221317e-20,,1.273916105972603,0.2191238270606845,1.4930399330332875,2.2499943429455747,0.0054891334904653,-1199.9999999999932,1199.9999999999932,4517,1601,3201,1.1610482923078751e-06,1.5036446213879466e-05,1.1610482923126966e-06,1.5036446213879844e-05,2.350247710333537e-06,4.410237774365298e-06,1.3273795725174982e-06,1.860321086972229e-05,6.739053759474699e-13,9.737677331145278e-11,COMPLETED,,pinn,all,0.2867884838082837,0.0578781158051297,0.2957833111286163,0.0786194950342178,0.0089948273203325,0.0207413792290881,0.022607780316684,-14.094592198363596,,1.746637417164766e-19,,1.2117742905393245,0.2166773490607738,1.428451639600098,2.3011006263924094,-0.0033358106954555,-1199.9999999999932,1199.9999999999932,4517,1601,3201,0.017931704137136,0.0404779440675697,0.017931704137136,0.0404779440675697,0.0342998717132555,0.0365582481645759,0.059886747810217,0.0573309057776443,0.000160785932689,0.0006132418263794,0.2609747180616911,0.4098332115657165,0.0346543642132002,0.0633587205661067,10.12485245993678
COMPLETED,,oracle,all,1.5,0.055,False,0.2927446492549135,0.0583866509164055,0.2927446492549135,0.0583866509164055,0.0,0.0,0.0,-13.166910492405652,,1.2086669676805237e-20,,1.261487428797409,0.2168247678782791,1.478312196675688,2.2499942923314884,0.0056061307774159,-1199.9999999999932,1199.9999999999932,4517,1601,3201,1.3970105243646604e-06,1.8378252810071935e-05,1.3970105243713515e-06,1.8378252810078057e-05,2.567875414200061e-06,5.5222033832360295e-06,1.615305508174691e-06,2.272207749276803e-05,9.753309271331998e-13,1.4564516259696347e-10,COMPLETED,,pinn,all,0.2927446492549135,0.0583866509164055,0.2979477047920227,0.0729695335030555,0.0052030555371092,0.01458288258665,0.0154832894262899,-14.834704351552787,,1.2054633041035738e-21,,2.020590541884303,0.2052223281934857,2.225812870077789,2.288968379822641,0.0020109740786553,-1199.9999999999932,1199.9999999999932,4517,1601,3201,0.0137643802249715,0.0307256224062554,0.0137643802249715,0.0307256224062555,0.0250601495573703,0.0271489999768219,0.042669419688652,0.0411884234650025,9.473356871325668e-05,0.0003566749882181,0.250626928632738,0.4026418907933631,0.0319162522570061,0.0567702543707404,13.10443399549783
COMPLETED,,oracle,all,1.5,0.06,False,0.2983284136239438,0.0586268857628369,0.2983284136239438,0.0586268857628369,0.0,0.0,0.0,-14.5273811127624,,3.3711007240130803e-20,,1.6914711249992251,0.2175189179833978,1.908990042982623,2.2499943426077005,0.0056822945110204,-1199.9999999999932,1199.9999999999932,4517,1601,3201,1.658762941023229e-06,2.2083422710617596e-05,1.658762941032329e-06,2.2083422710623424e-05,2.794052843815695e-06,6.837895360427658e-06,1.934719287469807e-06,2.7267065228638105e-05,1.3754553052081064e-12,2.104642016220737e-10,COMPLETED,,pinn,all,0.2983284136239438,0.0586268857628369,0.300868272781372,0.0676501616835594,0.0025398591574282,0.0090232759207225,0.0093739208915513,-14.99999335625205,,0.3941604269519004,,6.43603840470314,0.2080773115158081,6.644115716218948,2.275889426333461,0.00541569741,-1199.9999999999932,1199.9999999999932,4517,1601,3201,0.009272851832363,0.0204614246498257,0.009272851832363,0.0204614246498257,0.0161464822265485,0.0178017759438685,0.0268937701970301,0.0261555056663669,4.29938147864517e-05,0.0001596294073511,0.2453042982033124,0.4078973175135603,0.0305538688080806,0.0555998333753142,19.93494218971869
COMPLETED,,oracle,all,1.5,0.065,False,0.3035789845194382,0.0586404622091123,0.3035789845194382,0.0586404622091123,0.0,0.0,0.0,-14.99999335625205,,0.9599837609051186,,6.4479431989602745,0.2105764960870146,6.658519695047289,2.2499946810461995,0.0057197885404892,-1199.9999999999932,1199.9999999999932,4517,1601,3201,1.9468769144660776e-06,2.6159454266756188e-05,1.9468769144749613e-06,2.615945426675599e-05,3.0285796054040954e-06,8.365751883645541e-06,2.285856880612961e-06,3.223953634387324e-05,1.8951507030351426e-12,2.954749778183441e-10,COMPLETED,,pinn,all,0.3035789845194382,0.0586404622091123,0.304440975189209,0.0627855658531189,0.0008619906697707,0.0041451036440065,0.0042337822492812,-14.99999335625205,,2.282318273664236,,6.522668363526464,0.2184385545551777,6.741106918081641,2.262648158902971,0.0066523402386966,-1199.9999999999932,1199.9999999999932,4517,1601,3201,0.0046309316488504,0.0100968561110911,0.0046309316488504,0.0100968561110911,0.0077411775121585,0.0086927318152869,0.0126457540028147,0.0123823775592348,1.0722821457642697e-05,3.922300458292227e-05,0.244956790116013,0.4235837393180029,0.0304660031870677,0.0593066236194197,41.9520427603904
COMPLETED,,oracle,all,1.5,0.07,True,0.3085296796468241,0.0584602672387943,0.3085296796468241,0.0584602672387943,0.0,0.0,0.0,-14.99999335625205,,6.366514998073162,,6.407933623995632,0.2089857079554349,6.616919331951067,2.2499948029497343,0.0057278406185314,-1199.9999999999932,1199.9999999999932,4517,1601,3201,2.261845036337671e-06,3.061420653206056e-05,2.261845036342125e-06,3.061420653206304e-05,3.272041527947381e-06,1.01143513437419e-05,2.668849865287354e-06,3.7640999089962304e-05,2.5575097595265106e-12,4.0476755280849375e-10,COMPLETED,,pinn,all,0.3085296796468241,0.0584602672387943,0.3085286617279053,0.0584585107862949,1.0179189188219695e-06,1.7564524993976538e-06,2.030094654920295e-06,-14.99999335625205,,6.364753666823408,,6.360924708656967,0.2072672555223107,6.568191964179277,2.249988424539874,0.0057293439956371,-1199.9999999999932,1199.9999999999932,4517,1601,3201,3.180773362682346e-06,2.9657288904885757e-05,3.1807733626906934e-06,2.965728890488119e-05,4.322311598187354e-06,1.0227405836791236e-05,6.5996133538294985e-06,3.660918790194226e-05,5.058398144797138e-12,3.989250041414039e-10,0.2492296978979562,0.4470449595515629,0.0315555990736001,0.067314365120367,15073.696081435026
COMPLETED,,oracle,all,1.5,0.075,False,0.3132090515913153,0.0581127147885543,0.3132090515913153,0.0581127147885543,0.0,0.0,0.0,-14.99999335625205,,17.279278994724052,,6.730868618004024,0.2189897419884801,6.949858359992504,2.249995316971988,0.0057044748473194,-1199.9999999999932,1199.9999999999932,4517,1601,3201,2.604306161589105e-06,3.545601892492101e-05,2.6043061615929e-06,3.545601892493559e-05,3.525178698907737e-06,1.209245568721144e-05,3.083980964533548e-06,4.3473391229009125e-05,3.391065206415078e-12,5.429039440230099e-10,COMPLETED,,pinn,all,0.3132090515913153,0.0581127147885543,0.3129734098911285,0.0547120906412601,0.0002356417001868,0.0034006241472942,0.0034087786085381,-14.99999335625205,,13.714952864442816,,6.398065241985023,0.2079348359256982,6.606000077910721,2.238564140711623,0.0028935355326428,-1199.9999999999932,1199.9999999999932,4517,1601,3201,0.0044766001423811,0.0094705567992195,0.0044766001423811,0.0094705567992195,0.0069565922073095,0.0081013561040936,0.0109940538963074,0.0108474161389901,1.0020024617807266e-05,3.526560156774661e-05,0.2575310399846875,0.4756620437077942,0.0337299738456106,0.0790260177311078,50.22535145420332
COMPLETED,,oracle,all,1.5,0.08,False,0.3176417654238463,0.0576193324262716,0.3176417654238463,0.0576193324262716,0.0,0.0,0.0,-14.99999335625205,,34.574948559164966,,6.784556148806587,0.2204176941886544,7.004973842995241,2.2499957793807632,0.0056556241451798,-1199.9999999999932,1199.9999999999932,4517,1601,3201,2.974811285401392e-06,4.069382575138594e-05,2.974811285409665e-06,4.0693825751392345e-05,3.789615025576736e-06,1.4309421429283472e-05,3.5314114231659056e-06,4.973932753794975e-05,4.424682842341099e-12,7.14964976111787e-10,COMPLETED,,pinn,all,0.3176417654238463,0.0576193324262716,0.3176110684871673,0.0515554435551166,3.069693667900886e-05,0.0060638888711549,0.0060639665684796,-14.99999335625205,,25.878778599493096,,6.839899466373026,0.2215766357257962,7.061476102098823,2.228895664304924,-0.0013831003820939,-1199.9999999999932,1199.9999999999932,4517,1601,3201,0.0086454830216182,0.0180121298583587,0.0086454830216182,0.0180121298583587,0.0130027027334424,0.0154064293519565,0.0202422956992198,0.0200735558506513,3.73728867050227e-05,0.0001288942678926,0.2691460089995484,0.5072406763754794,0.0369006147652182,0.0938366340754839,28.161060372329572
COMPLETED,,oracle,all,1.5,0.085,False,0.3218492869365933,0.0569978921594081,0.3218492869365933,0.0569978921594081,0.0,0.0,0.0,-14.99999335625205,,56.63659508935248,,6.866311959922314,0.2231521620415151,7.089464121963829,2.249996354967587,0.0055842166903998,-1188.7179660695783,1188.7179660695783,4517,1601,3201,3.3748190786099923e-06,4.636198362807648e-05,3.374819078618215e-06,4.636198362808599e-05,4.068271691051049e-06,1.6783864058279182e-05,4.010906644568322e-06,5.647240789911687e-05,5.694777982512278e-12,9.276489576492963e-10,COMPLETED,,pinn,all,0.3218492869365933,0.0569978921594081,0.3222862482070923,0.0489712990820407,0.0004369612704989,0.0080265930773674,0.0080384781881621,-14.99999335625205,,44.875775015925385,,6.955094337463379,0.2270570341497659,7.182151371613145,2.2213390324276587,-0.0064884329877706,-1199.9999999999932,1199.9999999999932,4517,1601,3201,0.0123563505754853,0.0253170878482449,0.0123563505754853,0.0253170878482449,0.0180283296488299,0.0217007373338748,0.0276547721853274,0.0275715602695152,7.63426138695733e-05,0.0002574139653948,0.2833458663053722,0.5401110805684428,0.0409822107762242,0.1111434178688526,21.333854975973704
COMPLETED,,oracle,all,1.5,0.09,False,0.3258504254289729,0.0562632320216114,0.3258504254289729,0.0562632320216114,0.0,0.0,0.0,-14.99999335625205,,73.74439308510458,,6.900237185880542,0.2246803359594196,7.124917521839961,2.249997462042799,0.0054929137977074,-1138.4861539673102,1138.4861539673102,4517,1601,3201,3.812399737175576e-06,5.26706086571545e-05,3.812399737181797e-06,5.267060865715728e-05,4.365024832512907e-06,1.9598426593960587e-05,4.5337543584750935e-06,6.391957784950244e-05,7.267186852288887e-12,1.197386079176965e-09,COMPLETED,,pinn,all,0.3258504254289729,0.0562632320216114,0.3268648684024811,0.0469239465892314,0.0010144429735081,0.00933928543238,0.0093942188038157,-14.99999335625205,,73.06489503197791,,6.493236508220434,0.2104985797777772,6.703735087998211,2.21606590103242,-0.011722331826121,-1199.9999999999932,1199.9999999999932,4517,1601,3201,0.0154542416195566,0.031113693032641,0.0154542416195566,0.031113693032641,0.0219273861172111,0.0267624459307654,0.0331347982057621,0.0332580908376993,0.0001194239230545,0.0003929698391096,0.2994591834218631,0.5730711407438424,0.0458908880718563,0.1303525574492419,18.418615242576326
COMPLETED,,oracle,all,1.5,0.095,False,0.3296617663816018,0.0554278666161298,0.3296617663816018,0.0554278666161298,0.0,0.0,0.0,-14.99999335625205,,94.22059616583635,,6.943861661013216,0.2252080170437693,7.169069678056985,2.249997743108384,0.0053840072020113,-1095.8613607098005,1095.8613607098005,4517,1601,3201,4.268342819268556e-06,5.938476760381604e-05,4.268342819273388e-06,5.938476760381794e-05,4.6833405164767175e-06,2.2682316432513348e-05,5.070097755537051e-06,7.178538206311498e-05,9.109490939351872e-12,1.5213630355503938e-09,COMPLETED,,pinn,all,0.3296617663816018,0.0554278666161298,0.331242561340332,0.0453667156398296,0.0015807949587302,0.0100611509763001,0.0101845800929372,-14.99999335625205,,112.84737510201748,,7.152720597572625,0.2317973226308822,7.384517920203507,2.2130643482763546,-0.0164120919054054,-1199.9999999999932,1199.9999999999932,4517,1601,3201,0.0177938020083158,0.0351876930328546,0.0177938020083158,0.0351876930328546,0.0246135486461931,0.0303940800617182,0.0366170017799979,0.0370798695753798,0.0001583222279192,0.0005077281413894,0.3169012145912184,0.6052779813106717,0.0515414504625885,0.1508824937346528,17.20141132143918
