seed,alpha,mach,ci_pinn,ci_target_input,mismatch_at_target_input,ci_target_refined,mismatch_target_refined,target_refinement_shift,target_search_lo,target_search_hi,mismatch_at_pinn,ci_local_root,mismatch_local_root,local_search_lo,local_search_hi,abs_pinn_minus_target,abs_local_minus_pinn,abs_local_minus_target,pinn_root_like,local_root_like,classification
1234,0.1,0.5,0.006501147,0.6704450642662936,6.192305700575246e-07,0.6704464106235799,5.33123751170693e-07,1.3463572863248174e-06,0.5698783046263496,0.7710118239062376,0.09703511636300846,0.056501147,0.09479525594757228,1e-06,0.056501147,0.6639452636235799,0.05,0.6139452636235799,False,False,no_local_root_like_minimum
2345,0.1,0.5,0.0069404137,0.6704450642662936,6.192305700575246e-07,0.6704464106235799,5.33123751170693e-07,1.3463572863248174e-06,0.5698783046263496,0.7710118239062376,0.09701874406297285,0.056940413700000005,0.09477218246250343,1e-06,0.056940413700000005,0.6635059969235799,0.05,0.6135059969235799,False,False,no_local_root_like_minimum
3456,0.1,0.5,0.007886564,0.6704450642662936,6.192305700575246e-07,0.6704464106235799,5.33123751170693e-07,1.3463572863248174e-06,0.5698783046263496,0.7710118239062376,0.09698328159958249,0.057886564,0.09472228056448531,1e-06,0.057886564,0.6625598466235799,0.05,0.6125598466235799,False,False,no_local_root_like_minimum
1234,0.1175,0.5,0.007427349,0.6482854483606396,4.217625051967947e-06,0.6483003958680049,3.5460692531788843e-07,1.4947507365303814e-05,0.5510426311065437,0.7455282656147355,0.11318425652085588,0.057427349,0.11019422802537884,1e-06,0.057427349,0.640873046868005,0.05,0.5908730468680049,False,False,no_local_root_like_minimum
2345,0.1175,0.5,0.0077166012,0.6482854483606396,4.217625051967947e-06,0.6483003958680049,3.5460692531788843e-07,1.4947507365303814e-05,0.5510426311065437,0.7455282656147355,0.1131694797078536,0.0577166012,0.11017434901870743,1e-06,0.0577166012,0.640583794668005,0.05,0.5905837946680049,False,False,no_local_root_like_minimum
3456,0.1175,0.5,0.008304896,0.6482854483606396,4.217625051967947e-06,0.6483003958680049,3.5460692531788843e-07,1.4947507365303814e-05,0.5510426311065437,0.7455282656147355,0.11313933631770069,0.058304896,0.11013382519065944,1e-06,0.058304896,0.639995499868005,0.05,0.5899954998680049,False,False,no_local_root_like_minimum
1234,0.135,0.5,0.008503799,0.6267443722321759,8.339412176922889e-07,0.6267420490580778,3.260676850882186e-07,2.3231740980955706e-06,0.5327327163973495,0.7207560280670023,0.12903078514324134,0.058503799,0.12518067535448268,1e-06,0.058503799,0.6182382500580779,0.05,0.5682382500580778,False,False,no_local_root_like_minimum
2345,0.135,0.5,0.008563944,0.6267443722321759,8.339412176922889e-07,0.6267420490580778,3.260676850882186e-07,2.3231740980955706e-06,0.5327327163973495,0.7207560280670023,0.12902675064172753,0.05856394400000001,0.12517543635729414,1e-06,0.05856394400000001,0.6181781050580778,0.05,0.5681781050580779,False,False,no_local_root_like_minimum
3456,0.135,0.5,0.008756359,0.6267443722321759,8.339412176922889e-07,0.6267420490580778,3.260676850882186e-07,2.3231740980955706e-06,0.5327327163973495,0.7207560280670023,0.1290138339955841,0.058756359,0.12515866584933885,1e-06,0.058756359,0.6179856900580778,0.05,0.5679856900580779,False,False,no_local_root_like_minimum
1234,0.1525,0.5,0.009668649,0.6057319337420416,1.8273219952086474e-06,0.6057358187968642,1.0630617721733223e-06,3.885054822627687e-06,0.5148721436807353,0.6965917238033479,0.14454512838704442,0.059668649000000004,0.1397261201747905,1e-06,0.059668649000000004,0.5960671697968642,0.05,0.5460671697968642,False,False,no_local_root_like_minimum
2345,0.1525,0.5,0.009464409,0.6057319337420416,1.8273219952086474e-06,0.6057358187968642,1.0630617721733223e-06,3.885054822627687e-06,0.5148721436807353,0.6965917238033479,0.14456253871208669,0.059464409,0.1397481051650551,1e-06,0.059464409,0.5962714097968642,0.05,0.5462714097968642,False,False,no_local_root_like_minimum
