Mach,alpha,ci,source
1.2,0.2,0.0032262224854852,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_nearest.csv
1.2,0.2,0.0029664932487128,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_nearest.csv
1.2,0.2,0.003261996939093,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_nearest.csv
1.2,0.2,0.0029280845458438,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_nearest.csv
1.2,0.2,0.0032974129889931,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_nearest.csv
1.2,0.2,0.0028893342167297,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_nearest.csv
1.2,0.2,0.0071034489794246,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0055576643155416,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0072068205830679,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0054236303242686,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.00730700549919,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0052862288379757,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0074036990219249,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0051448339764146,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0074965980960366,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0049986516880452,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0075854157597901,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0048466724292541,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0076698972543993,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0046876033609032,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0077498370156831,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0045197688656478,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0078250954745207,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0043409599565864,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0078956144142666,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.004148197661893,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0079614296435536,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0039373434595257,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0080226799877956,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0037024189322202,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0080796120418862,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0034343227653753,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0081325807237805,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0031181447284858,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.1953052741275775,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0081820462936895,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0027266167190686,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0082285690586019,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0021995957472034,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0082728033769107,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0013326465441524,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,5.565050125654355e-16,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0083154928002018,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,1.0578104327863356e-15,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0083574682655111,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,9.098057541405845e-13,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0083996512908043,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.001332646521743,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0084430642199667,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.002199595725924,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0084888499060919,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0027266167059399,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0085383039799489,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
1.2,0.2,0.0031181447186023,assets/blumen_gep/supersonic_raw_spectrum_vs_blumen_a020_m120_130_raw_modes.csv
