path,size_KiB,argparse_flags,mentions_anchor,mentions_riccati,mentions_seed
archive/repo_cleanup_2026-04-24/legacy_workspaces/subsonique_classique/code/classical_solver/subsonic/plot_subsonic_ci_map.py,3.212890625,--alpha-cut|--input-csv|--mach-cut|--output,False,False,False
archive/repo_cleanup_2026-04-24/legacy_workspaces/subsonique_classique/code/classical_solver/subsonic/plot_subsonic_error_map.py,2.4404296875,,False,False,False
archive/repo_cleanup_2026-04-24/legacy_workspaces/subsonique_classique/code/classical_solver/subsonic/reconstruct_blumen_subsonic_robust.py,8.921875,--alpha-max|--alpha-min|--force-cross-check|--mach-max|--mach-min|--num-alpha|--num-mach,False,False,False
archive/repo_cleanup_2026-04-24/legacy_workspaces/subsonique_classique/code/classical_solver/subsonic/robust_subsonic_shooting.py,6.58203125,--alpha|--force-cross-check|--mach,False,False,False
archive/repo_cleanup_2026-04-24/legacy_workspaces/subsonique_classique/code/classical_solver/subsonic/shooting_subsonic.py,13.7421875,,False,True,False
archive/repo_cleanup_2026-04-24/legacy_workspaces/subsonique_pinn/code/scripts/__init__.py,0.0,,False,False,False
archive/repo_cleanup_2026-04-24/legacy_workspaces/subsonique_pinn/code/scripts/plot_kh_subsonic_pinn_results.py,10.1142578125,--device|--mode-alpha|--n-y|--num-alpha|--run-dir,False,False,False
archive/repo_cleanup_2026-04-24/legacy_workspaces/subsonique_pinn/code/scripts/plot_kh_subsonic_pinn_results_2d.py,7.369140625,--device|--num-alpha|--num-mach|--run-dir|--top-k,False,False,False
archive/repo_cleanup_2026-04-24/legacy_workspaces/subsonique_pinn/code/scripts/train_kh_subsonic_pinn.py,6.376953125,--activation|--alpha-max|--alpha-min|--anchor-half-width|--anchor-max-candidates|--anchor-strategy|--audit-ci-weight|--audit-every|--audit-mode-weight|--checkpoint-every|--ci-depth|--classic-mapping-scale|--classic-n-points|--classic-xi-max|--device|--enforce-mode-symmetry|--epochs|--error-threshold|--focus-fraction|--focus-half-width|--fourier-features|--fourier-scale|--hidden-dim|--initial-ci|--learning-rate|--mach|--mapping-scale|--max-focus-points|--mode-center-fraction|--mode-center-half-width|--mode-depth|--mode-error-threshold|--mode-representation|--n-alpha-supervision|--n-anchor-alpha|--n-audit-alpha|--n-boundary|--n-interior|--n-mode-audit-alpha|--n-mode-audit-y|--n-norm-interior|--n-reference-alpha|--output-dir|--trainable-mapping-scale|--w-bc|--w-ci-supervision|--w-integral-norm|--w-norm|--w-pde|--w-phase,True,False,False
archive/repo_cleanup_2026-04-24/legacy_workspaces/subsonique_pinn/code/scripts/train_kh_subsonic_pinn_2d.py,5.0546875,--activation|--alpha-max|--alpha-min|--audit-every|--checkpoint-every|--ci-depth|--device|--epochs|--error-threshold|--focus-alpha-half-width|--focus-fraction|--focus-mach-half-width|--fourier-features|--fourier-scale|--hidden-dim|--initial-ci|--learning-rate|--low-alpha-band-width|--low-alpha-fraction|--mach-max|--mach-min|--mapping-scale|--max-focus-points|--mode-depth|--n-audit-alpha|--n-audit-mach|--n-boundary|--n-interior|--n-reference-alpha|--n-reference-mach|--n-supervision|--neutral-band-ratio|--neutral-fraction|--output-dir|--trainable-mapping-scale|--w-bc|--w-ci-supervision|--w-norm|--w-pde|--w-phase,False,False,False
archive/repo_cleanup_2026-04-24/legacy_workspaces/subsonique_pinn/code/src/__init__.py,0.0,,False,False,False
archive/repo_cleanup_2026-04-24/legacy_workspaces/subsonique_pinn/code/src/data/__init__.py,0.0,,False,False,False
archive/repo_cleanup_2026-04-24/legacy_workspaces/subsonique_pinn/code/src/data/kh_subsonic_sampling.py,13.56640625,,False,False,False
archive/repo_cleanup_2026-04-24/legacy_workspaces/subsonique_pinn/code/src/models/__init__.py,0.0,,False,False,False
archive/repo_cleanup_2026-04-24/legacy_workspaces/subsonique_pinn/code/src/models/kh_subsonic_pinn.py,8.3369140625,,False,False,False
archive/repo_cleanup_2026-04-24/legacy_workspaces/subsonique_pinn/code/src/physics/__init__.py,0.0,,False,False,False
archive/repo_cleanup_2026-04-24/legacy_workspaces/subsonique_pinn/code/src/physics/kh_subsonic_residual.py,5.515625,,False,False,False
archive/repo_cleanup_2026-04-24/legacy_workspaces/subsonique_pinn/code/src/training/__init__.py,0.0,,False,False,False
archive/repo_cleanup_2026-04-24/legacy_workspaces/subsonique_pinn/code/src/training/kh_subsonic_trainer.py,16.904296875,,True,False,False
archive/repo_cleanup_2026-04-24/legacy_workspaces/subsonique_pinn/code/src/training/kh_subsonic_trainer_2d.py,10.7041015625,,False,False,False
archive/repo_cleanup_2026-04-24/legacy_workspaces/supersonique_classique/code/classical_solver/gep/__init__.py,0.2607421875,,False,False,False
archive/repo_cleanup_2026-04-24/legacy_workspaces/supersonique_classique/code/classical_solver/gep/adaptive_continuation_sweep_gep.py,9.662109375,--alpha-max|--alpha-min|--ci-weight|--cubic-delta|--distance-tol|--mach|--mapping-kind|--mapping-scale|--n-values|--num-points|--output-stem|--previous-weight|--xi-max,True,False,False
archive/repo_cleanup_2026-04-24/legacy_workspaces/supersonique_classique/code/classical_solver/gep/dense_gep_notebook_style.py,14.3408203125,--alpha|--cr-window|--mach|--mapping-scale|--n-points|--target-ci|--target-cr|--xi-max,False,False,False
archive/repo_cleanup_2026-04-24/legacy_workspaces/supersonique_classique/code/classical_solver/gep/scan_gep_supersonic_local.py,10.69140625,--alpha-max|--alpha-min|--cr-window|--guide-with-shooting|--mach-max|--mach-min|--mapping-scale|--n-points|--num-alpha|--num-mach|--output-stem|--xi-max,True,False,False
archive/repo_cleanup_2026-04-24/legacy_workspaces/supersonique_classique/code/classical_solver/gep/scan_gep_validity_frontier.py,5.693359375,--alpha-max|--alpha-min|--ci-weight|--cubic-delta|--distance-tol|--mach-max|--mach-min|--mapping-kind|--mapping-scale|--n-values|--num-alpha|--num-mach|--output-stem|--previous-weight|--xi-max,True,False,False
archive/repo_cleanup_2026-04-24/legacy_workspaces/supersonique_classique/code/classical_solver/supersonic/mstab17_supersonic_solver.py,17.625,--alpha|--amplitude-match-y|--ci-max|--ci-min|--cr-max|--cr-min|--grid-size|--mach|--mapping-scale|--match-y|--max-iter|--output|--plot|--use-mapping,False,True,False
archive/repo_cleanup_2026-04-24/legacy_workspaces/supersonique_classique/code/classical_solver/supersonic/reconstruct_blumen_supersonic_shooting.py,5.9326171875,--alpha-max|--alpha-min|--ci-max|--cr-max|--mach-max|--mach-min|--num-alpha|--num-mach|--output-stem|--tracking-weight,True,False,True
archive/repo_cleanup_2026-04-24/legacy_workspaces/supersonique_classique/code/classical_solver/supersonic/shooting_supersonic.py,13.6943359375,,True,True,True
classic_supersonic/scripts/build/build_final_sparse_reference_v2_with_smallM_campaign.py,16.7646484375,,False,False,False
classic_supersonic/scripts/build/build_final_sparse_supersonic_reference_with_M18_M19.py,19.2265625,,False,False,False
classic_supersonic/scripts/build/build_supersonic_fixed_ci_shooting_anchors.py,5.466796875,--ci-datasets|--cr-datasets|--cr-max|--cr-min|--n-grid|--output,True,False,True
classic_supersonic/scripts/build/build_supersonic_fixed_ci_shooting_extension_final.py,7.1953125,--anchors|--eigen-output|--fields-output|--mapping-scale|--match-y|--max-y-limit|--min-y-limit|--y-limit-factor,True,False,False
classic_supersonic/scripts/build/freeze_supersonic_sparse_PINN_reference_v2.py,15.39453125,,False,False,False
classic_supersonic/scripts/build/freeze_supersonic_v2_assets_and_code.py,17.1318359375,,True,False,False
classic_supersonic/scripts/build/package_supersonic_sparse_reference_v2_final_freeze.py,18.7431640625,,True,False,False
classic_supersonic/scripts/build/polish_supersonic_v2_left_tails.py,12.3271484375,,False,False,False
