checkpoint_path,chart_id,size_MiB,load_status,architecture_input_dim,architecture_output_dim,hidden_linear_layers,n_anchors,field_family,mach_min,mach_max,eta_min,eta_max,ymax,width,depth,n_freq,epochs,lr,amp_mask_frac,ci_idw_eta_scale,ci_idw_mach_scale,ci_idw_power,output_dir,args_json
pinn_subsonic/models/ETAEDGE_HM1/model_state.pt,ETAEDGE_HM1,3.082185745239258,ok,27,4,7,25,pQscaled,0.68,0.86,0.02,0.06,700.0,256,7,12,45000,0.0002,0.05,0.25,0.25,4.0,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pQscaled2d_FULLRECT_ETAEDGE_HM1_ciIDW_EVALFIX,"{""amp_mask_frac"": 0.05, ""anchor_eta_values"": ""0.02,0.03,0.04,0.05,0.06"", ""anchor_mach_values"": ""0.68,0.725,0.77,0.815,0.86"", ""central_ymax"": 175.0, ""ci_idw_eta_scale"": 0.25, ""ci_idw_mach_scale"": 0.25, ""ci_idw_power"": 4.0, ""depth"": 7, ""device"": ""cuda"", ""epochs"": 45000, ""eta_max"": 0.06, ""eta_min"": 0.02, ""eval_eta_values"": ""0.025,0.035,0.045,0.055"", ""eval_mach_values"": ""0.7025,0.7475,0.7925,0.8375"", ""lr"": 0.0002, ""mach_max"": 0.86, ""mach_min"": 0.68, ""n_freq"": 12, ""n_sym"": 768, ""n_train"": 4096, ""n_y"": 5001, ""output_dir"": ""assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pQscaled2d_FULLRECT_ETAEDGE_HM1_ciIDW_EVALFIX"", ""sym_ymax"": 25.0, ""w_bc"": 30.0, ""w_compat"": 20.0, ""w_gauge"": 100.0, ""w_ode"": 1.0, ""w_parity"": 0.2, ""w_q_center"": 2.0, ""width"": 256, ""ymax"": 700.0}"
pinn_subsonic/models/ETAEDGE_HM2A/model_state.pt,ETAEDGE_HM2A,3.082185745239258,ok,27,4,7,25,pQscaled,0.84,0.93,0.02,0.06,900.0,256,7,12,45000,0.0002,0.05,0.25,0.25,4.0,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pQscaled2d_FULLRECT_ETAEDGE_HM2A_ciIDW_EVALFIX,"{""amp_mask_frac"": 0.05, ""anchor_eta_values"": ""0.02,0.03,0.04,0.05,0.06"", ""anchor_mach_values"": ""0.84,0.8625,0.885,0.9075,0.93"", ""central_ymax"": 225.0, ""ci_idw_eta_scale"": 0.25, ""ci_idw_mach_scale"": 0.25, ""ci_idw_power"": 4.0, ""depth"": 7, ""device"": ""cuda"", ""epochs"": 45000, ""eta_max"": 0.06, ""eta_min"": 0.02, ""eval_eta_values"": ""0.025,0.035,0.045,0.055"", ""eval_mach_values"": ""0.85125,0.87375,0.89625,0.91875"", ""lr"": 0.0002, ""mach_max"": 0.93, ""mach_min"": 0.84, ""n_freq"": 12, ""n_sym"": 768, ""n_train"": 4096, ""n_y"": 5001, ""output_dir"": ""assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pQscaled2d_FULLRECT_ETAEDGE_HM2A_ciIDW_EVALFIX"", ""sym_ymax"": 25.0, ""w_bc"": 30.0, ""w_compat"": 20.0, ""w_gauge"": 100.0, ""w_ode"": 1.0, ""w_parity"": 0.2, ""w_q_center"": 2.0, ""width"": 256, ""ymax"": 900.0}"
pinn_subsonic/models/ETAEDGE_HM2B/model_state.pt,ETAEDGE_HM2B,3.082185745239258,ok,27,4,7,25,pQscaled,0.92,0.98,0.02,0.06,1600.0,256,7,12,45000,0.0002,0.05,0.25,0.25,4.0,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pQscaled2d_FULLRECT_ETAEDGE_HM2B_ciIDW_EVALFIX,"{""amp_mask_frac"": 0.05, ""anchor_eta_values"": ""0.02,0.03,0.04,0.05,0.06"", ""anchor_mach_values"": ""0.92,0.935,0.95,0.965,0.98"", ""central_ymax"": 400.0, ""ci_idw_eta_scale"": 0.25, ""ci_idw_mach_scale"": 0.25, ""ci_idw_power"": 4.0, ""depth"": 7, ""device"": ""cuda"", ""epochs"": 45000, ""eta_max"": 0.06, ""eta_min"": 0.02, ""eval_eta_values"": ""0.025,0.035,0.045,0.055"", ""eval_mach_values"": ""0.9275,0.9425,0.9575,0.9725"", ""lr"": 0.0002, ""mach_max"": 0.98, ""mach_min"": 0.92, ""n_freq"": 12, ""n_sym"": 768, ""n_train"": 4096, ""n_y"": 5001, ""output_dir"": ""assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pQscaled2d_FULLRECT_ETAEDGE_HM2B_ciIDW_EVALFIX"", ""sym_ymax"": 25.0, ""w_bc"": 30.0, ""w_compat"": 20.0, ""w_gauge"": 100.0, ""w_ode"": 1.0, ""w_parity"": 0.2, ""w_q_center"": 2.0, ""width"": 256, ""ymax"": 1600.0}"
pinn_subsonic/models/ETAEDGE_LM/model_state.pt,ETAEDGE_LM,3.082185745239258,ok,27,4,7,25,pQscaled,0.05,0.35,0.02,0.06,350.0,256,7,12,45000,0.0002,0.05,0.25,0.25,4.0,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pQscaled2d_FULLRECT_ETAEDGE_LM_ciIDW_EVALFIX,"{""amp_mask_frac"": 0.05, ""anchor_eta_values"": ""0.02,0.03,0.04,0.05,0.06"", ""anchor_mach_values"": ""0.05,0.125,0.20,0.275,0.35"", ""central_ymax"": 90.0, ""ci_idw_eta_scale"": 0.25, ""ci_idw_mach_scale"": 0.25, ""ci_idw_power"": 4.0, ""depth"": 7, ""device"": ""cuda"", ""epochs"": 45000, ""eta_max"": 0.06, ""eta_min"": 0.02, ""eval_eta_values"": ""0.025,0.035,0.045,0.055"", ""eval_mach_values"": ""0.0875,0.1625,0.2375,0.3125"", ""lr"": 0.0002, ""mach_max"": 0.35, ""mach_min"": 0.05, ""n_freq"": 12, ""n_sym"": 768, ""n_train"": 4096, ""n_y"": 5001, ""output_dir"": ""assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pQscaled2d_FULLRECT_ETAEDGE_LM_ciIDW_EVALFIX"", ""sym_ymax"": 25.0, ""w_bc"": 30.0, ""w_compat"": 20.0, ""w_gauge"": 100.0, ""w_ode"": 1.0, ""w_parity"": 0.2, ""w_q_center"": 2.0, ""width"": 256, ""ymax"": 350.0}"
pinn_subsonic/models/ETAEDGE_MM/model_state.pt,ETAEDGE_MM,3.082124710083008,ok,27,4,7,25,pQscaled,0.3,0.7,0.02,0.06,450.0,256,7,12,45000,0.0002,0.05,0.25,0.25,4.0,assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pQscaled2d_FULLRECT_ETAEDGE_MM_ciIDW_EVALFIX,"{""amp_mask_frac"": 0.05, ""anchor_eta_values"": ""0.02,0.03,0.04,0.05,0.06"", ""anchor_mach_values"": ""0.30,0.40,0.50,0.60,0.70"", ""central_ymax"": 110.0, ""ci_idw_eta_scale"": 0.25, ""ci_idw_mach_scale"": 0.25, ""ci_idw_power"": 4.0, ""depth"": 7, ""device"": ""cuda"", ""epochs"": 45000, ""eta_max"": 0.06, ""eta_min"": 0.02, ""eval_eta_values"": ""0.025,0.035,0.045,0.055"", ""eval_mach_values"": ""0.35,0.45,0.55,0.65"", ""lr"": 0.0002, ""mach_max"": 0.7, ""mach_min"": 0.3, ""n_freq"": 12, ""n_sym"": 768, ""n_train"": 4096, ""n_y"": 5001, ""output_dir"": ""assets/pinn_subsonic/local_atlas_ext_fullrect_M002_098_eta002_098/seedGEP_pQscaled2d_FULLRECT_ETAEDGE_MM_ciIDW_EVALFIX"", ""sym_ymax"": 25.0, ""w_bc"": 30.0, ""w_compat"": 20.0, ""w_gauge"": 100.0, ""w_ode"": 1.0, ""w_parity"": 0.2, ""w_q_center"": 2.0, ""width"": 256, ""ymax"": 450.0}"
pinn_subsonic/models/HIGH_HIM/model_state.pt,HIGH_HIM,3.082490921020508,ok,27,4,7,32,pq_or_unspecified,0.35,0.7,0.5,0.65,80.0,256,7,12,18000,0.0002,0.05,0.08,0.1,4.0,assets/pinn_subsonic/seedGEP_pq2d_REPAIR_HIGH_HIM_M0.35_0.70_eta0.50_0.65_ciIDW,"{""amp_mask_frac"": 0.05, ""anchor_eta_values"": ""0.50 0.55 0.60 0.65"", ""anchor_mach_values"": ""0.35 0.40 0.45 0.50 0.55 0.60 0.65 0.70"", ""central_ymax"": 20.0, ""ci_idw_eta_scale"": 0.08, ""ci_idw_mach_scale"": 0.1, ""ci_idw_power"": 4.0, ""depth"": 7, ""device"": ""cuda"", ""epochs"": 18000, ""eta_max"": 0.65, ""eta_min"": 0.5, ""eval_eta_values"": ""0.525 0.575 0.625"", ""eval_mach_values"": ""0.35 0.40 0.45 0.50 0.55 0.60 0.65 0.70"", ""lr"": 0.0002, ""mach_max"": 0.7, ""mach_min"": 0.35, ""n_freq"": 12, ""n_sym"": 768, ""n_train"": 4096, ""n_y"": 5001, ""output_dir"": ""assets/pinn_subsonic/seedGEP_pq2d_REPAIR_HIGH_HIM_M0.35_0.70_eta0.50_0.65_ciIDW"", ""sym_ymax"": 20.0, ""w_bc"": 30.0, ""w_compat"": 40.0, ""w_gauge"": 100.0, ""w_ode"": 1.0, ""w_parity"": 0.4, ""w_q_center"": 2.0, ""width"": 256, ""ymax"": 80.0}"
pinn_subsonic/models/HIGH_LOWM_COMPACTY/model_state.pt,HIGH_LOWM_COMPACTY,5.582796096801758,ok,31,4,8,35,pq_or_unspecified,0.1,0.4,0.55,0.65,30.0,320,8,14,22000,0.0002,0.05,0.06,0.08,4.0,assets/pinn_subsonic/seedGEP_pq2d_REPAIR_HIGH_LOWM_compactY_M010_040_eta055_065_ciIDW,"{""amp_mask_frac"": 0.05, ""anchor_eta_values"": ""0.55 0.575 0.60 0.625 0.65"", ""anchor_mach_values"": ""0.10 0.15 0.20 0.25 0.30 0.35 0.40"", ""central_ymax"": 8.0, ""ci_idw_eta_scale"": 0.06, ""ci_idw_mach_scale"": 0.08, ""ci_idw_power"": 4.0, ""depth"": 8, ""device"": ""cuda"", ""epochs"": 22000, ""eta_max"": 0.65, ""eta_min"": 0.55, ""eval_eta_values"": ""0.5625 0.5875 0.6125 0.6375"", ""eval_mach_values"": ""0.10 0.15 0.20 0.25 0.30 0.35 0.40"", ""lr"": 0.0002, ""mach_max"": 0.4, ""mach_min"": 0.1, ""n_freq"": 14, ""n_sym"": 1024, ""n_train"": 6144, ""n_y"": 5001, ""output_dir"": ""assets/pinn_subsonic/seedGEP_pq2d_REPAIR_HIGH_LOWM_compactY_M010_040_eta055_065_ciIDW"", ""sym_ymax"": 8.0, ""w_bc"": 50.0, ""w_compat"": 50.0, ""w_gauge"": 100.0, ""w_ode"": 1.0, ""w_parity"": 0.5, ""w_q_center"": 2.0, ""width"": 320, ""ymax"": 30.0}"
pinn_subsonic/models/HM1_HIGH/model_state.pt,HM1_HIGH,3.089693069458008,ok,31,4,7,20,pq_or_unspecified,0.7,0.85,0.55,0.65,60.0,256,7,12,25000,0.0002,0.05,0.25,0.25,4.0,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pq2d_ATLAS_HM1_HIGH_M0.70_0.85_eta0.55_0.65_ciIDW_EVALFIX,"{""amp_mask_frac"": 0.05, ""anchor_eta_values"": ""0.55,0.575,0.60,0.625,0.65"", ""anchor_mach_values"": ""0.70,0.75,0.80,0.85"", ""central_ymax"": 16.0, ""ci_idw_eta_scale"": 0.25, ""ci_idw_mach_scale"": 0.25, ""ci_idw_power"": 4.0, ""depth"": 7, ""device"": ""cuda"", ""epochs"": 25000, ""eta_max"": 0.65, ""eta_min"": 0.55, ""eval_eta_values"": ""0.575,0.600,0.625"", ""eval_mach_values"": ""0.71,0.75,0.80,0.84"", ""lr"": 0.0002, ""mach_max"": 0.85, ""mach_min"": 0.7, ""n_freq"": 12, ""n_sym"": 768, ""n_train"": 4096, ""n_y"": 5001, ""output_dir"": ""assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pq2d_ATLAS_HM1_HIGH_M0.70_0.85_eta0.55_0.65_ciIDW_EVALFIX"", ""sym_ymax"": 25.0, ""w_bc"": 30.0, ""w_compat"": 20.0, ""w_gauge"": 100.0, ""w_ode"": 1.0, ""w_parity"": 0.2, ""w_q_center"": 2.0, ""width"": 256, ""ymax"": 60.0}"
pinn_subsonic/models/HM1_LOW/model_state.pt,HM1_LOW,3.089509963989258,ok,31,4,7,16,pq_or_unspecified,0.7,0.85,0.25,0.4,80.0,256,7,12,25000,0.0002,0.05,0.25,0.25,4.0,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pq2d_ATLAS_HM1_LOW_M0.70_0.85_eta0.25_0.40_ciIDW,"{""amp_mask_frac"": 0.05, ""anchor_eta_values"": ""0.25,0.30,0.35,0.40"", ""anchor_mach_values"": ""0.70,0.75,0.80,0.85"", ""central_ymax"": 20.0, ""ci_idw_eta_scale"": 0.25, ""ci_idw_mach_scale"": 0.25, ""ci_idw_power"": 4.0, ""depth"": 7, ""device"": ""cuda"", ""epochs"": 25000, ""eta_max"": 0.4, ""eta_min"": 0.25, ""eval_eta_values"": ""0.25 0.45 0.65 0.80"", ""eval_mach_values"": ""0.1 0.3 0.5 0.7 0.9"", ""lr"": 0.0002, ""mach_max"": 0.85, ""mach_min"": 0.7, ""n_freq"": 12, ""n_sym"": 768, ""n_train"": 4096, ""n_y"": 5001, ""output_dir"": ""assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pq2d_ATLAS_HM1_LOW_M0.70_0.85_eta0.25_0.40_ciIDW"", ""sym_ymax"": 25.0, ""w_bc"": 30.0, ""w_compat"": 20.0, ""w_gauge"": 100.0, ""w_ode"": 1.0, ""w_parity"": 0.2, ""w_q_center"": 2.0, ""width"": 256, ""ymax"": 80.0}"
pinn_subsonic/models/HM1_MID/model_state.pt,HM1_MID,3.089693069458008,ok,31,4,7,20,pq_or_unspecified,0.7,0.85,0.35,0.55,80.0,256,7,12,25000,0.0002,0.05,0.25,0.25,4.0,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pq2d_ATLAS_HM1_MID_M0.70_0.85_eta0.35_0.55_ciIDW,"{""amp_mask_frac"": 0.05, ""anchor_eta_values"": ""0.35,0.40,0.45,0.50,0.55"", ""anchor_mach_values"": ""0.70,0.75,0.80,0.85"", ""central_ymax"": 20.0, ""ci_idw_eta_scale"": 0.25, ""ci_idw_mach_scale"": 0.25, ""ci_idw_power"": 4.0, ""depth"": 7, ""device"": ""cuda"", ""epochs"": 25000, ""eta_max"": 0.55, ""eta_min"": 0.35, ""eval_eta_values"": ""0.25 0.45 0.65 0.80"", ""eval_mach_values"": ""0.1 0.3 0.5 0.7 0.9"", ""lr"": 0.0002, ""mach_max"": 0.85, ""mach_min"": 0.7, ""n_freq"": 12, ""n_sym"": 768, ""n_train"": 4096, ""n_y"": 5001, ""output_dir"": ""assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pq2d_ATLAS_HM1_MID_M0.70_0.85_eta0.35_0.55_ciIDW"", ""sym_ymax"": 25.0, ""w_bc"": 30.0, ""w_compat"": 20.0, ""w_gauge"": 100.0, ""w_ode"": 1.0, ""w_parity"": 0.2, ""w_q_center"": 2.0, ""width"": 256, ""ymax"": 80.0}"
