path,size_MiB,categories,n_columns,columns
archive/repo_cleanup_2026-04-24/blumen_gep/supersonic_mach_branch_tracking_a020_anchor130_surface.csv,0.010374069213867188,anchor_ablation,21,alpha|Mach|N|gep_cr|gep_ci|gep_omega_i|distance_to_target|distance_to_shooting|overlap_to_previous|overlap_to_anchor|selection_source|n_finite_modes|success|accepted|target_cr|target_ci|target_source|shooting_cr|shooting_ci|shooting_omega_i|shooting_spectral_success
archive/repo_cleanup_2026-04-24/blumen_gep/supersonic_mach_branch_tracking_a020_anchor135_candidates.csv,0.008757591247558594,anchor_ablation,15,alpha|Mach|rank|cand_cr|cand_ci|cand_omega_i|distance_to_target|distance_to_shooting|overlap_to_previous|overlap_to_anchor|score|target_cr|target_ci|shooting_cr|shooting_ci
archive/repo_cleanup_2026-04-24/blumen_gep/supersonic_mach_branch_tracking_a020_anchor135_surface.csv,0.010500907897949219,anchor_ablation,21,alpha|Mach|N|gep_cr|gep_ci|gep_omega_i|distance_to_target|distance_to_shooting|overlap_to_previous|overlap_to_anchor|selection_source|n_finite_modes|success|accepted|target_cr|target_ci|target_source|shooting_cr|shooting_ci|shooting_omega_i|shooting_spectral_success
archive/repo_cleanup_2026-04-24/blumen_gep/supersonic_mach_branch_tracking_a020_anchor140_candidates.csv,0.008774757385253906,anchor_ablation,15,alpha|Mach|rank|cand_cr|cand_ci|cand_omega_i|distance_to_target|distance_to_shooting|overlap_to_previous|overlap_to_anchor|score|target_cr|target_ci|shooting_cr|shooting_ci
archive/repo_cleanup_2026-04-24/blumen_gep/supersonic_mach_branch_tracking_a020_anchor140_k12_candidates.csv,0.026811599731445312,anchor_ablation,15,alpha|Mach|rank|cand_cr|cand_ci|cand_omega_i|distance_to_target|distance_to_shooting|overlap_to_previous|overlap_to_anchor|score|target_cr|target_ci|shooting_cr|shooting_ci
archive/repo_cleanup_2026-04-24/blumen_gep/supersonic_mach_branch_tracking_a020_anchor140_k12_surface.csv,0.0036153793334960938,anchor_ablation,21,alpha|Mach|N|gep_cr|gep_ci|gep_omega_i|distance_to_target|distance_to_shooting|overlap_to_previous|overlap_to_anchor|selection_source|n_finite_modes|success|accepted|target_cr|target_ci|target_source|shooting_cr|shooting_ci|shooting_omega_i|shooting_spectral_success
archive/repo_cleanup_2026-04-24/blumen_gep/supersonic_mach_branch_tracking_a020_anchor140_n801_candidates.csv,0.011303901672363281,anchor_ablation,15,alpha|Mach|rank|cand_cr|cand_ci|cand_omega_i|distance_to_target|distance_to_shooting|overlap_to_previous|overlap_to_anchor|score|target_cr|target_ci|shooting_cr|shooting_ci
archive/repo_cleanup_2026-04-24/blumen_gep/supersonic_mach_branch_tracking_a020_anchor140_n801_surface.csv,0.0036220550537109375,anchor_ablation,21,alpha|Mach|N|gep_cr|gep_ci|gep_omega_i|distance_to_target|distance_to_shooting|overlap_to_previous|overlap_to_anchor|selection_source|n_finite_modes|success|accepted|target_cr|target_ci|target_source|shooting_cr|shooting_ci|shooting_omega_i|shooting_spectral_success
archive/repo_cleanup_2026-04-24/blumen_gep/supersonic_mach_branch_tracking_a020_anchor140_surface.csv,0.010545730590820312,anchor_ablation,21,alpha|Mach|N|gep_cr|gep_ci|gep_omega_i|distance_to_target|distance_to_shooting|overlap_to_previous|overlap_to_anchor|selection_source|n_finite_modes|success|accepted|target_cr|target_ci|target_source|shooting_cr|shooting_ci|shooting_omega_i|shooting_spectral_success
archive/repo_cleanup_2026-04-24/blumen_gep/supersonic_mach_branch_tracking_a020_anchor145_candidates.csv,0.0076351165771484375,anchor_ablation,15,alpha|Mach|rank|cand_cr|cand_ci|cand_omega_i|distance_to_target|distance_to_shooting|overlap_to_previous|overlap_to_anchor|score|target_cr|target_ci|shooting_cr|shooting_ci
archive/repo_cleanup_2026-04-24/blumen_gep/supersonic_mach_branch_tracking_a020_anchor145_surface.csv,0.01050567626953125,anchor_ablation,21,alpha|Mach|N|gep_cr|gep_ci|gep_omega_i|distance_to_target|distance_to_shooting|overlap_to_previous|overlap_to_anchor|selection_source|n_finite_modes|success|accepted|target_cr|target_ci|target_source|shooting_cr|shooting_ci|shooting_omega_i|shooting_spectral_success
archive/repo_cleanup_2026-04-24/kh_roots/kh_subsonic_2d_local_m0005_jz_multibranch/history.csv,0.7610969543457031,training_history,13,epoch|loss|loss_pde|loss_bc|loss_norm|loss_phase|loss_ci_supervision|mapping_scale|audit_ci_mae|audit_ci_max_abs|audit_ci_mean_rel|audit_ci_max_rel|n_focus_points
archive/repo_cleanup_2026-04-24/kh_roots/kh_subsonic_2d_local_m0005_jz_multibranch_riccati/history.csv,0.8023128509521484,training_history,15,epoch|loss|loss_pde|loss_bc|loss_bc_kappa|loss_bc_q|loss_norm|loss_phase|loss_ci_supervision|mapping_scale|audit_ci_mae|audit_ci_max_abs|audit_ci_mean_rel|audit_ci_max_rel|n_focus_points
archive/repo_cleanup_2026-04-24/kh_roots/kh_subsonic_fixed_mach_M05_riccati_experts/config.csv,0.0016002655029296875,anchor_ablation,81,mach|alpha_min|alpha_max|epochs|learning_rate|hidden_dim|mode_hidden_dim|ci_hidden_dim|mode_depth|ci_depth|activation|fourier_features|fourier_scale|initial_ci|mapping_scale|trainable_mapping_scale|n_interior|n_boundary|n_alpha_supervision|n_anchor_alpha|n_norm_interior|n_reference_alpha|n_audit_alpha|n_mode_audit_alpha|n_mode_audit_y|audit_every|checkpoint_every|stage_split_epoch|stage2_freeze_ci|stage2_ci_lr_scale|separate_branch_optimizers|detach_ci_in_mode_branch|ci_branch_lr|mode_branch_lr|stage1_w_ci_supervision|stage2_w_ci_supervision|stage1_neutral_fraction|stage2_neutral_fraction|focus_fraction|focus_half_width|neutral_fraction|ci_supervision_neutral_boost|neutral_half_width|error_threshold|mode_error_threshold|max_focus_points|anchor_strategy|anchor_half_width|anchor_max_candidates|mode_center_fraction|mode_center_half_width|w_pde|w_bc|w_bc_kappa|w_bc_q|w_norm|w_integral_norm|w_phase|w_peak_slope|w_peak_curvature|w_loc_center|w_loc_spread|w_ci_supervision|audit_ci_weight|audit_mode_weight|audit_env_weight|audit_phase_weight|audit_peak_weight|phase_mask_fraction|classic_n_points|classic_mapping_scale|classic_xi_max|enforce_mode_symmetry|mode_representation|mode_experts|alpha_split_threshold|riccati_anchor_supervision|riccati_anchor_n_xi|w_riccati_anchor|output_dir|device
archive/repo_cleanup_2026-04-24/kh_roots/kh_subsonic_fixed_mach_M05_riccati_experts/history.csv,1.1363449096679688,anchor_ablation;training_history,37,epoch|loss|loss_pde|loss_bc|loss_bc_kappa|loss_bc_q|loss_norm|loss_integral_norm|loss_phase|loss_peak_slope|loss_peak_curvature|loss_loc_center|loss_loc_spread|loss_riccati_anchor|loss_ci_supervision|stage_w_ci_supervision|stage_neutral_fraction|ci_supervision_neutral_fraction|stage2_started|mapping_scale|ci_mid|audit_ci_mae|audit_ci_max_abs|audit_ci_mean_rel|audit_ci_max_rel|audit_p_rel_l2_mean|audit_p_rel_l2_max|audit_env_rel_mean|audit_env_rel_max|audit_phase_rel_mean|audit_phase_rel_max|audit_peak_shift_mean|audit_peak_shift_max|audit_checkpoint_metric|n_focus_alphas|focus_alpha_min|focus_alpha_max
archive/repo_cleanup_2026-04-24/kh_roots/kh_subsonic_fixed_mach_M05_riccati_experts_light_anchor/config.csv,0.0016689300537109375,anchor_ablation,83,mach|alpha_min|alpha_max|epochs|learning_rate|hidden_dim|mode_hidden_dim|ci_hidden_dim|mode_depth|ci_depth|activation|fourier_features|fourier_scale|initial_ci|mapping_scale|trainable_mapping_scale|n_interior|n_boundary|n_alpha_supervision|n_anchor_alpha|n_norm_interior|n_reference_alpha|n_audit_alpha|n_mode_audit_alpha|n_mode_audit_y|audit_every|checkpoint_every|stage_split_epoch|stage2_freeze_ci|stage2_ci_lr_scale|separate_branch_optimizers|detach_ci_in_mode_branch|ci_branch_lr|mode_branch_lr|stage1_w_ci_supervision|stage2_w_ci_supervision|stage1_neutral_fraction|stage2_neutral_fraction|focus_fraction|focus_half_width|neutral_fraction|ci_supervision_neutral_boost|neutral_half_width|error_threshold|mode_error_threshold|max_focus_points|anchor_strategy|anchor_half_width|anchor_max_candidates|mode_center_fraction|mode_center_half_width|w_pde|w_bc|w_bc_kappa|w_bc_q|w_norm|w_integral_norm|w_phase|w_peak_slope|w_peak_curvature|w_loc_center|w_loc_spread|w_ci_supervision|audit_ci_weight|audit_mode_weight|audit_env_weight|audit_phase_weight|audit_peak_weight|phase_mask_fraction|classic_n_points|classic_mapping_scale|classic_xi_max|enforce_mode_symmetry|mode_representation|mode_experts|alpha_split_threshold|riccati_anchor_supervision|riccati_anchor_n_xi|riccati_anchor_every|riccati_anchor_alphas|w_riccati_anchor|output_dir|device
