stage,dataset,chart,source,metric,n,median,p90,p95,max
joint,T401,C00,independent_xi_pointwise,r_kappa_abs,7168,0.00549605512060225,0.01682379301637411,0.02213952988386153,0.06679058820009232
joint,T401,C00,independent_xi_pointwise,r_q_abs,7168,0.005551381502300501,0.016172063909471037,0.021116282418370245,0.06669379770755768
joint,T401,C00,independent_xi_pointwise,r_logamp_abs,7168,0.003918764181435108,0.010708352737128736,0.013742674887180324,0.035931192338466644
joint,T401,C01,independent_xi_pointwise,r_kappa_abs,10496,0.006666188593953848,0.01916387677192688,0.02437273832038045,0.07513490319252014
joint,T401,C01,independent_xi_pointwise,r_q_abs,10496,0.00733149447478354,0.019613410346210003,0.025259865913540125,0.08413061499595642
joint,T401,C01,independent_xi_pointwise,r_logamp_abs,10496,0.004947304725646973,0.01872043963521719,0.023994335439056158,0.08209040015935898
joint,T401,C02,independent_xi_pointwise,r_kappa_abs,15872,0.0079496456310153,0.02351685520261526,0.029940699506551025,0.17210660874843597
joint,T401,C02,independent_xi_pointwise,r_q_abs,15872,0.0064836719539016485,0.018781198561191557,0.023685313109308454,0.0738038569688797
joint,T401,C02,independent_xi_pointwise,r_logamp_abs,15872,0.004156528040766716,0.012964559439569708,0.01681060409173369,0.1716393083333969
joint,T401,C10,independent_xi_pointwise,r_kappa_abs,6400,0.0052017483394593,0.014705863967537883,0.018674199935048798,0.05058610066771507
joint,T401,C10,independent_xi_pointwise,r_q_abs,6400,0.005532634910196066,0.016365854069590575,0.02039076862856745,0.04796094447374344
joint,T401,C10,independent_xi_pointwise,r_logamp_abs,6400,0.003588683670386672,0.011268161796033382,0.015304403379559506,0.03306827321648598
joint,T401,C11,independent_xi_pointwise,r_kappa_abs,8448,0.005869350396096706,0.016152058728039265,0.020590080972760914,0.05874074995517731
joint,T401,C11,independent_xi_pointwise,r_q_abs,8448,0.006284243427217007,0.01679058913141489,0.021169449761509886,0.05404749512672424
joint,T401,C11,independent_xi_pointwise,r_logamp_abs,8448,0.003537737298756838,0.010459177475422621,0.013511953270062802,0.07496371120214462
joint,T401,C12,independent_xi_pointwise,r_kappa_abs,8704,0.00759784528054297,0.019946227222681044,0.025323616806417707,0.05540746822953224
joint,T401,C12,independent_xi_pointwise,r_q_abs,8704,0.006360188825055957,0.016726871207356452,0.02031548116356135,0.05050233006477356
joint,T401,C12,independent_xi_pointwise,r_logamp_abs,8704,0.004035545280203223,0.012664280273020266,0.016283667646348483,0.13059772551059723
joint,T401,C20,independent_xi_pointwise,r_kappa_abs,6400,0.00506785255856812,0.015284465812146665,0.019504000153392542,0.05405759811401367
joint,T401,C20,independent_xi_pointwise,r_q_abs,6400,0.004986577434465289,0.013799996860325339,0.017099125031381845,0.04767925664782524
joint,T401,C20,independent_xi_pointwise,r_logamp_abs,6400,0.003039903356693685,0.008022143039852384,0.010182542214170065,0.03295097500085831
joint,T401,C21,independent_xi_pointwise,r_kappa_abs,8192,0.006151591893285513,0.016849660314619545,0.02123980019241571,0.047891050577163696
joint,T401,C21,independent_xi_pointwise,r_q_abs,8192,0.006249828264117241,0.017017148621380332,0.020677289087325332,0.057082220911979675
joint,T401,C21,independent_xi_pointwise,r_logamp_abs,8192,0.0035671741934493184,0.01017520483583212,0.01255864286795258,0.0659460499882698
joint,T401,C22,independent_xi_pointwise,r_kappa_abs,5632,0.01057505328208208,0.03637185916304589,0.048245552554726595,0.3067721724510193
joint,T401,C22,independent_xi_pointwise,r_q_abs,5632,0.009204385802149773,0.030754544585943223,0.04115832429379225,0.3290388882160187
joint,T401,C22,independent_xi_pointwise,r_logamp_abs,5632,0.005944286473095417,0.01704814657568932,0.021277653891593216,0.09110662341117859
joint,T401,C30,independent_xi_pointwise,r_kappa_abs,9984,0.006181842880323529,0.02004786226898432,0.026552171446383,0.1248529925942421
joint,T401,C30,independent_xi_pointwise,r_q_abs,9984,0.006122674094513059,0.01971312537789346,0.026597764808684598,0.13228915631771088
joint,T401,C30,independent_xi_pointwise,r_logamp_abs,9984,0.0035362973576411605,0.0105618290603161,0.013702918402850631,0.05054129287600517
joint,T401,C31,independent_xi_pointwise,r_kappa_abs,12288,0.0053818668238818645,0.017069024592638038,0.02197255063802004,0.10670425742864609
joint,T401,C31,independent_xi_pointwise,r_q_abs,12288,0.005289307562634349,0.01668834537267685,0.022243686206638805,0.0988961011171341
joint,T401,C31,independent_xi_pointwise,r_logamp_abs,12288,0.0036777228815481067,0.012084776721894744,0.01568142622709274,0.06886254996061325
joint,T401,C32,independent_xi_pointwise,r_kappa_abs,3072,0.010266415774822235,0.02879203837364912,0.03744538445025682,0.07794547080993652
joint,T401,C32,independent_xi_pointwise,r_q_abs,3072,0.009189143776893616,0.02799971774220467,0.0373469855636358,0.10726594924926758
joint,T401,C32,independent_xi_pointwise,r_logamp_abs,3072,0.005504235625267029,0.015518412739038468,0.018923156987875694,0.08504507690668106
joint,V64,C00,independent_xi_pointwise,r_kappa_abs,1280,0.0047000672202557325,0.012608159426599744,0.015169750852510327,0.03201982378959656
joint,V64,C00,independent_xi_pointwise,r_q_abs,1280,0.00470986170694232,0.0121788595803082,0.014373830938711762,0.029418276622891426
joint,V64,C00,independent_xi_pointwise,r_logamp_abs,1280,0.0033992460230365396,0.008605555072426805,0.01056430637836456,0.028489748015999794
joint,V64,C01,independent_xi_pointwise,r_kappa_abs,1792,0.007134264567866921,0.020016839727759365,0.02746016681194305,0.060766901820898056
joint,V64,C01,independent_xi_pointwise,r_q_abs,1792,0.007514227647334337,0.020933520980179317,0.02531427219510073,0.0648617297410965
joint,V64,C01,independent_xi_pointwise,r_logamp_abs,1792,0.005163427907973528,0.017719942517578618,0.02286479379981756,0.08459500223398209
joint,V64,C02,independent_xi_pointwise,r_kappa_abs,2560,0.007920995354652405,0.0236214455217123,0.029562839120626398,0.16616752743721008
joint,V64,C02,independent_xi_pointwise,r_q_abs,2560,0.006553942570462823,0.01851543355733156,0.02267826721072197,0.06587809324264526
joint,V64,C02,independent_xi_pointwise,r_logamp_abs,2560,0.0039649237878620625,0.013046945631504055,0.016936997324228285,0.13302628695964813
joint,V64,C10,independent_xi_pointwise,r_kappa_abs,1024,0.005219454877078533,0.013953723665326835,0.01646789694204926,0.0387120395898819
joint,V64,C10,independent_xi_pointwise,r_q_abs,1024,0.00575009360909462,0.016715500690042975,0.020653454493731255,0.03963290527462959
joint,V64,C10,independent_xi_pointwise,r_logamp_abs,1024,0.003434057580307126,0.010515806823968889,0.01331981685943901,0.027617881074547768
joint,V64,C11,independent_xi_pointwise,r_kappa_abs,1280,0.005239010322839022,0.01606317311525346,0.0203179782256484,0.03925350308418274
joint,V64,C11,independent_xi_pointwise,r_q_abs,1280,0.006007517222315073,0.015500303916633134,0.02044388921931386,0.041775211691856384
