normal_axis,chart_minus_grid,chart_plus_grid,Mach_minus_grid,Mach_plus_grid,alpha_minus_grid,alpha_plus_grid,Mach_mid,alpha_mid,pair_id
Mach,C00,C10,1.2489999999999999,1.252,0.05,0.05,1.2505,0.05,C00--C10
Mach,C00,C10,1.2489999999999999,1.252,0.05103333333333333,0.05103333333333333,1.2505,0.05103333333333333,C00--C10
Mach,C00,C10,1.2489999999999999,1.252,0.05206666666666667,0.05206666666666667,1.2505,0.05206666666666667,C00--C10
Mach,C00,C10,1.2489999999999999,1.252,0.0531,0.0531,1.2505,0.0531,C00--C10
Mach,C00,C10,1.2489999999999999,1.252,0.05413333333333334,0.05413333333333334,1.2505,0.05413333333333334,C00--C10
Mach,C00,C10,1.2489999999999999,1.252,0.05516666666666667,0.05516666666666667,1.2505,0.05516666666666667,C00--C10
Mach,C00,C10,1.2489999999999999,1.252,0.0562,0.0562,1.2505,0.0562,C00--C10
Mach,C00,C10,1.2489999999999999,1.252,0.05723333333333334,0.05723333333333334,1.2505,0.05723333333333334,C00--C10
Mach,C00,C10,1.2489999999999999,1.252,0.05826666666666667,0.05826666666666667,1.2505,0.05826666666666667,C00--C10
Mach,C00,C10,1.2489999999999999,1.252,0.059300000000000005,0.059300000000000005,1.2505,0.059300000000000005,C00--C10
Mach,C00,C10,1.2489999999999999,1.252,0.060333333333333336,0.060333333333333336,1.2505,0.060333333333333336,C00--C10
Mach,C00,C10,1.2489999999999999,1.252,0.06136666666666667,0.06136666666666667,1.2505,0.06136666666666667,C00--C10
Mach,C00,C10,1.2489999999999999,1.252,0.062400000000000004,0.062400000000000004,1.2505,0.062400000000000004,C00--C10
Mach,C00,C10,1.2489999999999999,1.252,0.06343333333333334,0.06343333333333334,1.2505,0.06343333333333334,C00--C10
Mach,C00,C10,1.2489999999999999,1.252,0.06446666666666667,0.06446666666666667,1.2505,0.06446666666666667,C00--C10
Mach,C00,C10,1.2489999999999999,1.252,0.0655,0.0655,1.2505,0.0655,C00--C10
Mach,C00,C10,1.2489999999999999,1.252,0.06653333333333333,0.06653333333333333,1.2505,0.06653333333333333,C00--C10
Mach,C00,C10,1.2489999999999999,1.252,0.06756666666666666,0.06756666666666666,1.2505,0.06756666666666666,C00--C10
Mach,C00,C10,1.2489999999999999,1.252,0.06860000000000001,0.06860000000000001,1.2505,0.06860000000000001,C00--C10
Mach,C00,C10,1.2489999999999999,1.252,0.06963333333333334,0.06963333333333334,1.2505,0.06963333333333334,C00--C10
Mach,C00,C10,1.2489999999999999,1.252,0.07066666666666667,0.07066666666666667,1.2505,0.07066666666666667,C00--C10
Mach,C00,C10,1.2489999999999999,1.252,0.0717,0.0717,1.2505,0.0717,C00--C10
