boundary_id,normal_axis,chart_minus_grid,chart_plus_grid,Mach_minus_grid,Mach_plus_grid,alpha_minus_grid,alpha_plus_grid,Mach_mid,alpha_mid,pair_id,component,chart_minus,chart_plus,Mach_boundary,alpha_boundary,clean_pair_switch
ROUTE_0000,alpha,C00,C01,1.0,1.0,0.12956666666666666,0.1306,1.0,0.13008333333333333,C00--C01,0,C00,C01,1.0,0.13000000049990673,True
ROUTE_0001,alpha,C00,C01,1.063,1.063,0.12956666666666666,0.1306,1.063,0.13008333333333333,C00--C01,0,C00,C01,1.063,0.13000000049990673,True
ROUTE_0002,alpha,C00,C01,1.126,1.126,0.12956666666666666,0.1306,1.126,0.13008333333333333,C00--C01,0,C00,C01,1.126,0.13000000049990673,True
ROUTE_0003,alpha,C00,C01,1.186,1.186,0.12956666666666666,0.1306,1.186,0.13008333333333333,C00--C01,0,C00,C01,1.186,0.13000000049990673,True
ROUTE_0004,alpha,C00,C01,1.2489999999999999,1.2489999999999999,0.12956666666666666,0.1306,1.2489999999999999,0.13008333333333333,C00--C01,0,C00,C01,1.2489999999999999,0.13000000049990673,True
ROUTE_0005,Mach,C00,C10,1.2489999999999999,1.252,0.05,0.05,1.2505,0.05,C00--C10,0,C00,C10,1.250000000500237,0.05,True
ROUTE_0006,Mach,C00,C10,1.2489999999999999,1.252,0.06963333333333334,0.06963333333333334,1.2505,0.06963333333333334,C00--C10,0,C00,C10,1.250000000500237,0.06963333333333334,True
ROUTE_0007,Mach,C00,C10,1.2489999999999999,1.252,0.08926666666666666,0.08926666666666666,1.2505,0.08926666666666666,C00--C10,0,C00,C10,1.250000000500237,0.08926666666666666,True
ROUTE_0008,Mach,C00,C10,1.2489999999999999,1.252,0.10993333333333334,0.10993333333333334,1.2505,0.10993333333333334,C00--C10,0,C00,C10,1.250000000500237,0.10993333333333334,True
ROUTE_0009,Mach,C00,C10,1.2489999999999999,1.252,0.12956666666666666,0.12956666666666666,1.2505,0.12956666666666666,C00--C10,0,C00,C10,1.250000000500237,0.12956666666666666,True
ROUTE_0010,alpha,C01,C02,1.0,1.0,0.2194666666666667,0.22050000000000003,1.0,0.21998333333333336,C01--C02,0,C01,C02,1.0,0.2200000005000543,True
ROUTE_0011,alpha,C01,C02,1.063,1.063,0.2194666666666667,0.22050000000000003,1.063,0.21998333333333336,C01--C02,0,C01,C02,1.063,0.2200000005000543,True
ROUTE_0012,alpha,C01,C02,1.126,1.126,0.2194666666666667,0.22050000000000003,1.126,0.21998333333333336,C01--C02,0,C01,C02,1.126,0.2200000005000543,True
ROUTE_0013,alpha,C01,C02,1.186,1.186,0.2194666666666667,0.22050000000000003,1.186,0.21998333333333336,C01--C02,0,C01,C02,1.186,0.2200000005000543,True
ROUTE_0014,alpha,C01,C02,1.2489999999999999,1.2489999999999999,0.2194666666666667,0.22050000000000003,1.2489999999999999,0.21998333333333336,C01--C02,0,C01,C02,1.2489999999999999,0.2200000005000543,True
ROUTE_0015,Mach,C01,C11,1.2489999999999999,1.252,0.1306,0.1306,1.2505,0.1306,C01--C11,0,C01,C11,1.250000000500237,0.1306,True
ROUTE_0016,Mach,C01,C11,1.2489999999999999,1.252,0.15333333333333332,0.15333333333333332,1.2505,0.15333333333333332,C01--C11,0,C01,C11,1.250000000500237,0.15333333333333332,True
ROUTE_0017,Mach,C01,C11,1.2489999999999999,1.252,0.17503333333333332,0.17503333333333332,1.2505,0.17503333333333332,C01--C11,0,C01,C11,1.250000000500237,0.17503333333333332,True
ROUTE_0018,Mach,C01,C11,1.2489999999999999,1.252,0.19673333333333332,0.19673333333333332,1.2505,0.19673333333333332,C01--C11,0,C01,C11,1.250000000500237,0.19673333333333332,True
ROUTE_0019,Mach,C01,C11,1.2489999999999999,1.252,0.2194666666666667,0.2194666666666667,1.2505,0.2194666666666667,C01--C11,0,C01,C11,1.250000000500237,0.2194666666666667,True
ROUTE_0020,Mach,C02,C12,1.2489999999999999,1.252,0.22050000000000003,0.22050000000000003,1.2505,0.22050000000000003,C02--C12,0,C02,C12,1.250000000500237,0.22050000000000003,True
ROUTE_0021,Mach,C02,C12,1.2489999999999999,1.252,0.2556333333333333,0.2556333333333333,1.2505,0.2556333333333333,C02--C12,0,C02,C12,1.250000000500237,0.2556333333333333,True
ROUTE_0022,Mach,C02,C12,1.2489999999999999,1.252,0.2907666666666667,0.2907666666666667,1.2505,0.2907666666666667,C02--C12,0,C02,C12,1.250000000500237,0.2907666666666667,True
ROUTE_0023,Mach,C02,C12,1.2489999999999999,1.252,0.3248666666666667,0.3248666666666667,1.2505,0.3248666666666667,C02--C12,0,C02,C12,1.250000000500237,0.3248666666666667,True
ROUTE_0024,Mach,C02,C12,1.2489999999999999,1.252,0.36,0.36,1.2505,0.36,C02--C12,0,C02,C12,1.250000000500237,0.36,True
ROUTE_0025,alpha,C10,C11,1.252,1.252,0.12956666666666666,0.1306,1.252,0.13008333333333333,C10--C11,0,C10,C11,1.252,0.13000000049990673,True
ROUTE_0026,alpha,C10,C11,1.276,1.276,0.12956666666666666,0.1306,1.276,0.13008333333333333,C10--C11,0,C10,C11,1.276,0.13000000049990673,True
ROUTE_0027,alpha,C10,C11,1.3,1.3,0.12956666666666666,0.1306,1.3,0.13008333333333333,C10--C11,0,C10,C11,1.3,0.13000000049990673,True
ROUTE_0028,alpha,C10,C11,1.3239999999999998,1.3239999999999998,0.12956666666666666,0.1306,1.3239999999999998,0.13008333333333333,C10--C11,0,C10,C11,1.3239999999999998,0.13000000049990673,True
ROUTE_0029,alpha,C10,C11,1.3479999999999999,1.3479999999999999,0.12956666666666666,0.1306,1.3479999999999999,0.13008333333333333,C10--C11,0,C10,C11,1.3479999999999999,0.13000000049990673,True
ROUTE_0030,Mach,C10,C20,1.3479999999999999,1.351,0.05,0.05,1.3495,0.05,C10--C20,0,C10,C20,1.3499999994997631,0.05,True
ROUTE_0031,Mach,C10,C20,1.3479999999999999,1.351,0.06963333333333334,0.06963333333333334,1.3495,0.06963333333333334,C10--C20,0,C10,C20,1.3499999994997631,0.06963333333333334,True
ROUTE_0032,Mach,C10,C20,1.3479999999999999,1.351,0.08926666666666666,0.08926666666666666,1.3495,0.08926666666666666,C10--C20,0,C10,C20,1.3499999994997631,0.08926666666666666,True
ROUTE_0033,Mach,C10,C20,1.3479999999999999,1.351,0.10993333333333334,0.10993333333333334,1.3495,0.10993333333333334,C10--C20,0,C10,C20,1.3499999994997631,0.10993333333333334,True
ROUTE_0034,Mach,C10,C20,1.3479999999999999,1.351,0.12956666666666666,0.12956666666666666,1.3495,0.12956666666666666,C10--C20,0,C10,C20,1.3499999994997631,0.12956666666666666,True
ROUTE_0035,alpha,C11,C12,1.252,1.252,0.2194666666666667,0.22050000000000003,1.252,0.21998333333333336,C11--C12,0,C11,C12,1.252,0.2200000005000543,True
ROUTE_0036,alpha,C11,C12,1.276,1.276,0.2194666666666667,0.22050000000000003,1.276,0.21998333333333336,C11--C12,0,C11,C12,1.276,0.2200000005000543,True
ROUTE_0037,alpha,C11,C12,1.3,1.3,0.2194666666666667,0.22050000000000003,1.3,0.21998333333333336,C11--C12,0,C11,C12,1.3,0.2200000005000543,True
ROUTE_0038,alpha,C11,C12,1.3239999999999998,1.3239999999999998,0.2194666666666667,0.22050000000000003,1.3239999999999998,0.21998333333333336,C11--C12,0,C11,C12,1.3239999999999998,0.2200000005000543,True
ROUTE_0039,alpha,C11,C12,1.3479999999999999,1.3479999999999999,0.2194666666666667,0.22050000000000003,1.3479999999999999,0.21998333333333336,C11--C12,0,C11,C12,1.3479999999999999,0.2200000005000543,True
ROUTE_0040,Mach,C11,C21,1.3479999999999999,1.351,0.1306,0.1306,1.3495,0.1306,C11--C21,0,C11,C21,1.3499999994997631,0.1306,True
ROUTE_0041,Mach,C11,C21,1.3479999999999999,1.351,0.15333333333333332,0.15333333333333332,1.3495,0.15333333333333332,C11--C21,0,C11,C21,1.3499999994997631,0.15333333333333332,True
ROUTE_0042,Mach,C11,C21,1.3479999999999999,1.351,0.17503333333333332,0.17503333333333332,1.3495,0.17503333333333332,C11--C21,0,C11,C21,1.3499999994997631,0.17503333333333332,True
ROUTE_0043,Mach,C11,C21,1.3479999999999999,1.351,0.19673333333333332,0.19673333333333332,1.3495,0.19673333333333332,C11--C21,0,C11,C21,1.3499999994997631,0.19673333333333332,True
ROUTE_0044,Mach,C11,C21,1.3479999999999999,1.351,0.2194666666666667,0.2194666666666667,1.3495,0.2194666666666667,C11--C21,0,C11,C21,1.3499999994997631,0.2194666666666667,True
ROUTE_0045,Mach,C12,C22,1.3479999999999999,1.351,0.22050000000000003,0.22050000000000003,1.3495,0.22050000000000003,C12--C22,0,C12,C22,1.3499999994997631,0.22050000000000003,True
ROUTE_0046,Mach,C12,C22,1.3479999999999999,1.351,0.2556333333333333,0.2556333333333333,1.3495,0.2556333333333333,C12--C22,0,C12,C22,1.3499999994997631,0.2556333333333333,True
