Mach,alpha,spectral_cr,spectral_ci,selected_reference_cr,selected_reference_ci,abs_dcr,abs_dci,n_candidate_groups,n_selected_rows
1.1,0.175,0.1508143457011082,0.092213234034898,0.18,0.055,0.029185654298891806,0.037213234034898006,1,4593
1.1,0.2,0.1656761547463344,0.0791796566675815,0.26,0.07,0.0943238452536656,0.009179656667581498,1,4593
1.2,0.15,0.209251477505801,0.0890539934231143,0.209251477505801,0.0890539934231143,0.0,0.0,3,4593
1.2,0.175,0.2259107392431602,0.0762428518157576,0.2259107392431602,0.0762428518157576,0.0,0.0,4,4593
1.2,0.1875,0.2331694872807306,0.0698658844864319,0.2331694872807306,0.0698658844864319,0.0,0.0,2,4593
1.2,0.2,0.2398365204931603,0.0634987111907576,0.2398365204931603,0.0634987111907576,0.0,0.0,4,4593
1.2,0.208333,0.2439966767431603,0.0592701955657576,0.2439966767431603,0.0592701955657576,0.0,0.0,2,4593
1.2,0.216667,0.2479483075702228,0.055042805686539,0.2479483075702228,0.055042805686539,0.0,0.0,2,4593
1.25,0.25,0.2550098377696084,0.0304106202499422,0.0,0.015,0.2550098377696084,0.015410620249942202,1,4594
1.3,0.1,0.2292287978156679,0.0908323489283033,0.2292287978156679,0.0908323489283033,0.0,0.0,3,4594
1.3,0.125,0.2507322022046491,0.0805622512041191,0.2507322022046491,0.0805622512041191,0.0,0.0,3,4594
1.3,0.15,0.2679464671366972,0.0699190855162764,0.2679464671366972,0.0699190855162764,0.0,0.0,4,4594
1.3,0.1625,0.2753741570531295,0.0644937399606446,0.2753741570531295,0.0644937399606446,0.0,0.0,2,4594
1.3,0.175,0.2821847483866972,0.0590180438496097,0.2821847483866972,0.0590180438496097,0.0,0.0,4,4594
1.3,0.183333,0.286403134768127,0.0553553184156296,0.286403134768127,0.0553553184156296,0.0,0.0,2,4594
1.3,0.191667,0.290397275393127,0.0516736777906296,0.290397275393127,0.0516736777906296,0.0,0.0,2,4594
1.3,0.2,0.2727688216788323,0.0467110594036997,0.0,0.015,0.2727688216788323,0.0317110594036997,1,13755
1.3,0.225,0.2807064105959674,0.0353543235424167,0.0,0.015,0.2807064105959674,0.020354323542416702,1,4594
1.33,0.18,0.2771044303979708,0.0508498118838383,0.05,0.025,0.2271044303979708,0.0258498118838383,1,13782
1.4,0.1,0.283841246397037,0.0425165800223759,0.0,0.015,0.283841246397037,0.0275165800223759,1,4595
1.4,0.125,0.303271264704649,0.0535875093459158,0.303271264704649,0.0535875093459158,0.0,0.0,1,4594
1.4,0.1375,0.3111424049240388,0.0511307865076858,0.3111424049240388,0.0511307865076858,0.0,0.0,1,4594
1.4,0.15,0.3182275185165742,0.0486740636694557,0.3182275185165742,0.0486740636694557,0.0,0.0,1,4594
1.4,0.1625,0.3246580112197962,0.0462173408312256,0.3246580112197962,0.0462173408312256,0.0,0.0,1,4594
1.4,0.16875,0.32767268188658,0.0450433791097876,0.32767268188658,0.0450433791097876,0.0,0.0,1,4594
1.4,0.175,0.3334272163349703,0.0426165444542578,0.3121554515116973,0.0438821492820227,0.021271764823272976,0.0012656048277649018,1,4594
1.4,0.18125,0.3153193678544234,0.0427209194542578,0.3153193678544234,0.0427209194542578,0.0,0.0,1,4594
1.4,0.1875,0.3183709082056269,0.0411403935788011,0.3183709082056269,0.0411403935788011,0.0,0.0,1,4594
1.4,0.19375,0.3222828767123289,0.024414084798728,0.05,0.025,0.2722828767123289,0.0005859152012720019,1,4594
1.4,0.2,0.3240857069010081,0.0232528549709631,0.0,0.015,0.3240857069010081,0.008252854970963102,1,4595
1.5,0.1,0.3293676490936765,0.0460323254563964,0.05,0.025,0.2793676490936765,0.021032325456396397,1,4595
1.5,0.125,0.3492641497157056,0.0487962958623987,0.3492641497157056,0.0487962958623987,0.0,0.0,3,4594
1.5,0.1375,0.3561293840907055,0.0454370701278998,0.3561293840907055,0.0454370701278998,0.0,0.0,3,4594
1.5,0.15,0.3623598528407056,0.0418239381434009,0.3623598528407056,0.0418239381434009,0.0,0.0,3,4594
1.5,0.15625,0.3652797747157056,0.0399391725184009,0.3652797747157056,0.0399391725184009,0.0,0.0,2,4594
1.5,0.158333,0.2399414062499999,0.0374707031249999,0.2399414062499999,0.0374707031249999,0.0,0.0,1,4594
1.5,0.1625,0.3680825090907056,0.0380056534011514,0.3680825090907056,0.0380056534011514,0.0,0.0,2,4594
1.5,0.165625,0.3680825090907056,0.0380056534011514,0.3680825090907056,0.0380056534011514,0.0,0.0,1,4594
1.6,0.1,0.3723024463246057,0.0286170504353144,0.0,0.015,0.3723024463246057,0.013617050435314401,1,4595
1.6,0.125,0.3875635867175142,0.0251098747521818,0.18,0.055,0.20756358671751418,0.0298901252478182,1,4595
1.7,0.1,0.4086724851271471,0.0255832924228237,0.05,0.025,0.3586724851271471,0.0005832924228236988,1,4595
1.7,0.125,0.4192415320846353,0.0221873441527381,0.05,0.025,0.36924153208463534,0.0028126558472619002,1,4595
1.7,0.15,0.4298105790421235,0.0187913958826526,0.05,0.025,0.3798105790421235,0.006208604117347402,1,4595
1.7,0.175,0.4403796259996116,0.015395447612567,0.1,0.04,0.3403796259996116,0.024604552387433,1,4595
