status,error,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,pinn_spectral_error,cr_lower,cr_upper,ci_lower,ci_upper,optimizer_success,optimizer_message,cr_corrected,ci_corrected,corrected_spectral_error,delta_c_from_pinn,initial_mismatch,corrected_mismatch,mismatch_reduction,initial_evaluation_seconds,optimization_seconds,nfev_reported,nfev_counted,nit
COMPLETED,,1.9,0.05,0.4575013033096492,0.0201545403695674,0.4609848856925964,0.0374887771904468,0.017680811983082422,0.4209848856925964,0.5009848856925964,0.007488777190446799,0.0674887771904468,False,Maximum number of function evaluations has been exceeded.,0.45750117678831187,0.020317471733912948,0.00016293141346944312,0.01752112892514008,0.001282212414282739,1.3040080859333217e-05,98.32856315189312,0.22034238651394844,17.351738510653377,80,81,1
COMPLETED,,1.9,0.055,0.4598761373512365,0.0209545200389075,0.4615874886512756,0.0307759642601013,0.009969427760015444,0.4215874886512756,0.5015874886512756,0.0007759642601013021,0.0607759642601013,False,Maximum number of function evaluations has been exceeded.,0.45987613545444284,0.02095452142998216,2.3522148983510316e-09,0.00996942671519322,0.0008442466783040182,2.0575072164691416e-10,4103250.1443801383,0.22548224870115519,17.664910078048706,80,81,2
COMPLETED,,1.9,0.06,0.4622082577801977,0.0215874463500849,0.462784469127655,0.0257373601198196,0.004189725983065266,0.422784469127655,0.502784469127655,1e-06,0.0557373601198196,False,Maximum number of function evaluations has been exceeded.,0.46220827295808087,0.0215874453836108,1.520862287591592e-08,0.004189724852974814,0.00040948603379950776,1.5386180169597499e-09,266138.8527144875,0.23921557795256376,18.034880550578237,80,81,2
COMPLETED,,1.9,0.065,0.4644930709807444,0.0220661663779487,0.4644872546195984,0.0220716632902622,8.002880853978117e-06,0.4244872546195984,0.5044872546195984,1e-06,0.0520716632902622,False,Maximum number of function evaluations has been exceeded.,0.46449306579826255,0.02206617041144493,6.5671310169719865e-09,7.996343862543397e-06,8.929985592332842e-07,7.13262036220649e-10,1251.992274767633,0.2459510788321495,18.366673001088202,80,81,1
COMPLETED,,1.9,0.07,0.4667274148350163,0.0224026540029573,0.4665602445602417,0.0194973628968,0.002910096615627205,0.4265602445602417,0.5065602445602417,1e-06,0.0494973628968,False,Maximum number of function evaluations has been exceeded.,0.46672741529428585,0.022404072530102643,1.418527219692019e-06,0.0029115128278362863,0.0003667972618382196,1.73705445306506e-07,2111.6048560884205,0.20919502805918455,18.17666512168944,80,81,1
COMPLETED,,1.9,0.075,0.4689092726029273,0.0226079949575224,0.4688419699668884,0.0177794657647609,0.004828998220145437,0.42884196996688845,0.5088419699668885,1e-06,0.0477794657647609,False,Maximum number of function evaluations has been exceeded.,0.46890927949547717,0.02260800553468792,1.2624724711252451e-08,0.004829008892351069,0.0006794391554210181,1.6742807669700139e-09,405809.568397907,0.25195084791630507,17.90353314485401,80,81,1
COMPLETED,,1.9,0.08,0.4710375349773399,0.0226924045559811,0.4711839854717254,0.0167350992560386,0.005959105149603317,0.43118398547172543,0.5111839854717254,1e-06,0.046735099256038595,False,Maximum number of function evaluations has been exceeded.,0.4710375345904214,0.02269005076832435,2.3537876885534666e-06,0.005956752082662921,0.0009232612403644172,3.399572142230289e-07,2715.8159960644684,0.20933571737259626,18.847453008405864,80,81,1
COMPLETED,,1.9,0.085,0.4731118045402344,0.0226652668576932,0.4734784960746765,0.0162298511713743,0.006445854306230548,0.43347849607467653,0.5134784960746765,1e-06,0.0462298511713743,False,Maximum number of function evaluations has been exceeded.,0.4731117932787258,0.02266449649022213,7.704497790642962e-07,0.0064450858271964334,0.0010832863969230497,1.1974980461623614e-07,9046.247719523824,0.26098101306706667,19.332753472030163,80,81,1
COMPLETED,,1.9,0.09,0.4751322369239946,0.0225351864585413,0.4756629168987274,0.0161695014685392,0.006387766951566133,0.43566291689872744,0.5156629168987275,1e-06,0.046169501468539195,False,Maximum number of function evaluations has been exceeded.,0.47513222953294665,0.022539545148153116,4.358695878325738e-06,0.006392111197436144,0.0011472767087226372,7.245743066271123e-07,1583.380335500994,0.2672946806997061,19.927626697346568,80,81,1
COMPLETED,,1.9,0.095,0.4770994126801933,0.022310043030764,0.4777087867259979,0.0164893753826618,0.0058524788421116,0.43770878672599794,0.517708786725998,1e-06,0.0464893753826618,False,Maximum number of function evaluations has been exceeded.,0.47709942234645125,0.022319099545402735,9.056519797259857e-06,0.00586148520092867,0.0011088370774563281,1.6025882301061006e-06,691.9039193136447,0.21365691907703876,20.553745502606034,80,81,1
COMPLETED,,1.9,0.1,0.4790142335247862,0.0219970508320953,0.4796070456504822,0.0171423479914665,0.004890763323570409,0.4396070456504822,0.5196070456504822,1e-06,0.0471423479914665,False,Maximum number of function evaluations has been exceeded.,0.47901422711841707,0.022007304814631975,1.025398453792512e-05,0.004900942634149488,0.0009675897473741792,1.9225251612190765e-06,503.29107097908087,0.2147507993504405,20.364481773227453,80,81,1
COMPLETED,,1.9,0.105,0.4808778398375454,0.0216028148034642,0.4813580214977264,0.0180853847414255,0.0035500547415649435,0.4413580214977264,0.5213580214977264,1e-06,0.0480853847414255,False,Maximum number of function evaluations has been exceeded.,0.48087785485903667,0.021610321620960722,7.506832525859357e-06,0.0035574906894633032,0.0007280584756390425,1.4849277555265993e-06,490.29892055647616,0.21880215499550104,20.663588736206293,80,81,1
COMPLETED,,1.9,0.11,0.482691544513499,0.021133384910942,0.4829683303833008,0.0192641895264387,0.0018895771493036152,0.4429683303833008,0.5229683303833008,1e-06,0.0492641895264387,False,Maximum number of function evaluations has been exceeded.,0.4826915427183173,0.02113608171293651,2.696802592008666e-06,0.0018922451662928214,0.00039978683087701585,5.606038960353676e-07,713.136019396829,0.22527191881090403,20.87667168211192,80,81,1
COMPLETED,,1.9,0.115,0.4844567807943823,0.0205943065902101,0.4844516813755035,0.020596619695425,5.5995114641326144e-06,0.4444516813755035,0.5244516813755035,1e-06,0.050596619695425,True,Optimization terminated successfully.,0.484456786716021,0.02059432506116257,1.9396955686062634e-08,5.597307227410075e-06,1.2188883813811942e-06,4.1662474011733526e-09,292.5626502732207,0.2251851037144661,19.551227612420917,74,75,2
COMPLETED,,1.9,0.12,0.4861750606068702,0.0199906682279446,0.485830694437027,0.0219577681273221,0.0019970152911441283,0.445830694437027,0.525830694437027,1e-06,0.0519577681273221,False,Maximum number of function evaluations has been exceeded.,0.4861750439204969,0.01999068481335631,2.3526813146040996e-08,0.0019969960768235415,0.000446789512011504,5.339661943668447e-09,83673.74502823887,0.2941412329673767,21.9016639161855,80,81,2
COMPLETED,,1.9,0.125,0.487847941407231,0.0193271425190721,0.4871372878551483,0.0231730472296476,0.003911011571692743,0.44713728785514834,0.5271372878551484,1e-06,0.0531730472296476,False,Maximum number of function evaluations has been exceeded.,0.48784794991524044,0.01932715654684272,1.6406235813373893e-08,0.003910999323413365,0.0008997632903545679,3.828950331655768e-09,234989.54345680415,0.2945605721324682,22.101494283415377,80,81,2
COMPLETED,,1.9,0.13,0.4894770013114648,0.0186080268219635,0.4884110987186432,0.0240275878459215,0.005523385739724191,0.4484110987186432,0.5284110987186432,1e-06,0.0540275878459215,False,Maximum number of function evaluations has been exceeded.,0.4894769979465057,0.018608027898546913,3.5329848414210793e-09,0.005523384034008922,0.001308864662608622,8.766062105068838e-10,1493104.482857578,0.3015122236683965,22.91563790757209,80,81,2
COMPLETED,,1.9,0.135,0.4910638186460426,0.0178372766850934,0.4896963238716125,0.024298045784235,0.00660390636748558,0.4496963238716125,0.5296963238716125,1e-06,0.054298045784235,False,Maximum number of function evaluations has been exceeded.,0.4910638065717813,0.01783727074202883,1.3457629908650557e-08,0.006603909681488313,0.001615986654552214,3.4370480024568063e-09,470167.0309513003,0.22635011281818151,21.552723054774106,80,81,2
COMPLETED,,1.9,0.14,0.4926099567084842,0.0170185388552902,0.4910389184951782,0.0238051991909742,0.0069661265836628355,0.45103891849517824,0.5310389184951783,1e-06,0.0538051991909742,False,Maximum number of function evaluations has been exceeded.,0.49260994787549983,0.017018536919379535,9.042641346482986e-09,0.006966126477643093,0.0017651811546214116,2.3887923043058336e-09,738942.9174899996,0.3123797196894884,22.26742494944483,80,81,2
COMPLETED,,1.9,0.145,0.4941169522172745,0.0161551782261101,0.4924835562705993,0.0224749892950058,0.0065274799321906355,0.45248355627059933,0.5324835562705993,1e-06,0.0524749892950058,False,Maximum number of function evaluations has been exceeded.,0.49411695892784113,0.016155192005825856,1.5326848052458236e-08,0.006527468270088396,0.0017166196651932136,4.099722713222472e-09,418716.04136951815,0.23103982117027044,23.280218506231904,80,81,2
COMPLETED,,1.9,0.15,0.4955863065386898,0.0152503044485099,0.4940696358680725,0.0203853230923414,0.005354316613313762,0.45406963586807253,0.5340696358680725,1e-06,0.050385323092341394,False,Maximum number of function evaluations has been exceeded.,0.49558630738644655,0.015250295637323266,8.851875587756162e-09,0.005354325303755554,0.0014622813997208165,2.4886228549680113e-09,587586.5829977732,0.32816250436007977,23.46084403898567,80,81,2
COMPLETED,,1.9,0.155,0.497019478959949,0.0143067940524762,0.4958227574825287,0.0177712067961692,0.0036652827930708956,0.4558227574825287,0.5358227574825287,1e-06,0.0477712067961692,False,Maximum number of function evaluations has been exceeded.,0.4970194713025666,0.014306796438233542,8.020432911272418e-09,0.0036652780379176635,0.001037487603511772,2.3288702150829892e-09,445489.6613784899,0.3432286363095045,24.91138077247888,80,81,2
COMPLETED,,1.9,0.16,0.498417882627838,0.0133273114657672,0.4977405965328216,0.014969284646213,0.0017761735218738714,0.4577405965328216,0.5377405965328216,1e-06,0.044969284646213,False,Maximum number of function evaluations has been exceeded.,0.4984178618705208,0.013327292754683438,2.7945856094127444e-08,0.001776182904291564,0.00051865836901586,8.190464925820759e-09,63324.65540274391,0.23609676025807858,24.77932359278202,80,81,2
COMPLETED,,1.9,0.165,0.4997828810399796,0.0123143262874896,0.4997759461402893,0.0123149193823337,6.960215169687876e-06,0.4597759461402893,0.5397759461402893,1e-06,0.0423149193823337,False,Maximum number of function evaluations has been exceeded.,0.499782892030329,0.012314297771381556,3.056069695070671e-08,6.973649591087642e-06,2.0839345188996546e-06,9.14989592844962e-09,227.7549969087748,0.365178189240396,25.594351115636528,80,81,1
COMPLETED,,1.9,0.17,0.5011157862324153,0.0112701314212974,0.5018283128738403,0.0100433239713311,0.001418714465293601,0.46182831287384035,0.5418283128738404,1e-06,0.0400433239713311,False,Maximum number of function evaluations has been exceeded.,0.5011157775544262,0.01127012191978211,1.2868033560376304e-08,0.0014187106074659023,0.0004331969546699131,3.9059738594969494e-09,110906.2605774081,0.37563547398895025,26.3289473708719,80,81,2
COMPLETED,,1.9,0.175,0.5024178582709946,0.0101968564478816,0.5037563443183899,0.0082488218322396,0.0023635532071039403,0.4637563443183899,0.5437563443183899,1e-06,0.0382488218322396,False,Maximum number of function evaluations has been exceeded.,0.5024178684512975,0.010196864503043706,1.2981687269618983e-08,0.002363554081052982,0.000733772821546763,4.0343580589045545e-09,181880.9364050358,0.3956448081880808,27.635170706547797,80,81,2
COMPLETED,,1.9,0.18,0.5036903056394091,0.009096481823104,0.5054158568382263,0.0069106630980968,0.002784839391837829,0.46541585683822634,0.5454158568382264,1e-06,0.0369106630980968,False,Maximum number of function evaluations has been exceeded.,0.5036903137961009,0.009096492455358535,1.3400614055807914e-08,0.0027848426830424113,0.0008786900980803903,4.318352884003332e-09,203478.0671434614,0.40253598522394896,28.0330109288916,80,81,2
COMPLETED,,1.9,0.185,0.5049342833085814,0.0079708512569397,0.5067079067230225,0.0059487270191311,0.0026897446810778703,0.4667079067230225,0.5467079067230225,1e-06,0.0359487270191311,False,Maximum number of function evaluations has been exceeded.,0.5049342857588023,0.007970836042139544,1.541083146088054e-08,0.002689731627068671,0.0008638750590186635,4.8791859134307495e-09,177053.11384850237,0.24020128976553679,28.277262927033007,80,81,2
COMPLETED,,1.9,0.19,0.5061508958929851,0.0068216808151174,0.5076106786727905,0.0052702967077493,0.0021302014958239795,0.46761067867279055,0.5476106786727906,1e-06,0.035270296707749296,False,Maximum number of function evaluations has been exceeded.,0.506150901867708,0.006821692366953246,1.3005469014560905e-08,0.002130205814482242,0.0006980242142362284,4.520033395786241e-09,154428.9949023286,0.2432158887386322,28.804745378904045,80,81,2
COMPLETED,,1.9,0.195,0.5073411990251013,0.0056505720007862,0.5081757307052612,0.0047944705002009,0.0011955554794717423,0.46817573070526125,0.5481757307052613,1e-06,0.0347944705002009,False,Maximum number of function evaluations has been exceeded.,0.5073411837955873,0.005650576347654748,1.5837719606747666e-08,0.0011955692227934357,0.0004005499777769359,5.34105786478133e-09,74994.50257188609,0.4436849672347307,30.617806939408183,80,81,2
COMPLETED,,1.9,0.2,0.5085061968756752,0.004459012725829,0.5084971189498901,0.0044592977501451,9.082399210575123e-06,0.46849711894989016,0.5484971189498902,1e-06,0.0344592977501451,False,Maximum number of function evaluations has been exceeded.,0.5085062127620211,0.004459005679918704,1.737874673643114e-08,9.098501200245682e-06,3.115560846377042e-06,5.978624968414061e-09,521.1166217712266,0.4547627018764615,30.345239059999585,80,81,1
COMPLETED,,1.9,0.205,0.5096468519455932,0.0032484016832047,0.508672297000885,0.0042207255028188,0.0013766520803907532,0.46867229700088503,0.548672297000885,1e-06,0.0342207255028188,False,Maximum number of function evaluations has been exceeded.,0.5096468684940005,0.0032484106029859973,1.8799262829327632e-08,0.0013766574953961146,0.00048381183672157945,7.0800989424981556e-09,68334.05022315554,0.4621974481269717,29.82071584649384,80,81,2
COMPLETED,,1.9,0.21,0.5107640788912239,0.0020200312725903,0.5087730288505554,0.0040488434024155,0.0028425972142693294,0.46877302885055544,0.5487730288505555,1e-06,0.0340488434024155,False,Maximum number of function evaluations has been exceeded.,0.5107640673083933,0.0020200417174571963,1.5596705062569595e-08,0.00284258164658099,0.0010234843121378488,2.805983713025458e-09,364750.62466927554,0.47282800544053316,32.16735448874533,80,81,2
COMPLETED,,1.9,0.215,0.51185864489249,0.0007752887358164,0.5088338851928711,0.0039239255711436,0.004366129311096723,0.4688338851928711,0.5488338851928711,1e-06,0.0339239255711436,False,Maximum number of function evaluations has been exceeded.,0.511858722244133,0.0007751183984036391,1.8707782032549397e-07,0.0043663057380107185,0.0016102140732690844,6.20917445187483e-09,259328.20630975958,0.24884215276688337,34.33558956999332,80,81,2
