status,error,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,pinn_spectral_error,cr_lower,cr_upper,ci_lower,ci_upper,optimizer_success,optimizer_message,cr_corrected,ci_corrected,corrected_spectral_error,delta_c_from_pinn,initial_mismatch,corrected_mismatch,mismatch_reduction,initial_evaluation_seconds,optimization_seconds,nfev_reported,nfev_counted,nit
COMPLETED,,1.05,0.05,3.9623304327421566e-10,0.0216720758392142,-0.0204931274056434,0.0254718326032161,0.020842419211061353,0.0,0.0195068725943566,1e-06,0.0554718326032161,False,Maximum number of function evaluations has been exceeded.,3.852971533867939e-08,0.021672060140572942,4.123845061755062e-08,0.02084245956747929,0.0005141204456429528,5.675898034256948e-09,90579.57745892773,0.2020387500524521,14.219644323922694,80,81,2
COMPLETED,,1.05,0.055,4.874110988424948e-10,0.0242070753369968,-0.0178495496511459,0.0268959738314151,0.018050944996374708,0.0,0.0221504503488541,1e-06,0.0568959738314151,False,Maximum number of function evaluations has been exceeded.,4.826897308456187e-08,0.024207076870101735,4.78061510324336e-08,0.01805099201646481,0.00038958824025081464,7.035210136446442e-09,55376.915926437374,0.1852390682324767,15.294568244367838,80,81,1
COMPLETED,,1.05,0.06,4.818920439745717e-10,0.026850382922755,-0.0149231255054473,0.0286069195717573,0.015026147551295077,0.0,0.025076874494552703,1e-06,0.0586069195717573,False,Maximum number of function evaluations has been exceeded.,5.709618877428975e-08,0.026850397449514524,5.844831337643207e-08,0.015026202079291421,0.00026929422916181805,9.070314436450513e-09,29689.624438995852,0.18342872243374586,14.714438645169139,80,81,1
COMPLETED,,1.05,0.065,5.69640621572975e-10,0.0296177538519902,-0.0116932839155197,0.0306350868195295,0.011737455789809536,0.0,0.0283067160844803,0.0006350868195294998,0.0606350868195295,False,Maximum number of function evaluations has been exceeded.,6.445004163061721e-08,0.02961774329876186,6.474624515343411e-08,0.011737520344503082,0.0001631982766470282,1.0498286313545072e-08,15545.230123555208,0.17936038505285978,14.414441310800612,80,81,1
COMPLETED,,1.05,0.07,4.743779014405197e-10,0.0325278215395402,-0.0081394165754318,0.0330083817243576,0.008153591110790667,0.0,0.0318605834245682,0.003008381724357599,0.0630083817243576,False,Maximum number of function evaluations has been exceeded.,3.9208310165975314e-08,0.032527829829053265,3.961102795283264e-08,0.008153629288824156,7.97994577013752e-05,6.63972840442646e-09,12018.482209027687,0.1790021751075983,14.27763354871422,80,81,1
COMPLETED,,1.05,0.075,3.8536165476661847e-10,0.0356029301043054,-0.004243217408657,0.0357492268085479,0.004245739037334814,0.0,0.035756782591343,0.005749226808547898,0.06574922680854789,False,Maximum number of function evaluations has been exceeded.,4.807936407023285e-08,0.03560294490399881,4.9937448787315255e-08,0.004245786193089473,2.4880678154735437e-05,8.53400917738047e-09,2915.4735643690283,0.1772998496890068,14.159688450396061,80,81,1
COMPLETED,,1.05,0.08,3.0085735893864327e-10,0.03887030128094,7.562339305877685e-06,0.0388709791004657,7.592355682282607e-06,0.0,0.04000756233930588,0.0088709791004657,0.06887097910046569,False,Maximum number of function evaluations has been exceeded.,5.62973773749636e-08,0.03887028617791731,5.799751329486501e-08,7.537957753298035e-06,1.308371064686268e-06,1.0018824051037529e-08,130.59128077518994,0.17623960692435503,14.108672350645065,80,81,1
COMPLETED,,1.05,0.085,2.2233667796181407e-10,0.0423637176862112,0.0046151578426361,0.042374599725008,0.004615170449612473,0.0,0.0446151578426361,0.012374599725007998,0.072374599725008,False,Maximum number of function evaluations has been exceeded.,6.278104015388503e-08,0.0423637209353839,6.264302438288018e-08,0.004615107883422767,0.0007879502119895089,1.0835888873479924e-08,72716.71213959767,0.17544859647750854,14.005039136856794,80,81,1
COMPLETED,,1.05,0.09,1.56395609562825e-10,0.0461260301076705,0.0095682591199874,0.0462456010282039,0.009569006050755315,0.0,0.0495682591199874,0.016245601028203903,0.07624560102820391,False,Maximum number of function evaluations has been exceeded.,5.869521212294171e-08,0.04612601997596972,5.9409127241203554e-08,0.009568947643117462,0.001599968876345883,1.018299562494714e-08,157121.6305372996,0.1755095301195979,13.96588224824518,80,81,1
COMPLETED,,1.05,0.095,4.0200318217775485e-10,0.0502130418038415,0.0148402005434036,0.0504525415599346,0.014842132608556952,0.0,0.0548402005434036,0.020452541559934603,0.0804525415599346,False,Maximum number of function evaluations has been exceeded.,1.4794366528202152e-07,0.05021303096500175,1.4793925274347007e-07,0.014841985261011582,0.002400933227082414,2.4893277329970323e-08,96449.06113634964,0.17493600398302078,13.881375015713274,80,81,1
