status,error,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,pinn_spectral_error,cr_lower,cr_upper,ci_lower,ci_upper,optimizer_success,optimizer_message,cr_corrected,ci_corrected,corrected_spectral_error,delta_c_from_pinn,initial_mismatch,corrected_mismatch,mismatch_reduction,initial_evaluation_seconds,optimization_seconds,nfev_reported,nfev_counted,nit
COMPLETED,,1.4,0.05,0.2284495959648327,0.0805532227768955,0.2430750429630279,0.096256710588932,0.021459338977699104,0.2030750429630279,0.2830750429630279,0.066256710588932,0.126256710588932,False,Maximum number of function evaluations has been exceeded.,0.22844960215344357,0.08055323917580626,1.7527783047677238e-08,0.021459322759526035,0.0009993435772673589,7.664342501563432e-10,1303886.8984045337,0.19179354701191187,14.491424035746604,80,81,2
COMPLETED,,1.4,0.055,0.2358953607948584,0.080102566612191,0.245416909456253,0.0922431051731109,0.015428952182844053,0.205416909456253,0.285416909456253,0.06224310517311091,0.1222431051731109,False,Maximum number of function evaluations has been exceeded.,0.2358953682231825,0.08010258772746033,2.238380212364473e-08,0.015428930983746337,0.0008258446193933509,1.1398283846072155e-09,724534.1759741636,0.18098823400214314,14.599443356972188,80,81,2
COMPLETED,,1.4,0.06,0.2427904346731541,0.0794784192111629,0.2484171092510223,0.088210329413414,0.010387767930860095,0.2084171092510223,0.2884171092510223,0.058210329413414,0.118210329413414,False,Maximum number of function evaluations has been exceeded.,0.24279044006107084,0.0794784096357639,1.0987170380048687e-08,0.010387773061463471,0.0006332452813841168,6.889196936288461e-10,919185.9185335994,0.18241805769503117,14.773252099752426,80,81,2
COMPLETED,,1.4,0.065,0.2492077677030013,0.0787065106241082,0.2520430088043213,0.0842411667108535,0.006218601941044379,0.21204300880432128,0.29204300880432127,0.054241166710853495,0.11424116671085349,False,Maximum number of function evaluations has been exceeded.,0.24920775665036013,0.07870650921105504,1.1142602744502747e-08,0.006218608237911168,0.0004284657328266437,7.704333325342838e-10,556136.0272630432,0.1852010367438197,14.862419140990824,80,81,2
COMPLETED,,1.4,0.07,0.2552060077707218,0.0778073448700083,0.2562211155891418,0.0804135501384735,0.0027969179080540025,0.21622111558914178,0.29622111558914177,0.0504135501384735,0.1104135501384735,False,Maximum number of function evaluations has been exceeded.,0.25520600804884636,0.07780735821034303,1.334323363645902e-08,0.002796905376414629,0.00021637477685448726,1.015053877647436e-09,213165.8049087734,0.1887005059979856,14.977869636844844,80,81,2
COMPLETED,,1.4,0.075,0.2608331471465684,0.0767975321674059,0.2608434855937958,0.076796144247055,1.043119427359331e-05,0.22084348559379577,0.30084348559379576,0.046796144247055,0.106796144247055,True,Optimization terminated successfully.,0.2608331417631015,0.07679752849567849,6.516386879585337e-09,1.0436042242303168e-05,9.006589596378126e-07,5.730053447678564e-10,1571.8159836758584,0.19007729832082987,14.84533152775839,79,80,2
COMPLETED,,1.4,0.08,0.2661290557451206,0.0756907205857265,0.2657780349254608,0.0734454914927482,0.0022725028703591867,0.2257780349254608,0.3057780349254608,0.043445491492748206,0.1034454914927482,False,Maximum number of function evaluations has been exceeded.,0.2661290462198653,0.07569071726197804,1.0088498028147026e-08,0.0022724981152056436,0.00021774260208040606,9.69928513365311e-10,224493.45398138234,0.19076940137892962,15.088290586136281,80,81,2
COMPLETED,,1.4,0.085,0.2711272889364555,0.0744982632586794,0.2708815336227417,0.0704039707779884,0.004101661442837698,0.2308815336227417,0.3108815336227417,0.04040397077798841,0.1004039707779884,False,Maximum number of function evaluations has been exceeded.,0.2711272980051226,0.07449935585167007,1.0926306255878228e-06,0.004102752616644298,0.0004336482099019677,1.1464740919589622e-07,3782.4510204238445,0.18939719907939434,15.260022411122918,80,81,1
COMPLETED,,1.4,0.09,0.275856408505958,0.0732297072154944,0.2760133147239685,0.0676985830068588,0.0055333493087464875,0.2360133147239685,0.3160133147239685,0.0376985830068588,0.0976985830068588,False,Maximum number of function evaluations has been exceeded.,0.2758564216326015,0.07322868765518835,1.0196448040642958e-06,0.005532329786228836,0.0006417691022188311,1.168928899788147e-07,5490.232146156565,0.1910114921629429,15.301776386797428,80,81,1
COMPLETED,,1.4,0.095,0.2803409677479588,0.071893158111068,0.2810474038124084,0.0653408393263816,0.006590290841025857,0.24104740381240838,0.32104740381240837,0.0353408393263816,0.0953408393263816,False,Maximum number of function evaluations has been exceeded.,0.28034097197330826,0.07188954306865702,3.6150448803207323e-06,0.006586696186054625,0.0008335301491826141,4.5017507059247375e-07,1851.568875383544,0.19900661800056696,15.44157167011872,80,81,1
