status,error,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,pinn_spectral_error,cr_lower,cr_upper,ci_lower,ci_upper,optimizer_success,optimizer_message,cr_corrected,ci_corrected,corrected_spectral_error,delta_c_from_pinn,initial_mismatch,corrected_mismatch,mismatch_reduction,initial_evaluation_seconds,optimization_seconds,nfev_reported,nfev_counted,nit
COMPLETED,,1.8,0.05,0.423279653101262,0.0249681660027234,0.4287771582603454,0.0493951104581356,0.02503793478707742,0.3887771582603454,0.4687771582603454,0.0193951104581356,0.0793951104581356,False,Maximum number of function evaluations has been exceeded.,0.42327914600636346,0.02528267200981469,0.00031450641589917,0.024731312675816464,0.001661863072379077,2.2999090179620876e-05,72.25777452064722,0.2181289615109563,17.41334544494748,80,81,1
COMPLETED,,1.8,0.055,0.4261667128438313,0.0258867984148366,0.4291973114013672,0.0418832749128341,0.016281025396697988,0.3891973114013672,0.46919731140136717,0.0118832749128341,0.0718832749128341,False,Maximum number of function evaluations has been exceeded.,0.4261666994165279,0.02588679416653277,1.4083343406311123e-08,0.016281032070155764,0.0012539378137449762,1.159504327529527e-09,1081442.9786705945,0.22566756885498762,17.472398307174444,80,81,2
COMPLETED,,1.8,0.06,0.4289832943873604,0.0266052142001806,0.4303569495677948,0.0358198210597038,0.009316432156695304,0.3903569495677948,0.4703569495677948,0.0058198210597038,0.0658198210597038,False,Maximum number of function evaluations has been exceeded.,0.4289833063857643,0.026605555742732677,3.41753239306345e-07,0.009316092578064893,0.0008250114944392339,3.1802009775172626e-08,25942.11813252471,0.21455542091280222,17.983612396754324,80,81,1
COMPLETED,,1.8,0.065,0.4317254458441309,0.0271417206997999,0.4321353435516357,0.0310881361365318,0.003967645514646374,0.3921353435516357,0.47213534355163567,0.0010881361365317997,0.0610881361365318,False,Maximum number of function evaluations has been exceeded.,0.43172544065317026,0.02714171433918886,8.209960134284756e-09,0.003967652377504088,0.0004005040076346001,8.565884176933561e-10,467557.11303345405,0.236071296967566,18.316575890406966,80,81,2
COMPLETED,,1.8,0.07,0.4343910527812386,0.0275128617079455,0.4343919456005096,0.0275161657482385,3.4225441572705663e-06,0.3943919456005096,0.47439194560050957,1e-06,0.0575161657482385,True,Optimization terminated successfully.,0.43439103723155204,0.027512866581814538,1.6295623671310805e-08,3.421934139642602e-06,3.9042352513282197e-07,1.8433263268540326e-09,211.8038024223035,0.24256853386759758,18.366041826084256,77,78,2
COMPLETED,,1.8,0.075,0.4369793799676383,0.0277335285499966,0.4369625151157379,0.0249223057180643,0.002811273418578684,0.39696251511573794,0.4769625151157379,1e-06,0.0549223057180643,False,Maximum number of function evaluations has been exceeded.,0.4369793811354343,0.027733503803704904,2.4773830954274905e-08,0.0028112486797382034,0.0003590845463999407,3.10352141072469e-09,115702.2939036507,0.24924911838024855,18.883107996545732,80,81,1
COMPLETED,,1.8,0.08,0.4394907156196457,0.0278170962157899,0.4396774470806122,0.0231366287916898,0.0046841908529197335,0.3996774470806122,0.47967744708061216,1e-06,0.0531366287916898,False,Maximum number of function evaluations has been exceeded.,0.43949072074598944,0.027814839061037256,2.2571605739912096e-06,0.004681935288774253,0.0006628012619850362,3.0652980222617114e-07,2162.273479353216,0.25034134835004807,19.316075215116143,80,81,1
COMPLETED,,1.8,0.085,0.441926097080702,0.0277755688738338,0.4423910677433014,0.0220116879791021,0.00578260500862122,0.4023910677433014,0.48239106774330137,1e-06,0.0520116879791021,False,Maximum number of function evaluations has been exceeded.,0.44192608321341603,0.02777202769150908,3.5412094767937594e-06,0.005779076415428822,0.0008955317944504487,5.198158300939516e-07,1722.7866921416958,0.21487254835665226,19.647741213440895,80,81,1
COMPLETED,,1.8,0.09,0.4442871003458634,0.0276197212582427,0.4450002014636993,0.0214269291609525,0.006233713753816324,0.4050002014636993,0.48500020146369927,1e-06,0.0514269291609525,False,Maximum number of function evaluations has been exceeded.,0.4442870928988075,0.027619235318988584,4.859963141143113e-07,0.006233231856763682,0.0010432588365482977,7.672816675980412e-08,13596.816926620924,0.2612435556948185,19.514742565341294,80,81,1
COMPLETED,,1.8,0.095,0.4465756797669952,0.0273592335192714,0.4474459886550903,0.0212871450930833,0.006134141783179193,0.4074459886550903,0.48744598865509026,1e-06,0.0512871450930833,False,Maximum number of function evaluations has been exceeded.,0.4465756874986714,0.027364647562347532,5.414048596847455e-06,0.006139500009510296,0.001096087018952588,9.135421472315086e-07,1199.8209631315665,0.2665381943807006,20.142685170285404,80,81,1
