status,error,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,pinn_spectral_error,cr_lower,cr_upper,ci_lower,ci_upper,optimizer_success,optimizer_message,cr_corrected,ci_corrected,corrected_spectral_error,delta_c_from_pinn,initial_mismatch,corrected_mismatch,mismatch_reduction,initial_evaluation_seconds,optimization_seconds,nfev_reported,nfev_counted,nit
COMPLETED,,1.25,0.05,0.1201816977923283,0.124879699478062,0.144600972533226,0.1392423659563064,0.02832996941821029,0.104600972533226,0.18460097253322602,0.1092423659563064,0.1692423659563064,False,Maximum number of function evaluations has been exceeded.,0.12018169612887937,0.12487970324412084,4.1170695332041676e-09,0.02832996894272717,0.001059195125135397,1.9748045719605067e-10,5363544.019365272,0.16943636629730463,13.486781363375485,80,81,2
COMPLETED,,1.25,0.055,0.1315006710691934,0.1227178308038424,0.1477908492088318,0.1343593895435333,0.02002238231856605,0.10779084920883178,0.1877908492088318,0.1043593895435333,0.1643593895435333,False,Maximum number of function evaluations has been exceeded.,0.13150066224213122,0.12271783580679158,1.0146256795175846e-08,0.02002238659140079,0.000877426602520889,3.361583863464316e-10,2610158.3008452677,0.17089420650154352,13.592872033827007,80,81,2
COMPLETED,,1.25,0.06,0.1415835703820256,0.1205332173435139,0.1516207456588745,0.1292889267206192,0.013319434456256649,0.1116207456588745,0.19162074565887452,0.0992889267206192,0.1592889267206192,False,Maximum number of function evaluations has been exceeded.,0.14158356084149673,0.1205332026093881,1.7553237706679755e-08,0.013319451331424755,0.0006747492808366444,8.978730168929374e-10,751497.4480150812,0.1717644203454256,13.68657557014376,80,81,2
COMPLETED,,1.25,0.065,0.1506951271590784,0.1183283201500585,0.1560811996459961,0.1241203695535659,0.007909337085179905,0.11608119964599609,0.1960811996459961,0.0941203695535659,0.1541203695535659,False,Maximum number of function evaluations has been exceeded.,0.1506951146861655,0.11832830479855498,1.9779843685934793e-08,0.007909356820927535,0.0004581016582534543,1.1315707113775933e-09,404836.9701048144,0.17308130022138357,13.770298182033002,80,81,2
COMPLETED,,1.25,0.07,0.1590167354190658,0.1161052740495865,0.1611271202564239,0.1189484149217605,0.0035407872261373342,0.12112712025642389,0.2011271202564239,0.0889484149217605,0.1489484149217605,False,Maximum number of function evaluations has been exceeded.,0.15901671189104197,0.11610526525465079,2.5118097056044138e-08,0.0035408083114255307,0.0002323362928304908,1.6364193125348529e-09,141978.45934157076,0.17528827022761106,13.880564901046455,80,81,2
COMPLETED,,1.25,0.075,0.1666794103673964,0.1138659433849943,0.1666794419288635,0.1138670295476913,1.086621153196128e-06,0.1266794419288635,0.2066794419288635,0.0838670295476913,0.14386702954769132,True,Optimization terminated successfully.,0.16667941974626893,0.11386594110983968,9.650884864209663e-09,1.0886638711533131e-06,8.013412235297066e-08,7.236459796759896e-10,110.7366372557621,0.17488219868391752,13.235319378785789,76,77,2
COMPLETED,,1.25,0.08,0.1737816116443685,0.1116119624209407,0.1726301610469818,0.108964167535305,0.002887326831971181,0.1326301610469818,0.21263016104698182,0.078964167535305,0.138964167535305,False,Maximum number of function evaluations has been exceeded.,0.1737816192558423,0.1116119681597291,9.532482651742909e-09,0.0028873351300901743,0.00023773254972163653,7.80619121960522e-10,304543.58986822166,0.17632358986884356,14.016043311916292,80,81,2
COMPLETED,,1.25,0.085,0.1803996647081534,0.1093447708499076,0.1788509786128997,0.1043174341320991,0.005260469855046956,0.1388509786128997,0.2188509786128997,0.0743174341320991,0.1343174341320991,False,Maximum number of function evaluations has been exceeded.,0.18039965928962096,0.10934475540059531,1.637198045880697e-08,0.005260453495196415,0.00048042697644683696,1.5019108231143052e-09,319877.1651772519,0.1768711693584919,14.074082845821977,80,81,2
COMPLETED,,1.25,0.09,0.1865942290233666,0.1070656426164781,0.1852041482925415,0.0999904572963714,0.007210448789920388,0.1452041482925415,0.2252041482925415,0.0699904572963714,0.1299904572963714,False,Maximum number of function evaluations has been exceeded.,0.1865942445338181,0.10706564810308566,1.6452263326789452e-08,0.007210457163829855,0.0007260252278612453,1.6408029680741159e-09,442481.66415338323,0.1794460080564022,14.16966104786843,80,81,2
COMPLETED,,1.25,0.095,0.1924145092150188,0.1047757098421646,0.1915540695190429,0.096030369400978,0.008787567120805664,0.1515540695190429,0.23155406951904292,0.066030369400978,0.126030369400978,False,Maximum number of function evaluations has been exceeded.,0.1924145040820436,0.10478105205193271,5.342212234078264e-06,0.008792883173051137,0.0009698468355435902,5.838647682401328e-07,1661.081278233096,0.1802075607702136,14.2680828217417,80,81,1
