ranking_metric,stage,dataset,source_id,chart,Mach,alpha,ranking_value
bc_kappa_rmse,joint,T401,289,C22,1.5,0.25,0.003156129786410253
bc_kappa_rmse,joint,T401,87,C02,1.05,0.255,0.0029848961004419875
bc_q_rmse,joint,T401,68,C01,1.2,0.205,0.004739582511244933
bc_q_rmse,joint,V64,11,C01,1.2,0.19,0.004733710773266401
bc_q_rmse,joint,T401,296,C22,1.55,0.255,0.004676401110314845
bc_q_rmse,joint,T401,295,C22,1.55,0.24,0.004606860970903669
bc_q_rmse,joint,V64,47,C22,1.6,0.22,0.0044082575828025185
bc_q_rmse,joint,V64,46,C22,1.55,0.26,0.004317489549172317
bc_q_rmse,joint,T401,289,C22,1.5,0.25,0.004031224991702117
bc_q_rmse,joint,T401,290,C22,1.5,0.26,0.0038758267556372123
bc_q_rmse,joint,T401,285,C22,1.45,0.265,0.0037386298111016856
bc_q_rmse,joint,T401,63,C01,1.2,0.15,0.0035217382207353306
bc_q_rmse,joint,V64,5,C01,1.0,0.145,0.003348559805192261
bc_q_rmse,joint,T401,30,C01,1.0,0.15,0.0032214991364304785
bc_q_rmse,joint,V64,6,C01,1.0,0.155,0.0031004833524546694
bc_q_rmse,joint,T401,31,C01,1.0,0.16,0.002957683557276716
bc_q_rmse,joint,V64,13,C02,1.0,0.315,0.002878972649010754
bc_q_rmse,joint,T401,59,C01,1.15,0.195,0.0025198831270350094
bc_q_rmse,joint,V64,12,C02,1.0,0.25,0.002433868409470657
bc_q_rmse,joint,T401,364,C31,1.75,0.17,0.0023908653152733793
bc_q_rmse,joint,T401,283,C22,1.45,0.24,0.00237081795086026
bc_q_rmse,joint,V64,10,C01,1.15,0.2,0.0023641102536981285
bc_kappa_max_abs,joint,V64,11,C01,1.2,0.19,0.007470138370990753
bc_kappa_max_abs,joint,T401,68,C01,1.2,0.205,0.006504133343696594
bc_kappa_max_abs,joint,T401,48,C01,1.1,0.165,0.0063363611698150635
bc_kappa_max_abs,joint,T401,63,C01,1.2,0.15,0.006298784166574478
bc_kappa_max_abs,joint,T401,387,C31,1.9,0.18,0.005971454083919525
bc_kappa_max_abs,joint,T401,6,C00,1.0,0.125,0.005820486694574356
bc_kappa_max_abs,joint,T401,296,C22,1.55,0.255,0.005770750343799591
bc_kappa_max_abs,joint,T401,52,C01,1.15,0.12,0.00529804453253746
bc_kappa_max_abs,joint,T401,295,C22,1.55,0.24,0.005196087062358856
bc_kappa_max_abs,joint,V64,46,C22,1.55,0.26,0.00500999391078949
bc_kappa_max_abs,joint,V64,15,C02,1.05,0.225,0.004844442009925842
bc_kappa_max_abs,joint,T401,45,C01,1.1,0.12,0.004837144166231155
bc_kappa_max_abs,joint,V64,14,C02,1.05,0.22,0.004749909043312073
bc_kappa_max_abs,joint,T401,86,C02,1.05,0.245,0.0045318156480789185
bc_kappa_max_abs,joint,V64,13,C02,1.0,0.315,0.004453083500266075
bc_kappa_max_abs,joint,T401,393,C32,1.65,0.24,0.004195064306259155
bc_kappa_max_abs,joint,V64,8,C01,1.05,0.14,0.004081506282091141
bc_kappa_max_abs,joint,T401,87,C02,1.05,0.255,0.004001997411251068
bc_kappa_max_abs,joint,V64,5,C01,1.0,0.145,0.0039270780980587006
bc_kappa_max_abs,joint,T401,289,C22,1.5,0.25,0.0038519054651260376
bc_q_max_abs,joint,T401,68,C01,1.2,0.205,0.006700009107589722
bc_q_max_abs,joint,V64,11,C01,1.2,0.19,0.006569087505340576
bc_q_max_abs,joint,T401,296,C22,1.55,0.255,0.006436169147491455
bc_q_max_abs,joint,T401,295,C22,1.55,0.24,0.0063724517822265625
