stage,dataset,source_id,chart,Mach,alpha,n_xi,xi_boundary,mapping_scale,cr_pred,ci_pred,r_kappa_abs_median,r_kappa_abs_p90,r_kappa_abs_p95,r_kappa_abs_max,r_q_abs_median,r_q_abs_p90,r_q_abs_p95,r_q_abs_max,r_logamp_abs_median,r_logamp_abs_p90,r_logamp_abs_p95,r_logamp_abs_max,r_kappa_normalized_rms,r_q_normalized_rms,r_logamp_normalized_rms,bc_kappa_rmse,bc_q_rmse,bc_kappa_max_abs,bc_q_max_abs,reference_ci
joint,V64,0,C00,1.05,0.105,256,0.9850000143051147,3.0,0.009603679180145264,0.05192423239350319,0.005118375178426504,0.014133142307400703,0.0176667096093297,0.03201982378959656,0.004342436790466309,0.012346060015261173,0.014381557237356901,0.025714939460158348,0.00370823557022959,0.009325608611106873,0.010839087888598442,0.01552554965019226,0.008619471179349084,0.007238130979533693,0.005484512921015172,0.0017989609373988144,0.000845831400570681,0.002140423282980919,0.001158144325017929,0.0596915838649033
joint,V64,1,C00,1.1,0.09,256,0.9850000143051147,3.0,0.046199411153793335,0.10239333659410477,0.0046399254351854324,0.012077001389116049,0.013710696715861559,0.020392712205648422,0.004790820647031069,0.01188017800450325,0.013045996660366654,0.018834877759218216,0.0032617353135719895,0.008278955239802599,0.010372774209827185,0.015653496608138084,0.007130689634689309,0.006838186407137684,0.004871391372507046,0.0009919137865730479,0.0010179666469323633,0.0013896021991968155,0.0012729652225971222,0.1849919122211095
joint,V64,2,C00,1.1,0.105,256,0.9850000143051147,3.0,0.06554710865020752,0.10136478394269943,0.004742139717563987,0.012266069650650024,0.014461175305768847,0.02705741487443447,0.005308513296768069,0.011898713186383247,0.01576637802645564,0.02570980042219162,0.0034045579377561808,0.00828737486153841,0.009335818002000451,0.027539383620023727,0.007287210355543763,0.007396546756246748,0.0053487503982320725,0.0007901122286278036,0.0008770111981417948,0.0010586045682430267,0.0011513829231262207,0.1377614529920954
joint,V64,3,C00,1.1,0.115,256,0.9850000143051147,3.0,0.07631394267082214,0.10816285759210587,0.00470139249227941,0.01369459368288517,0.01641662046313286,0.022712165489792824,0.0043214058969169855,0.012688805814832449,0.014942452777177095,0.029418276622891426,0.003413999453186989,0.008489662315696478,0.010132671799510717,0.028489748015999794,0.007910221134172815,0.007557748799617379,0.00521717695972818,0.0011330894580966339,0.0006339969187174709,0.001573098823428154,0.0007616691291332245,0.1316074319054831
joint,V64,4,C00,1.2,0.075,256,0.9850000143051147,3.0,0.12534627318382263,0.14678707718849182,0.00434135808609426,0.012700128834694624,0.014435905730351806,0.030376922339200974,0.004613560624420643,0.012506102677434683,0.014116662088781595,0.019884923473000526,0.0032149412436410785,0.009252038784325123,0.011015271069481969,0.026115745306015015,0.007246825235180608,0.007045355746256552,0.0057264981432714685,0.0009154338031408405,0.000302339435872846,0.0011052414774894714,0.0004147663712501526,0.1278442189910901
joint,T401,6,C00,1.0,0.125,256,0.9850000143051147,3.0,-0.008868813514709473,0.020179303362965584,0.012344921939074993,0.029789126478135586,0.037207240238785744,0.05390520021319389,0.010399863589555025,0.030106984078884125,0.03455106168985367,0.05504811182618141,0.0062097543850541115,0.016551603563129902,0.019122765865176916,0.022734206169843674,0.01762808712880581,0.017048438185411338,0.009405389657410064,0.004131222694775706,0.00036229446669807,0.005820486694574356,0.0003726202994585037,0.0194746295545811
joint,T401,8,C00,1.05,0.06,256,0.9850000143051147,3.0,-0.016061872243881226,0.009249093011021614,0.004030448384582996,0.012038645800203085,0.015899961814284325,0.029221098870038986,0.004738209769129753,0.013714758679270744,0.014928205404430628,0.04131181165575981,0.004340111976489425,0.010880122892558575,0.012770758708938956,0.01809822767972946,0.007348386805557668,0.008245298051635076,0.006394212693397527,0.001002266732666891,0.0013637999546962905,0.0013402848271653056,0.001730356365442276,0.026850382922755
joint,T401,12,C00,1.05,0.1,256,0.9850000143051147,3.0,0.007102102041244507,0.050864819437265396,0.0049975302536040545,0.013622003141790628,0.01590468781068921,0.0299729872494936,0.0054909170139580965,0.015485319308936596,0.018873202614486217,0.028362000361084938,0.0032069029984995723,0.008251822553575039,0.009438000386580825,0.015664467588067055,0.00832832374132089,0.008749587599314967,0.004907526489244568,0.0017129461526909618,0.001105674893995069,0.0020576249808073044,0.0015101023018360138,0.0546998175409827
joint,T401,14,C00,1.1,0.095,256,0.9850000143051147,3.0,0.05458453297615051,0.1018923670053482,0.003878135234117508,0.011694394052028656,0.014533889945596457,0.019211210310459137,0.004296711878851056,0.011149457655847073,0.013566150795668364,0.02175753377377987,0.003004940925166011,0.00805088086053729,0.009204988135024905,0.017171764746308327,0.0067903481146966895,0.006782200250581437,0.004866174761149938,0.0008593435781893675,0.0011649115184158459,0.0012122560292482376,0.0013041310012340546,0.1439719750936911
joint,T401,15,C00,1.1,0.11,256,0.9850000143051147,3.0,0.06999462842941284,0.10353874415159225,0.004572176607325673,0.011958889197558165,0.016124343499541283,0.025540770962834358,0.004493305459618568,0.012143572326749563,0.01646489603444934,0.02615102007985115,0.003367449389770627,0.008013062179088593,0.00966488802805543,0.014037888497114182,0.0074141779313784024,0.007391864600133644,0.004975757521047027,0.0009369144279642643,0.0006637115486710116,0.0012278035283088684,0.0009230971336364746,0.1346775747592678
joint,T401,16,C00,1.15,0.06,256,0.9850000143051147,3.0,0.026089265942573547,0.11558069288730621,0.003967502037994564,0.010079680476337671,0.013669510604813695,0.03167339041829109,0.004800461698323488,0.01234855456277728,0.014984816079959273,0.022220823913812637,0.0029966922011226416,0.0074959187768399715,0.00963192549534142,0.021504351869225502,0.006650397911904526,0.007256777526862695,0.005045184289830854,0.0014283402177525802,0.00046081143053400525,0.0018370971083641052,0.0004674755036830902,0.1998472244836177
joint,T401,24,C00,1.2,0.08,256,0.9850000143051147,3.0,0.14128436148166656,0.14307813346385956,0.004534809850156307,0.012297480832785368,0.01461832202039659,0.023854698985815048,0.004006043076515198,0.010966495145112276,0.012377684703096747,0.01919538341462612,0.003979708533734083,0.009626093320548534,0.011541594285517931,0.029804307967424393,0.007448926101089156,0.006514150168628755,0.006110340713168525,0.0009139922616511995,0.0003801490228386982,0.0011629369109869003,0.0005110949277877808,0.1252466098615217
joint,V64,5,C01,1.0,0.145,256,0.9850000143051147,3.0,0.0029645562171936035,0.0433887280523777,0.00883431313559413,0.027301215566694736,0.03330712020397186,0.05313149467110634,0.00926197599619627,0.022694984450936317,0.02558486210182309,0.04172535613179207,0.005892779678106308,0.016865369863808155,0.021390716079622507,0.03705115243792534,0.014910736699994789,0.013111922478107397,0.010203926221618103,0.003352922242856673,0.003348559805192261,0.0039270780980587006,0.003473760560154915,0.0290465325718309
