stage,dataset,chart,source,metric,n,median,p90,p95,max
joint,T401,C00,independent_xi_pointwise,r_kappa_abs,1792,0.004917921498417854,0.015013577044010174,0.019722408149391402,0.05390520021319389
joint,T401,C00,independent_xi_pointwise,r_q_abs,1792,0.005206542555242777,0.015063928067684173,0.019848324544727798,0.05504811182618141
joint,T401,C00,independent_xi_pointwise,r_logamp_abs,1792,0.0036351110320538282,0.009745518863201142,0.012626035604625937,0.029804307967424393
joint,T401,C01,independent_xi_pointwise,r_kappa_abs,2560,0.006894382182508707,0.01870977096259594,0.023755070380866522,0.06181013584136963
joint,T401,C01,independent_xi_pointwise,r_q_abs,2560,0.007406740915030241,0.019144292734563348,0.023588505946099722,0.05627249926328659
joint,T401,C01,independent_xi_pointwise,r_logamp_abs,2560,0.004892607219517231,0.01824827007949352,0.023898228723555775,0.06819169968366623
joint,T401,C02,independent_xi_pointwise,r_kappa_abs,3840,0.007739076390862465,0.0226893862709403,0.028122612461447705,0.152230367064476
joint,T401,C02,independent_xi_pointwise,r_q_abs,3840,0.006227042758837342,0.018195248022675515,0.02242426415905356,0.06378042697906494
joint,T401,C02,independent_xi_pointwise,r_logamp_abs,3840,0.00402473658323288,0.012516438588500023,0.016543139331042744,0.13680928945541382
joint,T401,C10,independent_xi_pointwise,r_kappa_abs,1536,0.005489778937771916,0.014370430260896683,0.018432428129017353,0.03814399242401123
joint,T401,C10,independent_xi_pointwise,r_q_abs,1536,0.005661850795149803,0.01565825566649437,0.01932134199887514,0.03601096197962761
joint,T401,C10,independent_xi_pointwise,r_logamp_abs,1536,0.0038113072514533997,0.012279873713850975,0.015957192983478308,0.03057055175304413
joint,T401,C11,independent_xi_pointwise,r_kappa_abs,2048,0.005818863632157445,0.016673019528388972,0.021348375547677278,0.040401704609394073
joint,T401,C11,independent_xi_pointwise,r_q_abs,2048,0.006107378751039505,0.016674168221652505,0.021324922330677502,0.05404749512672424
joint,T401,C11,independent_xi_pointwise,r_logamp_abs,2048,0.003640870563685894,0.010376197844743728,0.013378511928021898,0.061938267201185226
joint,T401,C12,independent_xi_pointwise,r_kappa_abs,2304,0.007579849101603031,0.019860464520752436,0.02536743627861142,0.05403584614396095
joint,T401,C12,independent_xi_pointwise,r_q_abs,2304,0.006328463088721037,0.016152852773666397,0.01939313067123294,0.04300759732723236
joint,T401,C12,independent_xi_pointwise,r_logamp_abs,2304,0.003973591607064009,0.013009122572839262,0.016644926089793444,0.06770022958517075
joint,T401,C20,independent_xi_pointwise,r_kappa_abs,1536,0.005409920122474432,0.016954148188233376,0.021880432032048702,0.05263202264904976
joint,T401,C20,independent_xi_pointwise,r_q_abs,1536,0.0055232595186680555,0.015280510764569044,0.01968075055629015,0.04767925664782524
joint,T401,C20,independent_xi_pointwise,r_logamp_abs,1536,0.003295355476438999,0.009029901586472988,0.011574624571949244,0.03295097500085831
joint,T401,C21,independent_xi_pointwise,r_kappa_abs,2048,0.006067486014217138,0.017057326063513754,0.021350408997386695,0.047891050577163696
joint,T401,C21,independent_xi_pointwise,r_q_abs,2048,0.00596706522628665,0.016631247662007808,0.02010565102100372,0.042760998010635376
joint,T401,C21,independent_xi_pointwise,r_logamp_abs,2048,0.00372036243788898,0.010083901882171628,0.012249181931838393,0.04641256481409073
joint,T401,C22,independent_xi_pointwise,r_kappa_abs,1536,0.010452816728502512,0.03198964335024357,0.04150613397359848,0.27944985032081604
joint,T401,C22,independent_xi_pointwise,r_q_abs,1536,0.008556752931326628,0.029671434313058853,0.039482091553509235,0.3290388882160187
joint,T401,C22,independent_xi_pointwise,r_logamp_abs,1536,0.005522157531231642,0.01608471106737852,0.020051256753504276,0.08191309869289398
