y,p_ref_real,p_ref_imag,q_ref_real,q_ref_imag
-12.0,-0.4236935721561981,0.8428259021055142,0.15145216110125495,0.08174539846048828
-10.5,-0.18169183250140622,0.9333578924727929,0.1692479037137165,0.038093376450198314
-9.0,0.07782910039813033,0.9553210697002228,0.17463206221742295,-0.009117861135386438
-7.5,0.3356805823008542,0.9059660507991888,0.16700115918368716,-0.05640350984132651
-6.0,0.5724898033317602,0.7878505778106005,0.14671635229466923,-0.1002154055852824
-4.5,0.7701338773053314,0.6087536220456677,0.11506281720963739,-0.1371626592692663
-3.0,0.9129145661807821,0.3816678987364239,0.07384798899792076,-0.16324681511339809
-1.5,0.9875363352591274,0.13408985723808342,0.02477925075016372,-0.15458829880979194
0.0,0.9999999999999999,0.0,0.0023317046917507244,-0.009866082637747697
1.5,1.0410979468579233,-0.08783530938333887,0.07814925494505595,-0.15069062499808633
3.0,1.1860510122403216,-0.36163055434676933,0.10325125273360386,-0.19498779425677104
4.5,1.3396687814790043,-0.6541661731980369,0.10085015740626187,-0.19369219757062206
6.0,1.4879553027286607,-0.9410767814637943,0.09681200983041724,-0.18857829833394923
7.5,1.6300222284585493,-1.219203527839519,0.09259165699777366,-0.18204161834590465
9.0,1.7656791569192507,-1.4865727777302447,0.08826817080987001,-0.1742460939651659
10.5,1.8947800837566946,-1.7413424067440908,0.0838512546320446,-0.1652519314422612
12.0,2.017188335444447,-1.9817600464113876,0.0793450937018839,-0.1551209370759588
