Mach,s,alpha,alpha_neutral,accepted,quality_level,quality_reason,field_file,cr,ci,stage1_mismatch,stage2_mismatch,shooting_success,spectral_success,mode_success,y_limit,ln_p_start_right,q_consistency_rel,tail_ratio_p,tail_truncated,asymptotic_bc_rel,asymptotic_bc_left,asymptotic_bc_right,overlap_previous,min_abs_U_minus_c,p_l2_norm_before,continuation_success,continuation_n_substeps,continuation_n_retries,continuation_last_alpha
1.8,0.2,0.045983942668268,0.2299197133413401,True,modal_certified,all_operator_checks_passed;slow_decay_tail,assets/pinn_supersonic/datasets/atlas_v1_certified_pilot_v2/M_1p800/fields/M_1p800_s_0p2000.npz,0.42091372323839976,0.02407204424269168,2.235280733711347e-08,3.582419658552926e-17,True,True,True,3695.6160802432287,-20.77135213390152,1.0148430377597521e-08,0.0031025138346022166,True,1.2659944447864094e-16,1.2659944447864094e-16,7.510365505524724e-17,0.42266011555933036,0.024086426897511216,5.054551477716273,True,9,0,0.045983942668268
1.8,0.65,0.149447813671871,0.2299197133413401,True,modal_certified,all_checks_passed,assets/pinn_supersonic/datasets/atlas_v1_certified_pilot_v2/M_1p800/fields/M_1p800_s_0p6500.npz,0.4674727303679999,0.019681631025068022,7.65047477650852e-08,1.889807899543873e-16,True,True,True,1398.5664048769677,-61.257803660973146,3.6533669081862556e-08,0.0005077143719102466,False,6.40168181033066e-17,6.40168181033066e-17,3.7967908142559475e-17,0.9536147813958976,0.019892603244343384,2.8930118196175867,True,2,0,0.149447813671871
1.8,0.93,0.2138253334074463,0.2299197133413401,True,modal_certified,all_operator_checks_passed;slow_decay_tail,assets/pinn_supersonic/datasets/atlas_v1_certified_pilot_v2/M_1p800/fields/M_1p800_s_0p9300.npz,0.4854012317798401,0.004262479317171292,8.762136004735574e-08,6.862563636470311e-15,True,True,True,4522.4621467984025,-361.8793778906882,4.786332299703495e-08,0.004148862225743894,True,9.612788957871892e-17,9.612788957871892e-17,1.9742063534922824e-147,0.5508470464867241,0.004305751102005906,4.4286030742903355,True,7,0,0.2138253334074463
1.8,0.985,0.22647091764122,0.2299197133413401,True,modal_certified,all_operator_checks_passed;slow_decay_tail,assets/pinn_supersonic/datasets/atlas_v1_certified_pilot_v2/M_1p800/fields/M_1p800_s_0p9850.npz,0.4883403677798402,0.000821356126922156,8.490827358362097e-08,1.4133776602704894e-14,True,True,True,5000.0,-444.30495729826686,4.163872825327654e-08,0.16477516406128545,True,3.69531461078111e-17,3.69531461078111e-17,1.6242827758820153e-84,0.9787054164163371,0.0029049805415019953,9.756473967677975,True,2,0,0.22647091764122
