cost_id,Mach,alpha,classical_success,classical_cr,classical_ci,classical_omega_i,classical_residual_norm,classical_delta_kappa,classical_delta_q,classical_parameterization,classical_settings_name,classical_best_seed_index,classical_best_seed_cr,classical_best_seed_ci,classical_n_generic_starts,classical_n_accepted_starts,classical_n_solver_attempts,classical_objective_calls,classical_integration_failures,classical_seconds,status,_source_file,_technical_success,mach_index,alpha_index,primary_chart
20,1.054,0.05775,True,7.820567732718137e-10,0.0272463768479186,0.0015734782629673,4.611978739315847e-13,-1.5638358663583318e-13,-4.3387515802351123e-13,log_ci,nominal,3,0.1,0.002,6,1,36,3134,0,255.93327993305863,COMPLETED,classical_COST500_chunk_004.csv,True,1,0,C00
21,1.054,0.07325,True,-1.3822477123447308e-11,0.0367340903118555,0.0026907721153434,7.490091905738548e-11,3.7082925272158285e-11,6.50769108739846e-11,log_ci,nominal,3,0.1,0.002,6,1,36,3248,0,266.25272854510695,COMPLETED,classical_COST500_chunk_004.csv,True,1,1,C00
22,1.054,0.08875,True,1.8881705101118326e-10,0.0482393944245416,0.004281246255178,7.1566260251920635e-12,5.027683130931493e-12,-5.0931030226575294e-12,linear_ci,nominal,3,0.1,0.002,6,1,37,3522,0,284.9020488630049,COMPLETED,classical_COST500_chunk_004.csv,True,1,2,C00
23,1.054,0.10425,True,1.8922410928317955e-10,0.0633669943790796,0.006606009164019,7.565523198498414e-12,5.589868845579105e-12,-5.098088617927488e-12,linear_ci,nominal,3,0.1,0.002,6,2,37,4021,0,310.721621545963,COMPLETED,classical_COST500_chunk_004.csv,True,1,3,C00
24,1.054,0.11975,True,-3.9461907997978124e-10,0.1918115385274641,0.0229694317386638,6.05382990097241e-10,5.450698017939182e-10,-2.6341502590288e-10,log_ci,nominal,3,0.1,0.002,6,1,36,3951,0,334.91332851699553,COMPLETED,classical_COST500_chunk_004.csv,True,1,4,C01
25,1.054,0.13525,True,0.0410922891031144,0.1294874744925034,0.017513180925111,7.007097406567511e-13,9.550693569337909e-14,6.941704155938311e-13,log_ci,nominal,3,0.1,0.002,6,1,36,3638,0,305.1535750529729,COMPLETED,classical_COST500_chunk_005.csv,True,1,5,C01
26,1.054,0.15075,True,0.0764251942273632,0.1196070854818695,0.0180307681363918,1.1086344388470305e-13,4.898859096158503e-15,1.1075515504721525e-13,log_ci,nominal,3,0.1,0.002,6,1,36,3587,0,310.4431453389116,COMPLETED,classical_COST500_chunk_005.csv,True,1,6,C01
27,1.054,0.16625,True,0.098730356603901,0.1098707442531661,0.0182660112320888,3.1165213701798805e-16,-2.1510571102112408e-16,2.255140518769849e-16,log_ci,nominal,3,0.1,0.002,6,1,36,4013,0,352.08752942900173,COMPLETED,classical_COST500_chunk_005.csv,True,1,7,C01
28,1.054,0.18175,True,0.1158946887459505,0.1002701994857771,0.0182241087565399,1.4733700649270497e-11,-8.741618540142326e-13,1.470774543821385e-11,log_ci,nominal,3,0.1,0.002,6,1,36,3041,0,263.4632442680886,COMPLETED,classical_COST500_chunk_005.csv,True,1,8,C01
29,1.054,0.19725,True,0.1300475684090915,0.0907978671772666,0.0179098793007158,2.6869763519770325e-15,2.6367796834847468e-15,-5.169475958410885e-16,log_ci,nominal,3,0.1,0.002,6,1,36,3915,0,347.43125511391554,COMPLETED,classical_COST500_chunk_005.csv,True,1,9,C01
