cost_chunk,n,total_seconds,mean_seconds,median_seconds,max_seconds
0,50,16668.439702923875,333.36879405847753,332.6710307284957,411.9369047039654
1,50,17701.02013172093,354.0204026344186,348.36367641197285,445.0118595450185
2,50,17310.740699186805,346.2148139837361,326.4115746744792,474.93290233501466
3,50,19660.80967468623,393.2161934937246,381.79763914400246,489.4390618170146
4,50,19039.642260428984,380.79284520857965,345.0728651274985,503.82559954503085
5,50,19576.498434953974,391.52996869907946,386.90390935901087,484.2115616609808
6,50,27515.297075385984,550.3059415077197,475.483036242018,1266.051932012953
7,50,18310.3496984191,366.206993968382,358.0530806570023,428.9783726379974
8,50,28580.113318843127,571.6022663768625,448.06357670750003,1424.742599088
9,50,48045.74550012365,960.914910002473,777.2256218440016,1663.9880333329784
