benchmark_id,mach_index,alpha_index,Mach,alpha,primary_chart,charts,cr,ci,omega_i,point_role,mach_split
0,0,0,1.018,0.05775,C00,C00,0.0,0.0,0.0,validation,test
1,0,1,1.018,0.07325,C00,C00,0.0,0.0,0.0,validation,test
2,0,2,1.018,0.08875,C00,C00,0.0,0.0,0.0,validation,test
3,0,3,1.018,0.10425,C00,C00;C01,0.0,0.0,0.0,validation,test
4,0,4,1.018,0.11975,C00,C00;C01,0.0,0.0,0.0,validation,test
5,0,5,1.018,0.13525,C01,C01,0.0,0.0,0.0,validation,test
6,0,6,1.018,0.15075,C01,C01,0.0,0.0,0.0,validation,test
7,0,7,1.018,0.16625,C01,C01,0.0,0.0,0.0,validation,test
8,0,8,1.018,0.18175,C01,C01,0.0,0.0,0.0,validation,test
9,0,9,1.018,0.19725,C01,C01;C02,0.0,0.0,0.0,validation,test
10,0,10,1.018,0.21275,C02,C02;C01,0.0,0.0,0.0,validation,test
11,0,11,1.018,0.2282499999999999,C02,C02,0.0,0.0,0.0,validation,test
12,0,12,1.018,0.24375,C02,C02,0.0,0.0,0.0,validation,test
13,0,13,1.018,0.25925,C02,C02,0.0,0.0,0.0,validation,test
14,0,14,1.018,0.27475,C02,C02,0.0,0.0,0.0,validation,test
15,0,15,1.018,0.29025,C02,C02,0.0,0.0,0.0,validation,test
16,0,16,1.018,0.3057499999999999,C02,C02,0.0,0.0,0.0,validation,test
17,0,17,1.018,0.32125,C02,C02,0.0,0.0,0.0,validation,test
18,0,18,1.018,0.33675,C02,C02,0.0,0.0,0.0,validation,test
19,0,19,1.018,0.3522499999999999,C02,C02,0.0,0.0,0.0,validation,test
20,1,0,1.054,0.05775,C00,C00,0.0,0.0,0.0,validation,test
21,1,1,1.054,0.07325,C00,C00,0.0,0.0,0.0,validation,test
22,1,2,1.054,0.08875,C00,C00,0.0,0.0,0.0,validation,test
23,1,3,1.054,0.10425,C00,C00;C01,0.0,0.0,0.0,validation,test
24,1,4,1.054,0.11975,C01,C01;C00,0.0,0.0,0.0,validation,test
25,1,5,1.054,0.13525,C01,C01,0.0,0.0,0.0,validation,test
26,1,6,1.054,0.15075,C01,C01,0.0,0.0,0.0,validation,test
27,1,7,1.054,0.16625,C01,C01,0.0,0.0,0.0,validation,test
28,1,8,1.054,0.18175,C01,C01,0.0,0.0,0.0,validation,test
29,1,9,1.054,0.19725,C01,C01;C02,0.0,0.0,0.0,validation,test
30,1,10,1.054,0.21275,C02,C02;C01,0.0,0.0,0.0,validation,test
