t401_row,test_id,atlas_chart,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,status,technical_success,target_error,target_recovery,best_candidate_index,best_center_index,best_cr_center,best_ci_center,best_cr,best_ci,best_stage1_mismatch,best_stage2_mismatch,best_total_mismatch,best_retry_index,n_boxes,n_completed_boxes,n_technical_boxes,total_box_solves,total_seconds
351,351,C31,1.7,0.135,0.4307135025933534,0.0282844270120357,0.43277293,0.02655017,COMPLETED,True,0.3319425981622095,False,11,2,0.9,0.0001,0.7614583333333332,0.00011093923611111115,6.469406586380535e-08,3.138428202790042e-19,6.469406586411918e-08,0,12,12,12,13,470.74847073701676
352,352,C31,1.7,0.145,0.4346241871849611,0.0262258940125742,0.43594655,0.024464644,COMPLETED,True,0.3278801405222624,False,10,2,0.9,0.0001,0.7614583333333332,5.668576388888889e-05,4.8884512642405206e-08,2.80927349753855e-19,4.888451264268614e-08,0,12,12,12,14,513.5241695578443
353,353,C31,1.7,0.155,0.4383038326670098,0.0239918542277745,0.43848193,0.02289786,COMPLETED,True,0.32404156558417313,False,9,2,0.9,0.0001,0.7614583333333332,3.136747685185185e-05,4.684415841460278e-08,2.47667820350083e-19,4.684415841485045e-08,0,12,12,12,15,563.8369421872776
354,354,C31,1.7,0.165,0.4417744301561991,0.0216071120197366,0.44124123,0.021329919,COMPLETED,True,0.32041320513857835,False,11,5,0.9,0.002,0.7614583333333332,1e-06,5.540006077870323e-08,1.8064956665406892e-19,5.540006077888388e-08,0,12,12,12,13,493.8230645090807
355,355,C31,1.7,0.175,0.4450555880576098,0.0190925449656912,0.44468346,0.019256052,COMPLETED,True,0.3169782079373775,False,10,5,0.9,0.002,0.7614583333333332,1e-06,3.740442540086314e-08,1.319911260136474e-19,3.740442540099513e-08,0,12,12,11,18,733.4760619159788
356,356,C31,1.7,0.185,0.4481647764917723,0.0164658740674279,0.44819942,0.016553542,COMPLETED,True,0.31372395498778766,False,9,5,0.9,0.002,0.7614583333333332,3.823958333333333e-05,5.7154338138676246e-08,1.591974116563874e-19,5.715433813883544e-08,0,12,12,12,18,696.9756537389476
357,357,C31,1.7,0.195,0.4511175608667579,0.0137422547294503,0.44974846,0.013830405,COMPLETED,True,0.31064484083385374,False,11,2,0.9,0.0001,0.7614583333333332,1e-06,2.0178895905848226e-08,9.961344544093245e-20,2.017889590594784e-08,0,12,12,11,17,663.0051242640475
358,358,C31,1.7,0.205,0.4539278147332475,0.0109347319530853,0.44766825,0.011778566,COMPLETED,True,0.30772422935480953,False,10,2,0.9,0.0001,0.7614583333333332,1.770572916666667e-05,5.962381187084472e-08,1.1272931871232645e-19,5.962381187095745e-08,0,12,12,11,22,850.1737627518596
359,359,C31,1.75,0.12,0.4411569181720948,0.0276599521475727,0.44073159,0.029802533,COMPLETED,True,0.3214934123558269,False,9,2,0.9,0.0001,0.7614583333333332,1e-06,3.0643422153936764e-08,5.204779434666079e-19,3.064342215445724e-08,0,12,12,12,13,460.47958925692365
360,360,C31,1.75,0.13,0.4451716837071762,0.026040837011041,0.4457931,0.02477795,COMPLETED,True,0.317356767445254,False,11,5,0.9,0.002,0.7614583333333332,1e-06,3.275951922307392e-08,2.8429482352559575e-19,3.275951922335821e-08,0,12,12,12,13,467.8464149493957
